time;power
300,00;6,6136
600,00;6,0878
900,00;6,0917
1200,00;6,0952
1500,00;6,0992
1800,00;6,1029
2100,00;6,1045
2400,00;6,1040
2700,00;6,1052
3000,00;6,1035
3300,00;6,1052
3600,00;6,1034
3900,00;6,1062
4200,00;6,1087
4500,00;6,1091
4800,00;6,1060
5100,00;6,1011
5400,00;6,1003
5700,00;6,1004
6000,00;6,1021
6300,00;6,1020
6600,00;6,0987
6900,00;6,0954
7200,00;6,0986
7500,00;6,1005
7800,00;6,1031
8100,00;6,1037
8400,00;6,1008
8700,00;6,0980
9000,00;6,1004
9300,00;6,1033
9600,00;6,0990
9900,00;6,0938
10200,00;6,0960
10500,00;6,0973
10800,00;6,0916
11100,00;6,0914
11400,00;6,0969
11700,00;6,0951
12000,00;6,0945
12300,00;6,0954
12600,00;6,0932
12900,00;6,0918
13200,00;6,0914
13500,00;6,0898
13800,00;6,0925
14100,00;6,0948
14400,00;6,0980
14700,00;6,0969
15000,00;6,0943
15300,00;6,0975
15600,00;6,0929
15900,00;6,0886
16200,00;6,0926
16500,00;6,0939
16800,00;6,0958
17100,00;6,0995
17400,00;6,0992
17700,00;6,0973
18000,00;6,0979
18300,00;6,0971
18600,00;6,0984
18900,00;6,0966
19200,00;6,0980
19500,00;6,1028
19800,00;6,0978
20100,00;6,0949
20400,00;6,0938
20700,00;6,0969
21000,00;6,0996
21300,00;6,0983
21600,00;6,0994
21900,00;6,0970
22200,00;6,0965
22500,00;6,1014
22800,00;6,1017
23100,00;6,0979
23400,00;6,1013
23700,00;6,1013
24000,00;6,1005
24300,00;6,1023
24600,00;6,1009
24900,00;6,1002
25200,00;6,0996
25500,00;6,0972
25800,00;6,0948
26100,00;6,0979
26400,00;6,0977
26700,00;6,0965
27000,00;6,0983
27300,00;6,1000
27600,00;6,0971
27900,00;6,0976
28200,00;6,1059
28500,00;6,1060
28800,00;6,1029
29100,00;6,0996
29400,00;6,0975
29700,00;6,0973
30000,00;6,0992
30300,00;6,1016
30600,00;6,0995
30900,00;6,0974
31200,00;6,0978
31500,00;6,0931
31800,00;6,0960
32100,00;6,0980
32400,00;6,1004
32700,00;6,0998
33000,00;6,0989
33300,00;6,1016
33600,00;6,1026
33900,00;6,1011
34200,00;6,0957
34500,00;6,0974
34800,00;6,0974
35100,00;6,0966
35400,00;6,0974
35700,00;6,1008
36000,00;6,0990
36300,00;6,0944
36600,00;6,0979
36900,00;6,1000
37200,00;6,0997
37500,00;6,0989
37800,00;6,0989
38100,00;6,0985
38400,00;6,0974
38700,00;6,0985
39000,00;6,0992
39300,00;6,1002
39600,00;6,0975
39900,00;6,0961
40200,00;6,1001
40500,00;6,0996
40800,00;6,0991
41100,00;6,1010
41400,00;6,0996
41700,00;6,1020
42000,00;6,1023
42300,00;6,1000
42600,00;6,0985
42900,00;6,0979
43200,00;6,1004
43500,00;6,0997
43800,00;6,0984
44100,00;6,0988
44400,00;6,0979
44700,00;6,0966
45000,00;6,0986
45300,00;6,1013
45600,00;6,1023
45900,00;6,1021
46200,00;6,0984
46500,00;6,0997
46800,00;6,1006
47100,00;6,1006
47400,00;6,1022
47700,00;6,1030
48000,00;6,1025
48300,00;6,1019
48600,00;6,1036
48900,00;6,1000
49200,00;6,0976
49500,00;6,1014
49800,00;6,1019
50100,00;6,0995
50400,00;6,1000
50700,00;6,0984
51000,00;6,1008
51300,00;6,1024
51600,00;6,1014
51900,00;6,1010
52200,00;6,1028
52500,00;6,1003
52800,00;6,1004
53100,00;6,1008
53400,00;6,0995
53700,00;6,1017
54000,00;6,1018
54300,00;6,1008
54600,00;6,1009
54900,00;6,0997
55200,00;6,0992
55500,00;6,0991
55800,00;6,0987
56100,00;6,0995
56400,00;6,1022
56700,00;6,0991
57000,00;6,0976
57300,00;6,0978
57600,00;6,0967
57900,00;6,0991
58200,00;6,1008
58500,00;6,1000
58800,00;6,0987
59100,00;6,0964
59400,00;6,0961
59700,00;6,0973
60000,00;6,0964
60300,00;6,0985
60600,00;6,1004
60900,00;6,0978
61200,00;6,0970
61500,00;6,0966
61800,00;6,0966
62100,00;6,0966
62400,00;6,0968
62700,00;6,0959
63000,00;6,0984
63300,00;6,0970
63600,00;6,0926
63900,00;6,0925
64200,00;6,0960
64500,00;6,0962
64800,00;6,0935
65100,00;6,0960
65400,00;6,0986
65700,00;6,0960
66000,00;6,0954
66300,00;6,0965
