time;power_cum
30,10;0,0607
60,10;0,1217
90,10;0,1828
95,64;0,1941
120,10;0,2120
125,64;0,2175
150,10;0,2354
180,10;0,2570
185,64;0,2626
210,10;0,2727
240,10;0,2847
270,10;0,2967
275,64;0,3008
300,10;0,3110
305,64;0,3151
330,10;0,3256
335,64;0,3298
360,10;0,3410
365,64;0,3452
381,27;0,3532
390,10;0,3589
395,64;0,3633
420,10;0,3754
425,64;0,3798
450,10;0,3922
455,64;0,3967
480,10;0,4100
485,64;0,4147
510,10;0,4289
515,64;0,4338
540,10;0,4489
545,64;0,4539
545,74;0,4560
561,27;0,4663
570,10;0,4731
575,64;0,4782
575,74;0,4803
600,10;0,4957
605,64;0,5008
605,74;0,5028
630,10;0,5185
635,64;0,5236
635,74;0,5256
660,10;0,5416
665,64;0,5468
665,74;0,5488
690,10;0,5652
695,64;0,5704
695,74;0,5724
720,10;0,5891
725,64;0,5944
725,74;0,5964
750,10;0,6132
755,64;0,6186
755,74;0,6206
771,27;0,6320
780,10;0,6394
785,64;0,6449
785,74;0,6469
801,27;0,6579
810,10;0,6651
815,64;0,6703
815,74;0,6724
840,10;0,6886
845,64;0,6939
845,74;0,6960
870,10;0,7118
875,64;0,7170
875,74;0,7191
900,10;0,7348
905,64;0,7400
905,74;0,7421
930,10;0,7571
935,64;0,7621
935,74;0,7643
960,10;0,7789
965,64;0,7839
965,74;0,7861
990,10;0,8003
995,64;0,8052
995,74;0,8074
1020,10;0,8214
1025,64;0,8263
1025,74;0,8285
1050,10;0,8423
1055,64;0,8472
1055,74;0,8494
1080,10;0,8624
1085,64;0,8671
1085,74;0,8693
1101,27;0,8781
1110,10;0,8841
1115,64;0,8887
1115,74;0,8910
1140,10;0,9033
1145,64;0,9079
1145,74;0,9102
1170,10;0,9219
1175,64;0,9264
1200,10;0,9382
1205,64;0,9426
1230,10;0,9544
1235,64;0,9588
1235,74;0,9611
1260,10;0,9728
1265,64;0,9772
1265,74;0,9795
1290,10;0,9914
1295,64;0,9959
1295,74;0,9982
1311,37;1,0066
1320,10;1,0123
1325,64;1,0168
1325,74;1,0191
1341,37;1,0276
1350,10;1,0334
1355,64;1,0379
1355,74;1,0402
1380,10;1,0522
1385,64;1,0567
1385,74;1,0590
1410,10;1,0710
1415,64;1,0755
1415,74;1,0778
1440,10;1,0898
1445,64;1,0943
1445,74;1,0966
1470,10;1,1086
1475,64;1,1130
1491,27;1,1214
1500,10;1,1272
1505,64;1,1317
1505,74;1,1339
1521,27;1,1423
1530,10;1,1483
1535,64;1,1528
1535,74;1,1550
1560,10;1,1677
1565,64;1,1723
1565,74;1,1745
1590,10;1,1873
1595,64;1,1919
1595,74;1,1941
1611,37;1,2030
1620,10;1,2093
1625,64;1,2140
1641,37;1,2234
1650,10;1,2297
1655,64;1,2344
1655,74;1,2366
1680,10;1,2504
1685,64;1,2551
1710,10;1,2694
1715,64;1,2742
1715,74;1,2764
1740,10;1,2910
1745,64;1,2959
1745,74;1,2980
1761,37;1,3081
1770,10;1,3149
1775,64;1,3199
1775,74;1,3220
1800,10;1,3376
1805,64;1,3427
1830,10;1,3584
1835,64;1,3635
1860,10;1,3794
1865,64;1,3846
1890,10;1,4007
1895,64;1,4060
1895,74;1,4080
1920,10;1,4242
1925,64;1,4294
1925,74;1,4315
1950,10;1,4478
1955,64;1,4531
1955,74;1,4551
1980,10;1,4714
1985,64;1,4766
1985,74;1,4787
2010,10;1,4949
2015,64;1,5002
2015,74;1,5023
2040,10;1,5185
2045,64;1,5237
2070,10;1,5401
2075,64;1,5454
2100,10;1,5619
2130,10;1,5817
2135,64;1,5869
2160,10;1,6039
2165,64;1,6092
2190,10;1,6261
2220,10;1,6464
2225,64;1,6518
2250,10;1,6686
2280,10;1,6889
2285,74;1,6943
2310,10;1,7111
2315,64;1,7165
