time;power
30,00;0,0607
60,00;0,0611
90,00;0,0724
120,00;0,0381
150,00;0,0381
180,00;0,0380
210,00;0,0380
240,00;0,0379
270,00;0,0391
300,00;0,0393
330,00;0,0599
360,00;0,0405
390,00;0,0201
420,00;0,0393
450,00;0,0392
480,00;0,0393
510,00;0,0405
540,00;0,0405
570,00;0,0404
600,00;0,0404
630,00;0,0403
660,00;0,0390
690,00;0,0403
720,00;0,0401
750,00;0,0401
780,00;0,0387
810,00;0,0389
840,00;0,0389
870,00;0,0390
900,00;0,0391
930,00;0,0391
960,00;0,0593
990,00;0,0199
1020,00;0,0390
1050,00;0,0390
1080,00;0,0401
1110,00;0,0399
1140,00;0,0398
1170,00;0,0385
1200,00;0,0387
1230,00;0,0399
1260,00;0,0398
1290,00;0,0399
1320,00;0,0386
1350,00;0,0385
1380,00;0,0385
1410,00;0,0385
1440,00;0,0385
1470,00;0,0385
1500,00;0,0386
1530,00;0,0388
1560,00;0,0388
1590,00;0,0400
1620,00;0,0400
1650,00;0,0399
1680,00;0,0386
1710,00;0,0401
1740,00;0,0399
1770,00;0,0399
1800,00;0,0388
1830,00;0,0388
1860,00;0,0390
1890,00;0,0390
1920,00;0,0390
1950,00;0,0390
1980,00;0,0390
2010,00;0,0402
2040,00;0,0389
2070,00;0,0390
2100,00;0,0391
2130,00;0,0390
2160,00;0,0391
2190,00;0,0390
2220,00;0,0389
2250,00;0,0390
2280,00;0,0390
2310,00;0,0390
2340,00;0,0594
2370,00;0,0199
2400,00;0,0392
2430,00;0,0393
2460,00;0,0393
2490,00;0,0393
2520,00;0,0393
2550,00;0,0405
2580,00;0,0403
2610,00;0,0403
2640,00;0,0390
2670,00;0,0391
2700,00;0,0391
2730,00;0,0391
2760,00;0,0391
2790,00;0,0391
2820,00;0,0596
2850,00;0,0199
2880,00;0,0391
2910,00;0,0395
2940,00;0,0395
2970,00;0,0395
3000,00;0,0406
3030,00;0,0404
3060,00;0,0403
3090,00;0,0403
3120,00;0,0390
3150,00;0,0391
3180,00;0,0391
3210,00;0,0391
3240,00;0,0391
3270,00;0,0391
3300,00;0,0391
3330,00;0,0393
3360,00;0,0394
3390,00;0,0393
3420,00;0,0393
3450,00;0,0393
3480,00;0,0392
3510,00;0,0392
3540,00;0,0391
3570,00;0,0404
3600,00;0,0402
3630,00;0,0403
3660,00;0,0393
3690,00;0,0406
3720,00;0,0392
3750,00;0,0393
3780,00;0,0393
3810,00;0,0393
3840,00;0,0392
3870,00;0,0393
3900,00;0,0393
3930,00;0,0393
3960,00;0,0392
3990,00;0,0404
4020,00;0,0403
4050,00;0,0403
4080,00;0,0390
4110,00;0,0404
4140,00;0,0391
4170,00;0,0392
4200,00;0,0392
4230,00;0,0392
4260,00;0,0393
4290,00;0,0392
4320,00;0,0393
4350,00;0,0393
4380,00;0,0392
4410,00;0,0392
4440,00;0,0393
4470,00;0,0392
4500,00;0,0391
4530,00;0,0392
4560,00;0,0595
4590,00;0,0199
4620,00;0,0391
4650,00;0,0405
4680,00;0,0404
4710,00;0,0404
4740,00;0,0404
4770,00;0,0404
4800,00;0,0392
4830,00;0,0405
4860,00;0,0405
4890,00;0,0405
4920,00;0,0392
4950,00;0,0394
4980,00;0,0394
5010,00;0,0394
