time;power_cum
300,10;6,0456
309,91;6,2578
314,02;6,3510
327,94;6,6674
600,10;9,3261
609,91;9,4219
614,02;9,4623
627,94;9,6003
900,10;11,5198
909,91;11,5892
914,02;11,6182
927,94;11,7166
1200,10;13,2267
1209,91;13,2811
1214,02;13,3040
1227,94;13,3816
1500,10;14,6357
1509,91;14,6810
1514,02;14,7000
1527,94;14,7646
1800,10;15,8191
1809,91;15,8572
1814,02;15,8731
1827,94;15,9271
2100,10;16,8490
2109,91;16,8822
2114,02;16,8961
2127,94;16,9433
2400,10;17,7587
2409,91;17,7883
2414,02;17,8008
2427,94;17,8429
2499,91;18,0378
2700,10;18,5810
2709,91;18,6087
2714,02;18,6203
2727,94;18,6598
2804,02;18,8528
2817,94;18,8880
3000,10;19,3479
3009,91;19,3729
3014,02;19,3834
3027,94;19,4193
3117,94;19,6215
3300,10;20,0325
3309,91;20,0581
3314,02;20,0689
3327,94;20,1053
3399,91;20,2713
3404,02;20,2808
3417,94;20,3128
3600,10;20,7303
3609,91;20,7532
3614,02;20,7629
3627,94;20,7959
3717,94;20,9662
3900,10;21,3133
3909,91;21,3376
3914,02;21,3478
3927,94;21,3822
3999,91;21,5340
4004,02;21,5427
4017,94;21,5721
4200,10;21,9549
4209,91;21,9844
4214,02;21,9968
4227,94;22,0397
4299,91;22,1960
4304,02;22,2049
4317,94;22,2352
4500,10;22,6308
4509,91;22,6697
4514,02;22,6862
4527,94;22,7423
4599,91;22,9434
4604,02;22,9549
4617,94;22,9938
4800,10;23,5005
4809,91;23,5380
4814,02;23,5543
4827,94;23,6114
4899,91;23,7874
4904,02;23,7975
4917,94;23,8315
5100,10;24,2759
5109,91;24,3054
5114,02;24,3180
5127,94;24,3619
5199,91;24,5035
5204,02;24,5116
5217,94;24,5390
5400,10;24,8977
5409,91;24,9267
5414,02;24,9389
5427,94;24,9811
5499,91;25,1352
5504,02;25,1440
5517,94;25,1737
5700,10;25,5631
5709,91;25,5992
5714,02;25,6146
5727,94;25,6674
5799,91;25,8503
5804,02;25,8608
5817,94;25,8962
6000,10;26,3597
6009,91;26,4050
6014,02;26,4241
6027,94;26,4908
6099,91;26,7171
6104,02;26,7300
6117,94;26,7738
6300,10;27,3453
6309,91;27,3857
6314,02;27,4032
6327,94;27,4643
6399,91;27,6484
6404,02;27,6589
6417,94;27,6945
6600,10;28,1596
6609,91;28,1893
6614,02;28,2021
6627,94;28,2464
6699,91;28,3817
6704,02;28,3894
6717,94;28,4155
6900,10;28,7564
6909,91;28,7878
6914,02;28,8012
6927,94;28,8469
6999,91;29,0193
7004,02;29,0291
7017,94;29,0625
7200,10;29,5005
7209,91;29,5345
7214,02;29,5487
7227,94;29,5970
7299,91;29,8215
7304,02;29,8343
7317,94;29,8777
7500,10;30,4447
7509,91;30,4753
7514,02;30,4883
7527,94;30,5325
7800,10;31,3210
7809,91;31,3495
7814,02;31,3619
7827,94;31,4041
8100,10;32,0523
8109,91;32,0855
8114,02;32,0998
8127,94;32,1487
8199,91;32,3162
8204,02;32,3257
8217,94;32,3581
8400,10;32,7806
8409,91;32,8126
8414,02;32,8265
8427,94;32,8745
8499,91;33,0302
8504,02;33,0391
8517,94;33,0692
8700,10;33,4623
8709,91;33,4928
8714,02;33,5059
8727,94;33,5508
8799,91;33,7028
8804,02;33,7115
8817,94;33,7409
9000,10;34,1265
9009,91;34,1601
9014,02;34,1742
9027,94;34,2219
9099,91;34,4328
9104,02;34,4448
9117,94;34,4856
9300,10;35,0191
9309,91;35,0662
9314,02;35,0865
9327,94;35,1562
9399,91;35,3846
9404,02;35,3977
9417,94;35,4418
9600,10;36,0165
9609,91;36,0526
9614,02;36,0684
9627,94;36,1235
9699,91;36,2797
9704,02;36,2887
9717,94;36,3188
9900,10;36,7131
9909,91;36,7373
9914,02;36,7476
9927,94;36,7830
9999,91;36,9104
10004,02;36,9177
10017,94;36,9424
10200,10;37,2655
10209,91;37,2930
10214,02;37,3044
10227,94;37,3433
10299,91;37,5160
10304,02;37,5259
10317,94;37,5593
10500,10;37,9959
10509,91;38,0287
10514,02;38,0425
10527,94;38,0897
10599,91;38,2850
10604,02;38,2961
10617,94;38,3338
10800,10;38,8251
10809,91;38,8515
10814,02;38,8628
10827,94;38,9023
11100,10;39,3926
11109,91;39,4208
11114,02;39,4327
11127,94;39,4731
11199,91;39,6384
11204,02;39,6478
11217,94;39,6798
11400,10;40,0988
11409,91;40,1252
11414,02;40,1363
11427,94;40,1739
11504,02;40,3665
11517,94;40,4017
11700,10;40,8602
11709,91;40,8849
11714,02;40,8956
11727,94;40,9323
12000,10;41,4894
12009,91;41,5157
12014,02;41,5267
12027,94;41,5641
12099,91;41,7405
12104,02;41,7506
12117,94;41,7847
12300,10;42,2302
12309,91;42,2581
12314,02;42,2699
12327,94;42,3105
12399,91;42,4757
12404,02;42,4851
12417,94;42,5170
12600,10;42,9332
12609,91;42,9603
12614,02;42,9720
12627,94;43,0116
12699,91;43,1778
12704,02;43,1873
12717,94;43,2194
12900,10;43,6397
12909,91;43,6730
12914,02;43,6876
12927,94;43,7380
12999,91;43,8972
13004,02;43,9063
13017,94;43,9371
13200,10;44,3393
13209,91;44,3706
13214,02;44,3838
13227,94;44,4302
13299,91;44,5801
13304,02;44,5887
13317,94;44,6177
13500,10;44,9965
13509,91;45,0313
13514,02;45,0460
13527,94;45,0967
13599,91;45,2719
13604,02;45,2819
13617,94;45,3158
13800,10;45,7596
13809,91;45,7904
13814,02;45,8036
13827,94;45,8496
13899,91;45,9931
13904,02;46,0013
13917,94;46,0291
14100,10;46,3926
14109,91;46,4253
14114,02;46,4392
14127,94;46,4863
