time;power_cum
30,10;0,0607
60,10;0,1217
90,10;0,1828
95,64;0,1941
120,10;0,2439
125,64;0,2552
150,10;0,3049
180,10;0,3659
185,64;0,3772
210,10;0,4173
215,64;0,4269
240,10;0,4637
270,10;0,5087
275,64;0,5176
300,10;0,5435
305,64;0,5504
330,10;0,5763
360,10;0,6077
365,64;0,6147
390,10;0,6405
395,64;0,6475
420,10;0,6733
450,10;0,7047
455,64;0,7117
480,10;0,7357
485,64;0,7424
510,10;0,7639
540,10;0,7898
545,64;0,7960
570,10;0,8126
575,64;0,8179
600,10;0,8345
630,10;0,8546
635,64;0,8599
660,10;0,8766
665,64;0,8819
690,10;0,8985
720,10;0,9186
725,64;0,9239
750,10;0,9407
755,64;0,9461
780,10;0,9593
785,64;0,9640
810,10;0,9773
815,64;0,9820
840,10;0,9953
845,64;1,0000
870,10;1,0133
875,64;1,0180
900,10;1,0313
930,10;1,0473
935,64;1,0520
960,10;1,0657
965,64;1,0705
965,74;1,0728
990,10;1,0846
995,64;1,0891
1020,10;1,1012
1025,64;1,1057
1050,10;1,1177
1055,64;1,1222
1080,10;1,1342
1085,64;1,1386
1110,10;1,1507
1140,10;1,1657
1145,64;1,1702
1170,10;1,1832
1175,64;1,1878
1200,10;1,2008
1205,64;1,2054
1230,10;1,2187
1235,64;1,2234
1235,74;1,2256
1260,10;1,2384
1265,64;1,2430
1290,10;1,2558
1295,64;1,2604
1320,10;1,2734
1325,64;1,2780
1350,10;1,2904
1355,64;1,2950
1380,10;1,3076
1385,64;1,3122
1410,10;1,3250
1415,64;1,3296
1440,10;1,3426
1445,64;1,3473
1445,74;1,3495
1470,10;1,3627
1475,64;1,3673
1475,74;1,3696
1500,10;1,3826
1505,64;1,3873
1505,74;1,3895
1530,10;1,4029
1535,64;1,4076
1560,10;1,4211
1565,74;1,4259
1590,10;1,4394
1595,64;1,4441
1620,10;1,4577
1625,64;1,4625
1650,10;1,4761
1655,64;1,4809
1655,74;1,4831
1671,27;1,4925
1680,10;1,4989
1685,64;1,5036
1701,27;1,5131
1710,10;1,5194
1740,10;1,5355
1745,64;1,5403
1770,10;1,5539
1775,64;1,5587
1800,10;1,5722
1830,10;1,5883
1835,64;1,5930
1860,10;1,6066
1865,64;1,6114
1865,74;1,6136
1890,10;1,6271
1895,74;1,6319
1920,10;1,6454
1925,64;1,6501
1925,74;1,6524
1950,10;1,6661
1955,64;1,6709
1980,10;1,6847
1985,64;1,6895
1985,74;1,6917
2010,10;1,7053
2015,64;1,7101
2040,10;1,7243
2045,64;1,7292
2045,74;1,7314
2070,10;1,7457
2075,64;1,7506
2075,74;1,7529
2091,27;1,7627
2100,10;1,7692
2105,64;1,7740
2121,27;1,7838
2130,10;1,7903
2135,64;1,7952
2160,10;1,8093
2165,64;1,8141
2190,10;1,8281
2195,64;1,8330
2220,10;1,8470
2250,10;1,8638
2255,64;1,8687
2255,74;1,8709
2280,10;1,8851
2285,64;1,8900
2285,74;1,8921
2310,10;1,9064
2315,64;1,9113
2340,10;1,9258
2345,64;1,9307
2345,74;1,9329
2370,10;1,9471
2375,64;1,9520
2400,10;1,9660
2405,64;1,9709
2430,10;1,9851
2435,64;1,9900
2435,74;1,9922
2460,10;2,0061
2465,64;2,0110
2465,74;2,0132
2490,10;2,0271
2495,64;2,0319
2520,10;2,0459
2525,64;2,0507
2525,74;2,0529
2550,10;2,0666
2555,64;2,0714
2580,10;2,0849
2610,10;2,1011
2615,64;2,1059
2615,74;2,1081
2631,27;2,1174
2640,10;2,1237
2645,64;2,1284
2645,74;2,1307
2661,27;2,1401
2670,10;2,1463
2700,10;2,1624
2705,64;2,1671
2705,74;2,1694
2730,10;2,1827
2735,64;2,1874
2760,10;2,2004
2790,10;2,2159
2795,64;2,2205
2795,74;2,2228
2811,27;2,2318
