time;power_cum
300,10;6,0478
309,91;6,2505
314,02;6,3387
327,94;6,6411
600,10;9,7077
609,91;9,8182
614,02;9,8649
627,94;10,0261
900,10;12,1391
909,91;12,2154
914,02;12,2474
927,94;12,3568
1200,10;13,9422
1209,91;13,9997
1214,02;14,0238
1227,94;14,1058
1317,94;14,5253
1500,10;15,3756
1509,91;15,4218
1514,02;15,4412
1527,94;15,5069
1604,02;15,8057
1800,10;16,5751
1809,91;16,6143
1814,02;16,6307
1827,94;16,6863
1917,94;16,9918
2100,10;17,6100
2109,91;17,6437
2114,02;17,6578
2127,94;17,7056
2204,02;17,9298
2400,10;18,5056
2409,91;18,5347
2414,02;18,5469
2427,94;18,5883
2504,02;18,7867
2700,10;19,2989
2709,91;19,3256
2714,02;19,3367
2727,94;19,3746
2804,02;19,5562
2817,94;19,5894
3000,10;20,0220
3009,91;20,0453
3014,02;20,0551
3027,94;20,0881
3300,10;20,6614
3309,91;20,6838
3314,02;20,6933
3327,94;20,7251
3404,02;20,8800
3417,94;20,9083
3600,10;21,2766
3609,91;21,2980
3614,02;21,3070
3627,94;21,3378
3717,94;21,5063
3900,10;21,8492
3909,91;21,8759
3914,02;21,8871
3927,94;21,9251
3999,91;22,0882
4004,02;22,0975
4017,94;22,1290
4200,10;22,5398
4209,91;22,5663
4214,02;22,5776
4227,94;22,6157
4304,02;22,7603
4317,94;22,7868
4500,10;23,1337
4509,91;23,1609
4514,02;23,1723
4527,94;23,2116
4604,02;23,3772
4617,94;23,4074
4800,10;23,8011
4809,91;23,8265
4814,02;23,8371
4827,94;23,8736
4904,02;24,0112
4917,94;24,0363
5100,10;24,3637
5109,91;24,3865
5114,02;24,3960
5127,94;24,4287
5204,02;24,5672
5217,94;24,5926
5400,10;24,9245
5409,91;24,9520
5414,02;24,9636
5427,94;25,0033
5499,91;25,1598
5504,02;25,1688
5517,94;25,1990
5700,10;25,5943
5709,91;25,6219
5714,02;25,6336
5727,94;25,6736
5804,02;25,8219
5817,94;25,8491
6000,10;26,2044
6009,91;26,2322
6014,02;26,2439
6027,94;26,2837
6104,02;26,4502
6117,94;26,4806
6300,10;26,8772
6309,91;26,9031
6314,02;26,9139
6327,94;26,9513
6404,02;27,0936
6417,94;27,1196
6600,10;27,4593
6609,91;27,4837
6614,02;27,4938
6627,94;27,5285
6699,91;27,6684
6704,02;27,6763
6717,94;27,7033
6900,10;28,0544
6909,91;28,0816
6914,02;28,0932
6927,94;28,1324
6999,91;28,2786
7004,02;28,2870
7017,94;28,3154
7200,10;28,6873
7209,91;28,7143
7214,02;28,7257
7227,94;28,7648
7304,02;28,9172
7317,94;28,9452
7500,10;29,3100
7509,91;29,3358
7514,02;29,3467
7527,94;29,3836
7604,02;29,5343
7617,94;29,5619
