time;power_cum
30,10;0,0607
60,10;0,1217
90,10;0,1828
95,64;0,1941
120,10;0,2120
125,64;0,2175
150,10;0,2354
180,10;0,2570
185,64;0,2626
210,10;0,2727
240,10;0,2847
270,10;0,2967
275,64;0,3007
300,10;0,3109
305,64;0,3150
330,10;0,3259
335,64;0,3301
360,10;0,3418
365,64;0,3461
381,27;0,3544
390,10;0,3603
395,64;0,3648
420,10;0,3778
425,64;0,3824
450,10;0,3956
455,64;0,4003
480,10;0,4140
485,64;0,4187
510,10;0,4328
515,64;0,4376
540,10;0,4520
545,64;0,4569
545,74;0,4591
561,27;0,4690
570,10;0,4755
575,64;0,4804
575,74;0,4826
600,10;0,4967
605,64;0,5016
605,74;0,5037
630,10;0,5179
660,10;0,5352
665,64;0,5401
665,74;0,5422
690,10;0,5574
695,64;0,5624
695,74;0,5645
720,10;0,5800
725,64;0,5851
725,74;0,5871
750,10;0,6022
755,64;0,6072
755,74;0,6093
780,10;0,6246
785,64;0,6296
785,74;0,6318
810,10;0,6467
815,64;0,6517
815,74;0,6539
840,10;0,6688
845,64;0,6738
845,74;0,6760
870,10;0,6908
875,64;0,6957
875,74;0,6979
900,10;0,7125
905,64;0,7175
905,74;0,7197
930,10;0,7342
935,64;0,7391
935,74;0,7413
960,10;0,7558
965,64;0,7607
965,74;0,7629
990,10;0,7766
995,64;0,7814
1020,10;0,7953
1025,64;0,8001
1050,10;0,8139
1055,64;0,8187
1055,74;0,8210
1080,10;0,8338
1085,64;0,8385
1085,74;0,8407
1101,27;0,8496
1110,10;0,8556
1115,64;0,8603
1115,74;0,8625
1140,10;0,8754
1145,64;0,8800
1170,10;0,8926
1175,64;0,8972
1200,10;0,9097
1205,64;0,9143
1230,10;0,9269
1235,64;0,9314
1235,74;0,9337
1260,10;0,9468
1265,64;0,9515
1265,74;0,9537
1290,10;0,9669
1295,64;0,9716
1295,74;0,9739
1311,37;0,9832
1320,10;0,9893
1325,64;0,9941
1325,74;0,9963
1350,10;1,0096
1355,64;1,0143
1355,74;1,0166
1380,10;1,0299
1385,64;1,0346
1385,74;1,0368
1410,10;1,0499
1415,64;1,0546
1415,74;1,0569
1440,10;1,0702
1445,64;1,0749
1445,74;1,0772
1470,10;1,0904
1475,64;1,0951
1475,74;1,0973
1500,10;1,1103
1505,64;1,1149
1505,74;1,1172
1530,10;1,1304
1535,64;1,1351
1535,74;1,1373
1551,37;1,1465
1560,10;1,1527
1565,64;1,1574
1565,74;1,1596
1590,10;1,1728
1595,64;1,1775
1595,74;1,1797
1611,37;1,1889
1620,10;1,1952
1625,64;1,1999
1625,74;1,2021
1641,37;1,2115
1650,10;1,2178
1655,64;1,2226
1655,74;1,2248
1671,37;1,2342
1680,10;1,2405
1685,64;1,2452
1710,10;1,2588
1715,64;1,2636
1731,27;1,2730
1740,10;1,2794
1745,64;1,2842
1761,27;1,2936
1770,10;1,2998
1775,74;1,3046
1800,10;1,3181
1805,64;1,3229
1805,74;1,3251
1830,10;1,3388
1835,64;1,3436
1835,74;1,3458
1860,10;1,3596
1865,64;1,3644
1865,74;1,3666
1881,27;1,3762
1890,10;1,3826
1895,64;1,3874
1895,74;1,3895
1920,10;1,4035
1925,64;1,4083
1925,74;1,4105
1950,10;1,4249
1955,64;1,4298
1955,74;1,4320
1980,10;1,4466
1985,64;1,4515
2010,10;1,4666
2015,64;1,4716
2015,74;1,4738
2040,10;1,4888
2045,64;1,4938
2045,74;1,4959
2070,10;1,5113
2075,64;1,5164
2075,74;1,5185
2100,10;1,5338
2130,10;1,5522
2135,64;1,5573
2160,10;1,5728
2165,64;1,5780
2165,74;1,5801
2190,10;1,5956
2195,74;1,6007
2220,10;1,6162
2225,64;1,6213
2225,74;1,6234
2250,10;1,6388
2255,64;1,6439
2255,74;1,6460
2280,10;1,6618
