time;power
30,00;0,0606
60,00;0,0610
90,00;0,0723
120,00;0,0439
150,00;0,0345
180,00;0,0507
210,00;0,0431
240,00;0,0404
270,00;0,0398
300,00;0,0398
330,00;0,0398
360,00;0,0398
390,00;0,0393
420,00;0,0394
450,00;0,0395
480,00;0,0394
510,00;0,0391
540,00;0,0391
570,00;0,0391
600,00;0,0392
630,00;0,0382
660,00;0,0379
690,00;0,0379
720,00;0,0381
750,00;0,0374
780,00;0,0371
810,00;0,0371
840,00;0,0370
870,00;0,0368
900,00;0,0366
930,00;0,0380
960,00;0,0366
990,00;0,0367
1020,00;0,0358
1050,00;0,0357
1080,00;0,0357
1110,00;0,0357
1140,00;0,0351
1170,00;0,0350
1200,00;0,0350
1230,00;0,0351
1260,00;0,0348
1290,00;0,0347
1320,00;0,0347
1350,00;0,0346
1380,00;0,0347
1410,00;0,0347
1440,00;0,0347
1470,00;0,0362
1500,00;0,0347
1530,00;0,0339
1560,00;0,0337
1590,00;0,0337
1620,00;0,0338
1650,00;0,0338
1680,00;0,0337
1710,00;0,0338
1740,00;0,0338
1770,00;0,0339
1800,00;0,0327
1830,00;0,0327
1860,00;0,0327
1890,00;0,0327
1920,00;0,0326
1950,00;0,0327
1980,00;0,0326
2010,00;0,0324
2040,00;0,0324
2070,00;0,0324
2100,00;0,0324
2130,00;0,0325
2160,00;0,0325
2190,00;0,0325
2220,00;0,0325
2250,00;0,0325
2280,00;0,0326
2310,00;0,0323
2340,00;0,0323
2370,00;0,0323
2400,00;0,0322
2430,00;0,0322
2460,00;0,0322
2490,00;0,0322
2520,00;0,0322
2550,00;0,0315
2580,00;0,0302
2610,00;0,0301
2640,00;0,0301
2670,00;0,0301
2700,00;0,0301
2730,00;0,0301
2760,00;0,0301
2790,00;0,0298
2820,00;0,0291
2850,00;0,0291
2880,00;0,0292
2910,00;0,0292
2940,00;0,0292
2970,00;0,0292
3000,00;0,0293
3030,00;0,0310
3060,00;0,0293
3090,00;0,0294
3120,00;0,0295
3150,00;0,0295
3180,00;0,0285
3210,00;0,0285
3240,00;0,0285
3270,00;0,0304
3300,00;0,0276
3330,00;0,0276
3360,00;0,0276
3390,00;0,0279
3420,00;0,0278
3450,00;0,0278
3480,00;0,0278
3510,00;0,0296
3540,00;0,0278
3570,00;0,0279
3600,00;0,0279
3630,00;0,0278
3660,00;0,0280
3690,00;0,0277
3720,00;0,0277
3750,00;0,0279
3780,00;0,0279
3810,00;0,0282
3840,00;0,0281
3870,00;0,0282
3900,00;0,0282
3930,00;0,0280
3960,00;0,0281
3990,00;0,0281
4020,00;0,0282
4050,00;0,0286
4080,00;0,0256
4110,00;0,0262
4140,00;0,0262
4170,00;0,0265
4200,00;0,0265
4230,00;0,0265
4260,00;0,0266
4290,00;0,0281
4320,00;0,0253
4350,00;0,0254
4380,00;0,0257
4410,00;0,0260
4440,00;0,0259
4470,00;0,0261
4500,00;0,0263
4530,00;0,0270
4560,00;0,0259
4590,00;0,0259
4620,00;0,0265
4650,00;0,0250
4680,00;0,0245
4710,00;0,0243
4740,00;0,0245
4770,00;0,0246
4800,00;0,0234
4830,00;0,0230
4860,00;0,0233
4890,00;0,0233
4920,00;0,0235
4950,00;0,0239
4980,00;0,0244
5010,00;0,0245
5040,00;0,0240
5070,00;0,0228
5100,00;0,0224
5130,00;0,0221
5160,00;0,0219
5190,00;0,0215
5220,00;0,0211
5250,00;0,0214
5280,00;0,0213
5310,00;0,0198
