time;power
30,00;0,0607
60,00;0,0610
90,00;0,0724
120,00;0,0611
150,00;0,0497
180,00;0,0723
210,00;0,0497
240,00;0,0368
270,00;0,0539
300,00;0,0328
330,00;0,0258
360,00;0,0384
390,00;0,0329
420,00;0,0258
450,00;0,0383
480,00;0,0307
510,00;0,0215
540,00;0,0321
570,00;0,0219
600,00;0,0167
630,00;0,0254
660,00;0,0220
690,00;0,0166
720,00;0,0255
750,00;0,0222
780,00;0,0178
810,00;0,0180
840,00;0,0180
870,00;0,0180
900,00;0,0180
930,00;0,0182
960,00;0,0207
990,00;0,0168
1020,00;0,0169
1050,00;0,0169
1080,00;0,0169
1110,00;0,0124
1140,00;0,0195
1170,00;0,0174
1200,00;0,0169
1230,00;0,0193
1260,00;0,0171
1290,00;0,0160
1320,00;0,0162
1350,00;0,0163
1380,00;0,0162
1410,00;0,0163
1440,00;0,0190
1470,00;0,0184
1500,00;0,0189
1530,00;0,0169
1560,00;0,0196
1590,00;0,0173
1620,00;0,0175
1650,00;0,0196
1680,00;0,0196
1710,00;0,0196
1740,00;0,0173
1770,00;0,0129
1800,00;0,0199
1830,00;0,0177
1860,00;0,0178
1890,00;0,0200
1920,00;0,0201
1950,00;0,0180
1980,00;0,0204
2010,00;0,0179
2040,00;0,0179
2070,00;0,0271
2100,00;0,0201
2130,00;0,0062
2160,00;0,0228
2190,00;0,0181
2220,00;0,0208
2250,00;0,0186
2280,00;0,0210
2310,00;0,0210
2340,00;0,0213
2370,00;0,0191
2400,00;0,0190
2430,00;0,0212
2460,00;0,0211
2490,00;0,0212
2520,00;0,0308
2550,00;0,0113
2580,00;0,0188
2610,00;0,0190
2640,00;0,0212
2670,00;0,0310
2700,00;0,0234
2730,00;0,0114
2760,00;0,0211
2790,00;0,0189
2820,00;0,0191
2850,00;0,0312
2880,00;0,0233
2910,00;0,0114
2940,00;0,0214
2970,00;0,0191
3000,00;0,0189
3030,00;0,0211
3060,00;0,0209
3090,00;0,0207
3120,00;0,0207
3150,00;0,0205
3180,00;0,0185
3210,00;0,0188
3240,00;0,0210
3270,00;0,0183
3300,00;0,0187
3330,00;0,0187
3360,00;0,0186
3390,00;0,0186
3420,00;0,0185
3450,00;0,0138
3480,00;0,0214
3510,00;0,0186
3540,00;0,0186
3570,00;0,0304
3600,00;0,0206
3630,00;0,0111
3660,00;0,0207
3690,00;0,0183
3720,00;0,0136
3750,00;0,0235
3780,00;0,0206
3810,00;0,0205
3840,00;0,0183
3870,00;0,0184
3900,00;0,0184
3930,00;0,0302
3960,00;0,0228
3990,00;0,0112
4020,00;0,0188
4050,00;0,0187
4080,00;0,0187
4110,00;0,0306
4140,00;0,0188
4170,00;0,0210
4200,00;0,0135
4230,00;0,0187
4260,00;0,0188
4290,00;0,0306
4320,00;0,0230
4350,00;0,0112
4380,00;0,0209
4410,00;0,0187
4440,00;0,0187
4470,00;0,0209
4500,00;0,0210
4530,00;0,0211
4560,00;0,0212
4590,00;0,0187
4620,00;0,0209
4650,00;0,0188
4680,00;0,0139
4710,00;0,0236
4740,00;0,0191
4770,00;0,0143
4800,00;0,0220
4830,00;0,0193
4860,00;0,0215
4890,00;0,0193
4920,00;0,0195
4950,00;0,0196
4980,00;0,0218
5010,00;0,0196
5040,00;0,0146
5070,00;0,0225
5100,00;0,0198
5130,00;0,0198
5160,00;0,0219
5190,00;0,0197
5220,00;0,0200
5250,00;0,0198
5280,00;0,0221
5310,00;0,0198
5340,00;0,0197
5370,00;0,0198
5400,00;0,0219
5430,00;0,0196
5460,00;0,0197
5490,00;0,0197
5520,00;0,0197
5550,00;0,0198
5580,00;0,0219
5610,00;0,0196
5640,00;0,0220
5670,00;0,0301
5700,00;0,0240
5730,00;0,0117
5760,00;0,0199
5790,00;0,0199
5820,00;0,0219
5850,00;0,0321
5880,00;0,0239
5910,00;0,0116
5940,00;0,0197
5970,00;0,0199
6000,00;0,0198
6030,00;0,0199
6060,00;0,0199
6090,00;0,0198
6120,00;0,0279
6150,00;0,0117
6180,00;0,0148
6210,00;0,0179
6240,00;0,0334
6270,00;0,0139
6300,00;0,0223
6330,00;0,0201
6360,00;0,0222
6390,00;0,0323
6420,00;0,0264
6450,00;0,0139
6480,00;0,0199
6510,00;0,0198
6540,00;0,0199
6570,00;0,0220
6600,00;0,0219
6630,00;0,0219
6660,00;0,0319
6690,00;0,0117
6720,00;0,0197
6750,00;0,0195
6780,00;0,0194
6810,00;0,0194
6840,00;0,0194
6870,00;0,0217
6900,00;0,0196
6930,00;0,0197
6960,00;0,0197
6990,00;0,0195
7020,00;0,0195
7050,00;0,0196
7080,00;0,0146
7110,00;0,0325
7140,00;0,0217
7170,00;0,0066
7200,00;0,0325
7230,00;0,0116
7260,00;0,0146
7290,00;0,0223
7320,00;0,0195
7350,00;0,0196
7380,00;0,0195
7410,00;0,0195
7440,00;0,0194
7470,00;0,0194
7500,00;0,0215
7530,00;0,0193
7560,00;0,0144
7590,00;0,0222
7620,00;0,0191
7650,00;0,0290
7680,00;0,0213
7710,00;0,0065
7740,00;0,0170
7770,00;0,0219
7800,00;0,0191
7830,00;0,0142
7860,00;0,0240
7890,00;0,0142
7920,00;0,0220
7950,00;0,0191
7980,00;0,0142
8010,00;0,0219
8040,00;0,0213
8070,00;0,0191
8100,00;0,0214
8130,00;0,0189
8160,00;0,0141
8190,00;0,0314
8220,00;0,0230
8250,00;0,0064
8280,00;0,0238
8310,00;0,0209
8340,00;0,0139
8370,00;0,0331
8400,00;0,0230
8430,00;0,0113
8460,00;0,0188
8490,00;0,0188
8520,00;0,0188
8550,00;0,0306
8580,00;0,0113
8610,00;0,0188
8640,00;0,0188
8670,00;0,0187
8700,00;0,0188
8730,00;0,0285
8760,00;0,0253
8790,00;0,0162
8820,00;0,0182
8850,00;0,0188
8880,00;0,0186
8910,00;0,0185
8940,00;0,0259
8970,00;0,0112
9000,00;0,0208
9030,00;0,0185
9060,00;0,0137
9090,00;0,0329
9120,00;0,0230
9150,00;0,0112
9180,00;0,0187
9210,00;0,0187
9240,00;0,0140
9270,00;0,0333
9300,00;0,0208
9330,00;0,0064
9360,00;0,0215
9390,00;0,0284
9420,00;0,0208
9450,00;0,0135
9480,00;0,0307
9510,00;0,0112
9540,00;0,0189
9570,00;0,0189
9600,00;0,0208
9630,00;0,0208
9660,00;0,0187
9690,00;0,0187
9720,00;0,0209
9750,00;0,0186
9780,00;0,0187
9810,00;0,0284
9840,00;0,0231
9870,00;0,0112
9900,00;0,0209
9930,00;0,0187
9960,00;0,0186
9990,00;0,0186
10020,00;0,0209
10050,00;0,0138
10080,00;0,0165
10110,00;0,0214
10140,00;0,0186
10170,00;0,0137
10200,00;0,0236
10230,00;0,0186
10260,00;0,0187
10290,00;0,0187
10320,00;0,0186
10350,00;0,0138
10380,00;0,0235
10410,00;0,0188
10440,00;0,0191
10470,00;0,0212
10500,00;0,0191
10530,00;0,0143
10560,00;0,0220
10590,00;0,0190
10620,00;0,0141
10650,00;0,0219
10680,00;0,0190
10710,00;0,0191
10740,00;0,0191
10770,00;0,0143
10800,00;0,0170
10830,00;0,0219
10860,00;0,0142
10890,00;0,0171
10920,00;0,0220
10950,00;0,0192
10980,00;0,0143
11010,00;0,0220
11040,00;0,0193
11070,00;0,0144
11100,00;0,0243
11130,00;0,0292
11160,00;0,0193
11190,00;0,0115
11220,00;0,0190
11250,00;0,0142
11280,00;0,0240
11310,00;0,0212
11340,00;0,0191
11370,00;0,0190
11400,00;0,0192
11430,00;0,0192
11460,00;0,0193
11490,00;0,0194
11520,00;0,0217
