time;power_cum
30,10;0,0607
60,10;0,1217
90,10;0,1828
95,64;0,1941
120,10;0,2120
125,64;0,2175
150,10;0,2354
180,10;0,2570
185,64;0,2626
210,10;0,2727
240,10;0,2847
270,10;0,2967
275,64;0,3008
300,10;0,3109
305,64;0,3150
330,10;0,3256
335,64;0,3297
360,10;0,3409
365,64;0,3452
381,27;0,3531
390,10;0,3588
395,64;0,3632
420,10;0,3756
425,64;0,3800
450,10;0,3930
455,64;0,3976
480,10;0,4115
485,64;0,4162
510,10;0,4306
515,64;0,4355
540,10;0,4501
545,64;0,4550
545,74;0,4572
570,10;0,4721
575,64;0,4770
575,74;0,4792
600,10;0,4940
605,64;0,4989
605,74;0,5010
630,10;0,5161
635,64;0,5210
660,10;0,5368
665,64;0,5419
665,74;0,5440
690,10;0,5600
695,64;0,5652
695,74;0,5673
720,10;0,5832
725,64;0,5883
725,74;0,5904
750,10;0,6057
755,64;0,6108
755,74;0,6129
780,10;0,6287
785,64;0,6339
785,74;0,6360
810,10;0,6517
815,64;0,6568
815,74;0,6590
840,10;0,6746
845,64;0,6798
845,74;0,6819
870,10;0,6973
875,64;0,7024
875,74;0,7046
900,10;0,7195
905,64;0,7245
905,74;0,7267
930,10;0,7409
935,64;0,7458
935,74;0,7480
960,10;0,7621
965,64;0,7670
965,74;0,7693
990,10;0,7828
995,64;0,7876
995,74;0,7899
1020,10;0,8025
1025,64;0,8071
1025,74;0,8095
1050,10;0,8216
1055,64;0,8261
1055,74;0,8285
1080,10;0,8403
1085,64;0,8447
1085,74;0,8471
1110,10;0,8586
1115,64;0,8630
1115,74;0,8653
1140,10;0,8769
1145,64;0,8813
1145,74;0,8836
1170,10;0,8951
1175,64;0,8995
1200,10;0,9111
1205,64;0,9154
1230,10;0,9276
1235,64;0,9321
1260,10;0,9442
1265,64;0,9487
1265,74;0,9510
1290,10;0,9633
1295,64;0,9678
1311,37;0,9765
1320,10;0,9825
1325,64;0,9871
1341,37;0,9960
1350,10;1,0020
1355,64;1,0066
1355,74;1,0089
1380,10;1,0217
1385,64;1,0263
1385,74;1,0286
1410,10;1,0414
1415,64;1,0461
1431,27;1,0551
1440,10;1,0613
1445,64;1,0660
1470,10;1,0791
1475,64;1,0838
1500,10;1,0968
1505,64;1,1014
1530,10;1,1148
1535,64;1,1195
1535,74;1,1217
1560,10;1,1354
1565,64;1,1402
1565,74;1,1424
1590,10;1,1559
1595,64;1,1607
1595,74;1,1629
1611,37;1,1724
1620,10;1,1788
1625,64;1,1836
1641,37;1,1933
1650,10;1,1997
1655,64;1,2046
1655,74;1,2068
1680,10;1,2207
1685,64;1,2256
1710,10;1,2398
1715,64;1,2446
1731,37;1,2545
1740,10;1,2610
1745,64;1,2658
1761,37;1,2756
1770,10;1,2820
1775,64;1,2869
1800,10;1,3014
1830,10;1,3188
1835,64;1,3237
1835,74;1,3259
1860,10;1,3407
1865,64;1,3457
1865,74;1,3479
1890,10;1,3628
1895,64;1,3678
1895,74;1,3699
1920,10;1,3850
1925,64;1,3901
1925,74;1,3922
1950,10;1,4074
1955,64;1,4125
1955,74;1,4146
1980,10;1,4301
1985,64;1,4352
2010,10;1,4507
2015,64;1,4558
2040,10;1,4714
2045,64;1,4766
2070,10;1,4923
2075,64;1,4974
2100,10;1,5132
2105,64;1,5183
2130,10;1,5341
2135,64;1,5392
2160,10;1,5550
2165,64;1,5602
2190,10;1,5758
2195,64;1,5810
2220,10;1,5967
2225,64;1,6019
2225,74;1,6040
2250,10;1,6197
2255,64;1,6248
2255,74;1,6270
2280,10;1,6426
2285,64;1,6478
2285,74;1,6499
2310,10;1,6655
2315,74;1,6707
2340,10;1,6863
2345,64;1,6915
2345,74;1,6936
2370,10;1,7094
2375,74;1,7146
2400,10;1,7305
2405,64;1,7357
2405,74;1,7378
