time;power
30,00;0,0607
60,00;0,0611
90,00;0,0724
120,00;0,0381
150,00;0,0381
180,00;0,0380
210,00;0,0380
240,00;0,0380
270,00;0,0386
300,00;0,0387
330,00;0,0590
360,00;0,0399
390,00;0,0198
420,00;0,0388
450,00;0,0389
480,00;0,0389
510,00;0,0402
540,00;0,0400
570,00;0,0402
600,00;0,0401
630,00;0,0401
660,00;0,0388
690,00;0,0404
720,00;0,0403
750,00;0,0403
780,00;0,0388
810,00;0,0402
840,00;0,0388
870,00;0,0403
900,00;0,0389
930,00;0,0404
960,00;0,0389
990,00;0,0390
1020,00;0,0389
1050,00;0,0401
1080,00;0,0400
1110,00;0,0400
1140,00;0,0400
1170,00;0,0387
1200,00;0,0388
1230,00;0,0388
1260,00;0,0386
1290,00;0,0386
1320,00;0,0386
1350,00;0,0399
1380,00;0,0385
1410,00;0,0386
1440,00;0,0386
1470,00;0,0386
1500,00;0,0386
1530,00;0,0387
1560,00;0,0386
1590,00;0,0386
1620,00;0,0386
1650,00;0,0585
1680,00;0,0397
1710,00;0,0210
1740,00;0,0396
1770,00;0,0385
1800,00;0,0387
1830,00;0,0387
1860,00;0,0387
1890,00;0,0401
1920,00;0,0387
1950,00;0,0389
1980,00;0,0388
2010,00;0,0389
2040,00;0,0391
2070,00;0,0391
2100,00;0,0391
2130,00;0,0390
2160,00;0,0390
2190,00;0,0390
2220,00;0,0390
2250,00;0,0391
2280,00;0,0391
2310,00;0,0390
2340,00;0,0390
2370,00;0,0391
2400,00;0,0391
2430,00;0,0392
2460,00;0,0391
2490,00;0,0391
2520,00;0,0391
2550,00;0,0391
2580,00;0,0391
2610,00;0,0390
2640,00;0,0390
2670,00;0,0390
2700,00;0,0390
2730,00;0,0390
2760,00;0,0390
2790,00;0,0390
2820,00;0,0391
2850,00;0,0391
2880,00;0,0391
2910,00;0,0393
2940,00;0,0392
2970,00;0,0393
3000,00;0,0393
3030,00;0,0404
3060,00;0,0390
3090,00;0,0404
3120,00;0,0390
3150,00;0,0390
3180,00;0,0392
3210,00;0,0392
3240,00;0,0392
3270,00;0,0392
3300,00;0,0392
3330,00;0,0392
3360,00;0,0392
3390,00;0,0392
3420,00;0,0392
3450,00;0,0392
3480,00;0,0393
3510,00;0,0405
3540,00;0,0404
3570,00;0,0404
3600,00;0,0596
3630,00;0,0211
3660,00;0,0391
3690,00;0,0392
3720,00;0,0392
3750,00;0,0404
3780,00;0,0389
3810,00;0,0391
3840,00;0,0390
3870,00;0,0390
3900,00;0,0391
3930,00;0,0391
3960,00;0,0390
3990,00;0,0403
4020,00;0,0402
4050,00;0,0402
4080,00;0,0401
4110,00;0,0402
4140,00;0,0389
4170,00;0,0390
4200,00;0,0389
4230,00;0,0389
4260,00;0,0389
4290,00;0,0388
4320,00;0,0389
4350,00;0,0388
4380,00;0,0387
4410,00;0,0387
4440,00;0,0387
4470,00;0,0387
4500,00;0,0387
4530,00;0,0387
4560,00;0,0388
4590,00;0,0387
4620,00;0,0387
4650,00;0,0387
4680,00;0,0388
4710,00;0,0401
4740,00;0,0400
4770,00;0,0387
4800,00;0,0388
4830,00;0,0388
4860,00;0,0389
4890,00;0,0388
4920,00;0,0388
4950,00;0,0389
4980,00;0,0389
5010,00;0,0389
