time;power_cum
300,10;6,0469
309,91;6,2849
314,02;6,3847
327,94;6,7427
600,10;7,2158
609,91;7,2331
614,02;7,2403
627,94;7,2649
699,91;7,3922
704,02;7,3995
717,94;7,4242
900,10;7,7454
909,91;7,7634
914,02;7,7710
927,94;7,7968
999,91;7,9288
1004,02;7,9364
1017,94;7,9619
1200,10;8,2931
1209,91;8,3109
1214,02;8,3184
1227,94;8,3437
1500,10;8,8344
1509,91;8,8528
1514,02;8,8605
1527,94;8,8868
1599,91;9,0210
1604,02;9,0286
1617,94;9,0546
1800,10;9,3917
1809,91;9,4098
1814,02;9,4174
1827,94;9,4433
2100,10;9,9485
2109,91;9,9667
2114,02;9,9744
2127,94;10,0004
2400,10;10,4975
2409,91;10,5154
2414,02;10,5229
2427,94;10,5485
2700,10;11,0219
2709,91;11,0393
2714,02;11,0466
2727,94;11,0715
2799,91;11,1990
2804,02;11,2063
2817,94;11,2309
3000,10;11,5507
3009,91;11,5679
3014,02;11,5752
3027,94;11,5997
3300,10;12,0575
3309,91;12,0744
3314,02;12,0815
3327,94;12,1056
3399,91;12,2294
3404,02;12,2365
3417,94;12,2604
3600,10;12,5705
3609,91;12,5871
3614,02;12,5941
3627,94;12,6178
3900,10;13,0695
3909,91;13,0865
3914,02;13,0937
3927,94;13,1181
3999,91;13,2426
4004,02;13,2497
4017,94;13,2738
4200,10;13,5861
4209,91;13,6029
4214,02;13,6100
4227,94;13,6339
4500,10;14,0945
4509,91;14,1114
4514,02;14,1186
4527,94;14,1428
4599,91;14,2669
4604,02;14,2740
4617,94;14,2979
4800,10;14,6099
4809,91;14,6267
4814,02;14,6337
4827,94;14,6575
5100,10;15,0869
5109,91;15,1024
5114,02;15,1088
5127,94;15,1308
5400,10;15,5524
5409,91;15,5682
5414,02;15,5749
5427,94;15,5975
5499,91;15,7130
5504,02;15,7196
5517,94;15,7419
5700,10;16,0334
5709,91;16,0491
5714,02;16,0557
5727,94;16,0781
6000,10;16,5094
6009,91;16,5260
6014,02;16,5330
6027,94;16,5567
6099,91;16,6770
6104,02;16,6839
6117,94;16,7071
6300,10;17,0092
6309,91;17,0254
6314,02;17,0322
6327,94;17,0554
6600,10;17,4778
6609,91;17,4934
6614,02;17,4999
6627,94;17,5221
6699,91;17,6355
6717,94;17,6639
6900,10;17,9493
6909,91;17,9646
6914,02;17,9711
6927,94;17,9929
7200,10;18,4074
7209,91;18,4234
7214,02;18,4301
7227,94;18,4530
7299,91;18,5694
7304,02;18,5761
7317,94;18,5986
7500,10;18,8921
7509,91;18,9082
7514,02;18,9150
7527,94;18,9380
7599,91;19,0563
7604,02;19,0631
7617,94;19,0860
7800,10;19,3856
7809,91;19,4025
7814,02;19,4096
7827,94;19,4336
7899,91;19,5563
7904,02;19,5633
7917,94;19,5870
8100,10;19,8966
8109,91;19,9133
8114,02;19,9202
8127,94;19,9439
8400,10;20,3833
8409,91;20,3994
8414,02;20,4062
8427,94;20,4291
8499,91;20,5470
8517,94;20,5765
8700,10;20,8736
8709,91;20,8896
8714,02;20,8963
8727,94;20,9190
9000,10;21,3436
9009,91;21,3596
9014,02;21,3663
9027,94;21,3892
9099,91;21,5061
9104,02;21,5128
9117,94;21,5354
9300,10;21,8311
9309,91;21,8474
9314,02;21,8542
9327,94;21,8774
9399,91;21,9962
9404,02;22,0030
9417,94;22,0259
9600,10;22,3228
9609,91;22,3387
9614,02;22,3454
9627,94;22,3679
9900,10;22,7739
9909,91;22,7885
9914,02;22,7946
9927,94;22,8154
10200,10;23,2142
10209,91;23,2292
10214,02;23,2356
10227,94;23,2570
10299,91;23,3667
10304,02;23,3730
10317,94;23,3942
10500,10;23,6715
10509,91;23,6865
10514,02;23,6927
10527,94;23,7140
10800,10;24,1173
10809,91;24,1317
10814,02;24,1378
10827,94;24,1585
11100,10;24,5400
11109,91;24,5546
11114,02;24,5607
11127,94;24,5815
11199,91;24,6873
11204,02;24,6933
11217,94;24,7139
11400,10;24,9823
11409,91;24,9974
11414,02;25,0038
11427,94;25,0254
11499,91;25,1353
11504,02;25,1416
11517,94;25,1629
11700,10;25,4394
11709,91;25,4543
11714,02;25,4605
11727,94;25,4818
12000,10;25,8746
12009,91;25,8897
12014,02;25,8961
12027,94;25,9176
12099,91;26,0272
12104,02;26,0334
12117,94;26,0546
12300,10;26,3315
12309,91;26,3464
12314,02;26,3526
12327,94;26,3739
12600,10;26,7783
12609,91;26,7929
12614,02;26,7989
12627,94;26,8196
12900,10;27,2087
12909,91;27,2228
12914,02;27,2286
12927,94;27,2486
13200,10;27,6379
13209,91;27,6523
13214,02;27,6583
13227,94;27,6787
13299,91;27,7834
13317,94;27,8096
13500,10;28,0737
13509,91;28,0880
13514,02;28,0939
13527,94;28,1143
13800,10;28,4972
13809,91;28,5118
13814,02;28,5179
13827,94;28,5386
13899,91;28,6443
13904,02;28,6503
13917,94;28,6708
14100,10;28,9380
14109,91;28,9527
14114,02;28,9589
14127,94;28,9798
14199,91;29,0878
14400,10;29,3894
14409,91;29,4050
14414,02;29,4115
14427,94;29,4335
14499,91;29,5461
14504,02;29,5525
14517,94;29,5742
14700,10;29,8561
14709,91;29,8712
14714,02;29,8776
14727,94;29,8992
15000,10;30,3123
15009,91;30,3272
15014,02;30,3334
15027,94;30,3546
15300,10;30,7640
15309,91;30,7801
15314,02;30,7869
15327,94;30,8099
15399,91;30,9258
15404,02;30,9324
15417,94;30,9547
15600,10;31,2433
15609,91;31,2588
15614,02;31,2652
15627,94;31,2872
15900,10;31,6606
15909,91;31,6745
15914,02;31,6803
15927,94;31,7000
15999,91;31,8014
16004,02;31,8072
16017,94;31,8268
16200,10;32,0839
16209,91;32,0985
16214,02;32,1046
16227,94;32,1254
16299,91;32,2311
16304,02;32,2371
16317,94;32,2576
16500,10;32,5242
16509,91;32,5386
16514,02;32,5446
16527,94;32,5650
16800,10;32,9593
16809,91;32,9745
16814,02;32,9809
16827,94;33,0026
16899,91;33,1130
16904,02;33,1193
16917,94;33,1407
17100,10;33,4201
17109,91;33,4356
17114,02;33,4420
17127,94;33,4640
17199,91;33,5768
17204,02;33,5832
17217,94;33,6050
17400,10;33,8888
17409,91;33,9040
17414,02;33,9104
17427,94;33,9322
17700,10;34,3553
17709,91;34,3706
17714,02;34,3770
17727,94;34,3987
18000,10;34,8223
18009,91;34,8376
18014,02;34,8440
18027,94;34,8657
18300,10;35,2821
18309,91;35,2971
18314,02;35,3034
18327,94;35,3247
18600,10;35,7275
18609,91;35,7425
18614,02;35,7487
18627,94;35,7700
18699,91;35,8788
18704,02;35,8850
18717,94;35,9060
18900,10;36,1794
18909,91;36,1941
18914,02;36,2002
18927,94;36,2211
19200,10;36,6170
19209,91;36,6325
19214,02;36,6391
19227,94;36,6613
19299,91;36,7743
19304,02;36,7808
19317,94;36,8027
19500,10;37,0893
19509,91;37,1054
19514,02;37,1122
19527,94;37,1351
19599,91;37,2520
19604,02;37,2587
19617,94;37,2813
19800,10;37,5744
19809,91;37,5901
19814,02;37,5967
19827,94;37,6192
20100,10;38,0197
20109,91;38,0348
20114,02;38,0411
20127,94;38,0626
20199,91;38,1724
20204,02;38,1787
20217,94;38,1999
20400,10;38,4766
20409,91;38,4914
20414,02;38,4977
20427,94;38,5189
20700,10;38,9205
20709,91;38,9360
20714,02;38,9425
20727,94;38,9647
20799,91;39,0773
20804,02;39,0837
