time;power
30,00;0,0607
60,00;0,0611
90,00;0,0724
120,00;0,0234
150,00;0,0179
180,00;0,0271
210,00;0,0102
240,00;0,0119
270,00;0,0160
300,00;0,0144
330,00;0,0155
360,00;0,0244
390,00;0,0107
420,00;0,0183
450,00;0,0183
480,00;0,0208
510,00;0,0212
540,00;0,0348
570,00;0,0145
600,00;0,0234
630,00;0,0213
660,00;0,0230
690,00;0,0243
720,00;0,0248
750,00;0,0240
780,00;0,0240
810,00;0,0237
840,00;0,0237
870,00;0,0241
900,00;0,0231
930,00;0,0208
960,00;0,0229
990,00;0,0194
1020,00;0,0193
1050,00;0,0308
1080,00;0,0131
1110,00;0,0180
1140,00;0,0181
1170,00;0,0178
1200,00;0,0174
1230,00;0,0200
1260,00;0,0204
1290,00;0,0304
1320,00;0,0134
1350,00;0,0303
1380,00;0,0133
1410,00;0,0273
1440,00;0,0223
1470,00;0,0130
1500,00;0,0166
1530,00;0,0272
1560,00;0,0210
1590,00;0,0213
1620,00;0,0213
1650,00;0,0127
1680,00;0,0174
1710,00;0,0287
1740,00;0,0221
1770,00;0,0130
1800,00;0,0198
1830,00;0,0198
1860,00;0,0183
1890,00;0,0300
1920,00;0,0231
1950,00;0,0135
1980,00;0,0191
2010,00;0,0195
2040,00;0,0199
2070,00;0,0199
2100,00;0,0223
2130,00;0,0306
2160,00;0,0225
2190,00;0,0119
2220,00;0,0225
2250,00;0,0224
2280,00;0,0150
2310,00;0,0253
2340,00;0,0225
2370,00;0,0202
2400,00;0,0203
2430,00;0,0203
2460,00;0,0202
2490,00;0,0201
2520,00;0,0204
2550,00;0,0223
2580,00;0,0224
2610,00;0,0223
2640,00;0,0222
2670,00;0,0221
2700,00;0,0198
2730,00;0,0198
2760,00;0,0197
2790,00;0,0300
2820,00;0,0219
2850,00;0,0116
2880,00;0,0198
2910,00;0,0200
2940,00;0,0284
2970,00;0,0118
3000,00;0,0225
3030,00;0,0330
3060,00;0,0245
3090,00;0,0146
3120,00;0,0244
3150,00;0,0213
3180,00;0,0197
3210,00;0,0217
3240,00;0,0217
3270,00;0,0216
3300,00;0,0216
3330,00;0,0217
3360,00;0,0316
3390,00;0,0255
3420,00;0,0233
3450,00;0,0212
3480,00;0,0231
3510,00;0,0134
3540,00;0,0211
3570,00;0,0192
3600,00;0,0192
3630,00;0,0334
3660,00;0,0259
3690,00;0,0238
3720,00;0,0138
3750,00;0,0318
3780,00;0,0220
3810,00;0,0138
3840,00;0,0220
3870,00;0,0215
3900,00;0,0216
3930,00;0,0216
3960,00;0,0216
3990,00;0,0216
4020,00;0,0218
4050,00;0,0195
4080,00;0,0218
4110,00;0,0195
4140,00;0,0198
4170,00;0,0197
4200,00;0,0217
4230,00;0,0195
4260,00;0,0219
4290,00;0,0219
4320,00;0,0220
4350,00;0,0197
4380,00;0,0198
4410,00;0,0198
4440,00;0,0199
4470,00;0,0150
4500,00;0,0231
4530,00;0,0202
4560,00;0,0202
4590,00;0,0152
4620,00;0,0252
4650,00;0,0199
4680,00;0,0201
4710,00;0,0203
4740,00;0,0201
4770,00;0,0202
4800,00;0,0202
4830,00;0,0202
4860,00;0,0306
4890,00;0,0068
4920,00;0,0183
4950,00;0,0234
4980,00;0,0204
5010,00;0,0153
