time;power
300,00;6,6411
600,00;3,3850
900,00;2,3307
1200,00;2,1035
1500,00;1,3481
1800,00;1,1331
2100,00;1,0057
2400,00;0,8489
2700,00;0,8391
3000,00;0,7169
3300,00;0,7214
3600,00;0,7258
3900,00;0,7600
4200,00;0,9409
4500,00;1,0785
4800,00;1,0094
5100,00;0,7851
5400,00;0,8299
5700,00;0,8609
6000,00;1,0639
6300,00;1,1481
6600,00;0,7435
6900,00;0,7120
7200,00;0,8729
7500,00;1,1005
7800,00;0,9816
8100,00;0,7698
8400,00;0,6969
8700,00;0,7539
9000,00;0,9891
9300,00;1,1513
9600,00;0,9340
9900,00;0,6758
10200,00;0,6805
10500,00;0,8735
10800,00;0,8843
11100,00;0,7806
11400,00;0,8809
11700,00;0,9668
12000,00;0,8850
12300,00;0,8812
12600,00;0,8752
12900,00;0,7916
13200,00;0,7641
13500,00;1,0275
13800,00;1,0046
14100,00;0,8139
14400,00;0,8356
14700,00;0,8904
15000,00;0,8921
15300,00;0,9414
15600,00;0,7831
15900,00;0,7336
16200,00;1,0794
16500,00;1,0056
16800,00;0,6929
17100,00;0,8031
17400,00;0,8824
17700,00;1,0620
18000,00;0,9180
18300,00;0,7090
18600,00;0,7941
18900,00;0,8871
19200,00;0,8856
19500,00;1,0105
19800,00;0,9166
20100,00;0,7382
20400,00;0,8063
20700,00;0,9104
21000,00;1,0912
21300,00;0,8566
21600,00;0,7463
21900,00;0,7304
22200,00;0,7644
22500,00;1,0825
22800,00;0,9043
23100,00;0,6610
23400,00;0,8089
23700,00;0,9334
24000,00;0,8166
24300,00;0,8825
24600,00;0,8840
24900,00;0,8802
25200,00;1,0150
25500,00;0,7977
25800,00;0,7396
26100,00;1,0875
26400,00;0,9543
26700,00;0,6781
27000,00;0,7361
27300,00;0,9719
27600,00;0,9228
27900,00;0,7853
28200,00;1,0951
28500,00;1,1747
28800,00;0,7649
29100,00;0,7524
29400,00;0,7738
29700,00;0,8143
30000,00;0,8843
30300,00;0,9816
30600,00;0,8919
30900,00;0,7918
31200,00;0,8740
31500,00;0,8003
31800,00;0,8516
32100,00;0,9321
32400,00;0,9216
32700,00;1,0234
33000,00;0,8607
33300,00;0,7968
33600,00;0,9971
33900,00;0,9679
34200,00;0,7352
34500,00;0,8139
34800,00;0,9617
35100,00;0,8339
35400,00;0,7799
35700,00;0,9800
36000,00;1,0295
36300,00;0,7282
36600,00;0,6975
36900,00;0,8562
37200,00;1,0432
37500,00;0,9464
37800,00;0,6423
38100,00;0,8584
38400,00;0,9406
38700,00;0,9477
39000,00;0,8548
39300,00;0,8884
39600,00;0,9788
39900,00;0,7467
40200,00;0,8424
40500,00;0,8843
40800,00;0,7834
41100,00;0,9887
41400,00;0,9237
41700,00;0,7870
42000,00;0,7696
42300,00;0,9600
42600,00;0,9261
42900,00;0,7981
43200,00;0,9407
43500,00;0,9519
43800,00;0,9176
44100,00;0,8147
44400,00;0,8567
44700,00;0,9250
45000,00;0,8442
45300,00;0,8035
45600,00;0,9004
45900,00;0,8600
46200,00;0,7621
46500,00;0,9716
46800,00;1,0575
47100,00;0,7622
47400,00;0,8659
47700,00;0,9100
48000,00;0,8579
48300,00;0,9307
48600,00;0,9743
48900,00;0,8143
49200,00;0,8450
49500,00;1,1288
49800,00;0,9526
50100,00;0,7103
50400,00;0,7563
50700,00;0,7626
51000,00;0,9984
51300,00;1,0222
51600,00;0,7109
51900,00;0,8225
52200,00;0,9714
52500,00;0,8950
52800,00;0,7999
53100,00;0,9736
53400,00;0,9174
53700,00;0,7566
54000,00;0,8611
54300,00;0,8979
54600,00;1,0091
54900,00;0,9552
55200,00;0,7836
55500,00;0,8209
55800,00;0,9236
56100,00;0,8973
56400,00;0,9178
56700,00;0,9511
57000,00;0,8274
57300,00;1,0110
57600,00;0,8370
57900,00;0,8292
58200,00;0,9103
58500,00;0,8746
58800,00;0,8674
59100,00;0,8129
59400,00;0,8844
59700,00;0,9810
60000,00;0,8576
60300,00;0,7523
60600,00;0,9499
60900,00;0,7792
61200,00;0,7456
61500,00;0,9508
61800,00;0,8753
62100,00;0,7571
62400,00;0,8369
62700,00;0,8413
63000,00;0,8866
63300,00;0,9081
63600,00;0,6474
63900,00;0,6764
64200,00;0,9384
64500,00;0,9606
