time;power_cum
300,10;6,0478
309,91;6,2505
314,02;6,3387
327,94;6,6411
600,10;9,7077
609,91;9,8182
614,02;9,8649
627,94;10,0261
900,10;12,1391
909,91;12,2154
914,02;12,2474
927,94;12,3568
1200,10;13,9422
1209,91;13,9997
1214,02;14,0238
1227,94;14,1058
1304,02;14,4604
1500,10;15,3757
1509,91;15,4222
1514,02;15,4417
1527,94;15,5078
1599,91;15,7922
1604,02;15,8085
1800,10;16,5827
1809,91;16,6224
1814,02;16,6391
1827,94;16,6956
1899,91;16,9416
2100,10;17,6258
2109,91;17,6600
2114,02;17,6744
2127,94;17,7233
2199,91;17,9352
2204,02;17,9472
2400,10;18,5228
2409,91;18,5522
2414,02;18,5645
2427,94;18,6064
2499,91;18,7961
2700,10;19,3244
2709,91;19,3534
2714,02;19,3656
2727,94;19,4068
2799,91;19,5895
2804,02;19,5999
2817,94;19,6352
3000,10;20,0954
3009,91;20,1232
3014,02;20,1350
3027,94;20,1752
3099,91;20,3426
3104,02;20,3521
3300,10;20,8092
3309,91;20,8383
3314,02;20,8507
3327,94;20,8926
3399,91;21,0638
3404,02;21,0735
3600,10;21,5377
3609,91;21,5678
3614,02;21,5808
3627,94;21,6247
3699,91;21,7898
3704,02;21,7993
3900,10;22,2512
3909,91;22,2877
3914,02;22,3034
3927,94;22,3567
3999,91;22,5483
4004,02;22,5592
4200,10;23,0789
4209,91;23,1266
4214,02;23,1472
4227,94;23,2175
4299,91;23,4435
4304,02;23,4564
4317,94;23,5002
4500,10;24,0727
4509,91;24,1312
4514,02;24,1570
4527,94;24,2440
4599,91;24,5117
4604,02;24,5270
4617,94;24,5787
4800,10;25,2543
4809,91;25,3011
4814,02;25,3224
4827,94;25,3943
4899,91;25,5776
4904,02;25,5881
5100,10;26,0862
5109,91;26,1216
5114,02;26,1370
5127,94;26,1893
5199,91;26,3632
5204,02;26,3732
5400,10;26,8477
5409,91;26,8864
5414,02;26,9032
5427,94;26,9602
5499,91;27,1544
5504,02;27,1655
5517,94;27,2030
5700,10;27,6934
5709,91;27,7362
5714,02;27,7547
5727,94;27,8184
5799,91;28,0147
5804,02;28,0259
5817,94;28,0639
6000,10;28,5614
6009,91;28,6243
6014,02;28,6516
6027,94;28,7444
6099,91;29,0510
6104,02;29,0685
6117,94;29,1278
6300,10;29,9025
6309,91;29,9515
6314,02;29,9740
6327,94;30,0507
6399,91;30,2308
6404,02;30,2411
6417,94;30,2759
6600,10;30,7309
6609,91;30,7614
6614,02;30,7746
6627,94;30,8194
6699,91;30,9794
6704,02;30,9885
6717,94;31,0194
6900,10;31,4229
6909,91;31,4545
6914,02;31,4680
6927,94;31,5141
6999,91;31,6878
7004,02;31,6978
7017,94;31,7314
7200,10;32,1727
7209,91;32,2197
