time;power_cum
300,10;6,0473
309,91;6,2493
314,02;6,3387
327,94;6,6457
600,10;9,0083
609,91;9,0934
614,02;9,1293
627,94;9,2525
900,10;10,9028
909,91;10,9625
914,02;10,9875
927,94;11,0726
1200,10;12,3509
1209,91;12,3970
1214,02;12,4164
1227,94;12,4821
1500,10;13,5088
1509,91;13,5460
1514,02;13,5615
1527,94;13,6144
1800,10;14,4817
1809,91;14,5142
1814,02;14,5277
1827,94;14,5737
1899,91;14,7791
1904,02;14,7908
1917,94;14,8305
2100,10;15,3504
2109,91;15,3791
2114,02;15,3912
2127,94;15,4320
2204,02;15,6258
2217,94;15,6612
2400,10;16,1234
2409,91;16,1494
2414,02;16,1603
2427,94;16,1974
2517,94;16,4097
2700,10;16,8400
2709,91;16,8698
2714,02;16,8823
2727,94;16,9247
2799,91;17,1138
2804,02;17,1246
2817,94;17,1611
3000,10;17,6374
3009,91;17,6641
3014,02;17,6755
3027,94;17,7142
3099,91;17,8782
3104,02;17,8875
3300,10;18,3357
3309,91;18,3608
3314,02;18,3713
3327,94;18,4069
3399,91;18,5698
3404,02;18,5791
3417,94;18,6105
3600,10;19,0203
3609,91;19,0457
3614,02;19,0563
3627,94;19,0924
3704,02;19,2617
3717,94;19,2928
3900,10;19,7005
3909,91;19,7273
3914,02;19,7386
3927,94;19,7770
4004,02;19,9523
4017,94;19,9844
4200,10;20,4018
4209,91;20,4280
4214,02;20,4389
4227,94;20,4771
4304,02;20,6298
4317,94;20,6577
4500,10;21,0234
4509,91;21,0486
4514,02;21,0592
4527,94;21,0953
4599,91;21,2528
4604,02;21,2618
4617,94;21,2922
4800,10;21,6892
4809,91;21,7164
4814,02;21,7278
4827,94;21,7669
4899,91;21,9363
4904,02;21,9460
4917,94;21,9788
5100,10;22,4059
5109,91;22,4318
5114,02;22,4430
5127,94;22,4809
5199,91;22,6253
5204,02;22,6335
5217,94;22,6615
5400,10;23,0273
5409,91;23,0570
5414,02;23,0695
5427,94;23,1117
5499,91;23,2883
5504,02;23,2984
5517,94;23,3326
5700,10;23,7783
5709,91;23,8104
5714,02;23,8239
5727,94;23,8698
5799,91;24,0687
5804,02;24,0801
5817,94;24,1186
6000,10;24,6233
6009,91;24,6543
6014,02;24,6674
6027,94;24,7124
6104,02;24,9038
6117,94;24,9387
6300,10;25,3950
6309,91;25,4247
6314,02;25,4372
6327,94;25,4796
6399,91;25,6504
6404,02;25,6601
6417,94;25,6931
6600,10;26,1244
6609,91;26,1524
6614,02;26,1642
6627,94;26,2046
6699,91;26,3598
6704,02;26,3687
6717,94;26,3987
6900,10;26,7903
6909,91;26,8224
6914,02;26,8359
6927,94;26,8820
6999,91;27,0726
7004,02;27,0835
7017,94;27,1204
7200,10;27,6043
7209,91;27,6485
7214,02;27,6670
7227,94;27,7304
7299,91;27,9936
7304,02;28,0086
7317,94;28,0595
7500,10;28,7236
7509,91;28,7635
7514,02;28,7804
7527,94;28,8387
7599,91;29,0546
7604,02;29,0669
7617,94;29,1087
7800,10;29,6562
7809,91;29,6928
7814,02;29,7081
7827,94;29,7609
7899,91;29,9608
7904,02;29,9723
7917,94;30,0109
8100,10;30,5154
8109,91;30,5474
8114,02;30,5608
8127,94;30,6066
8199,91;30,7927
8204,02;30,8034
8217,94;30,8393
8400,10;31,3092
8409,91;31,3430
8414,02;31,3571
8427,94;31,4052
8499,91;31,6076
8504,02;31,6192
8517,94;31,6583
8700,10;32,1695
8709,91;32,2012
8714,02;32,2146
8727,94;32,2603
8799,91;32,4380
8804,02;32,4482
8817,94;32,4826
9000,10;32,9339
9009,91;32,9697
9014,02;32,9847
9027,94;33,0358
9099,91;33,2506
9104,02;33,2629
9117,94;33,3044
9300,10;33,8478
9309,91;33,8811
9314,02;33,8953
9327,94;33,9439
9399,91;34,1360
9404,02;34,1469
9417,94;34,1840
9600,10;34,6669
9609,91;34,6987
9614,02;34,7121
9627,94;34,7579
9699,91;34,9385
9704,02;34,9489
9717,94;34,9838
9900,10;35,4397
9909,91;35,4661
9914,02;35,4772
9927,94;35,5155
10004,02;35,6764
10017,94;35,7059
10200,10;36,0921
10209,91;36,1196
10214,02;36,1311
10227,94;36,1701
10299,91;36,3344
10304,02;36,3438
10317,94;36,3756
10500,10;36,7911
10509,91;36,8190
10514,02;36,8307
10527,94;36,8706
10599,91;37,0420
10604,02;37,0518
10617,94;37,0848
10800,10;37,5152
10809,91;37,5416
10814,02;37,5529
10827,94;37,5917
10899,91;37,7409
10904,02;37,7495
10917,94;37,7784
11100,10;38,1580
11109,91;38,1870
11114,02;38,1992
11127,94;38,2405
11199,91;38,4214
11204,02;38,4317
11217,94;38,4667
11400,10;38,9257
11409,91;38,9561
11414,02;38,9688
11427,94;39,0119
11499,91;39,2028
11504,02;39,2137
11517,94;39,2506
11700,10;39,7312
11709,91;39,7607
11714,02;39,7733
11727,94;39,8161
11799,91;39,9853
11804,02;39,9950
11817,94;40,0277
12000,10;40,4566
12009,91;40,4835
12014,02;40,4947
12027,94;40,5336
12099,91;40,6940
12104,02;40,7031
12117,94;40,7342
12300,10;41,1396
12309,91;41,1674
12314,02;41,1790
12327,94;41,2185
12399,91;41,3861
12404,02;41,3957
12417,94;41,4281
12600,10;41,8505
12609,91;41,8766
12614,02;41,8877
12627,94;41,9258
12699,91;42,0757
12704,02;42,0842
12717,94;42,1132
12900,10;42,4921
12909,91;42,5280
12914,02;42,5430
12927,94;42,5939
12999,91;42,8056
13004,02;42,8177
13017,94;42,8586
13200,10;43,3938
13209,91;43,4259
13214,02;43,4395
13227,94;43,4861
13304,02;43,6859
13317,94;43,7224
13500,10;44,1994
13509,91;44,2295
13514,02;44,2422
13527,94;44,2855
13599,91;44,4537
13604,02;44,4633
13617,94;44,4959
13800,10;44,9225
13809,91;44,9522
13814,02;44,9646
13827,94;45,0070
13899,91;45,1855
13904,02;45,1957
13917,94;45,2302
14100,10;45,6819
14109,91;45,7100
14114,02;45,7217
14127,94;45,7620
14204,02;45,9414
14217,94;45,9742
14400,10;46,4050
14409,91;46,4341
14414,02;46,4464
14427,94;46,4882
14499,91;46,6626
14504,02;46,6725
14517,94;46,7062
14700,10;47,1449
14709,91;47,1780
14714,02;47,1919
14727,94;47,2391
14799,91;47,4421
14804,02;47,4537
14817,94;47,4929
15000,10;48,0061
15009,91;48,0375
15014,02;48,0507
15027,94;48,0961
15099,91;48,2843
15104,02;48,2950
15117,94;48,3315
15300,10;48,8095
15309,91;48,8415
15314,02;48,8550
15327,94;48,9010
15399,91;49,0974
15404,02;49,1086
15417,94;49,1465
15600,10;49,6389
15609,91;49,6667
15614,02;49,6786
15627,94;49,7194
15699,91;49,8683
15704,02;49,8768
15717,94;49,9055
15900,10;50,2826
15909,91;50,3096
15914,02;50,3209
15927,94;50,3593
15999,91;50,5239
16004,02;50,5333
16017,94;50,5651
16200,10;50,9828
16209,91;51,0105
16214,02;51,0222
16227,94;51,0617
16299,91;51,2255
16304,02;51,2349
16317,94;51,2665
16500,10;51,6802
16509,91;51,7072
16514,02;51,7187
16527,94;51,7576
16599,91;51,9140
16604,02;51,9230
16617,94;51,9533
16800,10;52,3498
16809,91;52,3785
16814,02;52,3906
16827,94;52,4314
16899,91;52,6038
16904,02;52,6137
16917,94;52,6471
17100,10;53,0833
17109,91;53,1211
17114,02;53,1370
17127,94;53,1911
17199,91;53,4106
17204,02;53,4231
17217,94;53,4655
17400,10;54,0197
17409,91;54,0543
17414,02;54,0693
17427,94;54,1203
17499,91;54,2981
17504,02;54,3083
17517,94;54,3426
17700,10;54,7922
17709,91;54,8227
17714,02;54,8355
17727,94;54,8796
17799,91;55,0556
17804,02;55,0656
17817,94;55,0997
18000,10;55,5448
18009,91;55,5721
18014,02;55,5836
18027,94;55,6228
18099,91;55,7836
18104,02;55,7928
18117,94;55,8238
18300,10;56,2296
18309,91;56,2536
18314,02;56,2637
18327,94;56,2985
18404,02;56,4424
18417,94;56,4687
18600,10;56,8139
18609,91;56,8479
18614,02;56,8622
18627,94;56,9109
18699,91;57,1075
18704,02;57,1188
18717,94;57,1567
18900,10;57,6525
18909,91;57,6826
18914,02;57,6955
18927,94;57,7396
18999,91;57,8962
19004,02;57,9051
19017,94;57,9354
19200,10;58,3323
19209,91;58,3659
19214,02;58,3800
19227,94;58,4278
19299,91;58,6211
19304,02;58,6322
19317,94;58,6697
19500,10;59,1604
19509,91;59,1927
19514,02;59,2063
19527,94;59,2527
19599,91;59,4466
19604,02;59,4577
19617,94;59,4951
19800,10;59,9823
19809,91;60,0129
19814,02;60,0259
19827,94;60,0701
19899,91;60,2324
19904,02;60,2416
19917,94;60,2730
20100,10;60,6833
20109,91;60,7095
20114,02;60,7204
20127,94;60,7575
20199,91;60,9123
20204,02;60,9212
20217,94;60,9511
20400,10;61,3415
20409,91;61,3706
20414,02;61,3828
20427,94;61,4242
20499,91;61,5976
20504,02;61,6076
20517,94;61,6411
20700,10;62,0815
20709,91;62,1131
20714,02;62,1263
20727,94;62,1715
20799,91;62,3574
20804,02;62,3680
20817,94;62,4040
21000,10;62,8736
21009,91;62,9048
21014,02;62,9179
21027,94;62,9626
21099,91;63,1538
21104,02;63,1647
21117,94;63,2017
21300,10;63,6845
21309,91;63,7153
21314,02;63,7285
21327,94;63,7738
21399,91;63,9423
21404,02;63,9519
21417,94;63,9845
21600,10;64,4109
21609,91;64,4435
21614,02;64,4572
21627,94;64,5037
21699,91;64,6929
21704,02;64,7037
21717,94;64,7403
21900,10;65,2167
21909,91;65,2475
21914,02;65,2605
21927,94;65,3049
21999,91;65,4781
22004,02;65,4880
22017,94;65,5215
22200,10;65,9608
22209,91;65,9911
22214,02;66,0039
22227,94;66,0473
22299,91;66,2293
22304,02;66,2397
22317,94;66,2749
22500,10;66,7363
22509,91;66,7649
22514,02;66,7769
22527,94;66,8185
22599,91;66,9844
22604,02;66,9938
22617,94;67,0259
22800,10;67,4447
22809,91;67,4750
22814,02;67,4877
22827,94;67,5311
22899,91;67,7133
22904,02;67,7237
22917,94;67,7589
23100,10;68,2175
23109,91;68,2451
23114,02;68,2568
23127,94;68,2971
23199,91;68,4485
23204,02;68,4572
23217,94;68,4866
23400,10;68,8725
23409,91;68,9077
23414,02;68,9225
23427,94;68,9727
23499,91;69,1745
23504,02;69,1860
23517,94;69,2250
23700,10;69,7326
23709,91;69,7631
23714,02;69,7766
23727,94;69,8231
23799,91;69,9803
23804,02;69,9892
23817,94;70,0197
24000,10;70,4186
24009,91;70,4486
24014,02;70,4612
24027,94;70,5049
24099,91;70,6782
24104,02;70,6881
24117,94;70,7217
24300,10;71,1594
24309,91;71,1889
24314,02;71,2013
24327,94;71,2434
24399,91;71,4165
24404,02;71,4264
24417,94;71,4598
24600,10;71,8968
24609,91;71,9259
24614,02;71,9381
24627,94;71,9806
24699,91;72,1459
24704,02;72,1553
24717,94;72,1872
24900,10;72,6048
24909,91;72,6369
24914,02;72,6503
24927,94;72,6966
24999,91;72,8842
