time;power_cum
300,10;6,0469
309,91;6,2849
314,02;6,3847
327,94;6,7427
600,10;7,2158
609,91;7,2338
614,02;7,2413
627,94;7,2668
704,02;7,4048
717,94;7,4301
900,10;7,7615
909,91;7,7805
914,02;7,7884
927,94;7,8154
1004,02;7,9609
1017,94;7,9875
1200,10;8,3337
1209,91;8,3523
1214,02;8,3602
1227,94;8,3866
1500,10;8,8906
1509,91;8,9099
1514,02;8,9180
1527,94;8,9454
1599,91;9,0853
1604,02;9,0933
1617,94;9,1203
1800,10;9,4729
1809,91;9,4919
1814,02;9,4998
1827,94;9,5269
2100,10;10,0403
2109,91;10,0589
2114,02;10,0666
2127,94;10,0930
2400,10;10,6031
2409,91;10,6214
2414,02;10,6291
2427,94;10,6553
2700,10;11,1429
2709,91;11,1612
2714,02;11,1688
2727,94;11,1949
2799,91;11,3279
2804,02;11,3355
2817,94;11,3612
3000,10;11,6952
3009,91;11,7131
3014,02;11,7206
3027,94;11,7466
3300,10;12,2134
3309,91;12,2307
3314,02;12,2380
3327,94;12,2625
3404,02;12,3955
3600,10;12,7355
3609,91;12,7525
3614,02;12,7596
3627,94;12,7837
3900,10;13,2570
3909,91;13,2745
3914,02;13,2819
3927,94;13,3068
3999,91;13,4350
4004,02;13,4423
4017,94;13,4671
4200,10;13,7887
4209,91;13,8064
4214,02;13,8138
4227,94;13,8389
4299,91;13,9683
4304,02;13,9757
4317,94;14,0007
4500,10;14,3275
4509,91;14,3452
4514,02;14,3526
4527,94;14,3776
4800,10;14,8576
4809,91;14,8749
4814,02;14,8821
4827,94;14,9065
5100,10;15,3689
5109,91;15,3856
5114,02;15,3926
5127,94;15,4163
5400,10;15,8644
5409,91;15,8810
5414,02;15,8879
5427,94;15,9114
5504,02;16,0390
5517,94;16,0624
5700,10;16,3668
5714,02;16,3901
5727,94;16,4135
6000,10;16,8710
6009,91;16,8887
6014,02;16,8961
6027,94;16,9212
6099,91;17,0486
6104,02;17,0559
6117,94;17,0805
6300,10;17,4013
6309,91;17,4186
6314,02;17,4258
6327,94;17,4504
6600,10;17,9075
6609,91;17,9240
6614,02;17,9309
6627,94;17,9543
6900,10;18,3958
6909,91;18,4117
6914,02;18,4184
6927,94;18,4409
7200,10;18,8692
7209,91;18,8864
7214,02;18,8936
7227,94;18,9182
7304,02;19,0489
7317,94;19,0728
7500,10;19,3849
7509,91;19,4018
7514,02;19,4088
7527,94;19,4329
7800,10;19,8950
7809,91;19,9127
7814,02;19,9201
7827,94;19,9453
7899,91;20,0737
7904,02;20,0810
7917,94;20,1058
8100,10;20,4294
8109,91;20,4468
8114,02;20,4541
8127,94;20,4792
8400,10;20,9334
8409,91;20,9497
8414,02;20,9566
8427,94;20,9801
8700,10;21,4190
8709,91;21,4348
8714,02;21,4415
8727,94;21,4640
9000,10;21,8962
9009,91;21,9131
9014,02;21,9202
9027,94;21,9443
9099,91;22,0667
9104,02;22,0737
9117,94;22,0974
9300,10;22,4072
9309,91;22,4239
9314,02;22,4309
9327,94;22,4546
9600,10;22,9136
9609,91;22,9301
9614,02;22,9370
9627,94;22,9604
9900,10;23,4003
9909,91;23,4162
9914,02;23,4228
9927,94;23,4456
10200,10;23,8724
10209,91;23,8879
10214,02;23,8943
10227,94;23,9163
10500,10;24,3378
10509,91;24,3537
10514,02;24,3603
10527,94;24,3828
10599,91;24,4975
10604,02;24,5040
10617,94;24,5261
10800,10;24,8135
10809,91;24,8290
10814,02;24,8354
10827,94;24,8575
11100,10;25,2532
11109,91;25,2690
11114,02;25,2756
11127,94;25,2980
11204,02;25,4176
11217,94;25,4395
11400,10;25,7274
11409,91;25,7433
11414,02;25,7499
11427,94;25,7725
11499,91;25,8884
11504,02;25,8950
11517,94;25,9173
11700,10;26,2081
11709,91;26,2237
11714,02;26,2303
11727,94;26,2526
12000,10;26,6733
12009,91;26,6885
12014,02;26,6949
12027,94;26,7165
12300,10;27,1316
12309,91;27,1469
12314,02;27,1533
12327,94;27,1751
12417,94;27,3143
12600,10;27,5945
12609,91;27,6095
12614,02;27,6159
12627,94;27,6374
12900,10;28,0411
12909,91;28,0556
12914,02;28,0617
12927,94;28,0825
13200,10;28,4796
13209,91;28,4943
13214,02;28,5004
13227,94;28,5212
13304,02;28,6341
13500,10;28,9244
13509,91;28,9390
13514,02;28,9451
13527,94;28,9658
13800,10;29,3504
13809,91;29,3653
13814,02;29,3715
13827,94;29,3927
13899,91;29,5003
13904,02;29,5064
13917,94;29,5273
14100,10;29,7998
14109,91;29,8149
14114,02;29,8212
14127,94;29,8426
14204,02;29,9590
14217,94;29,9804
14400,10;30,2600
14409,91;30,2761
14414,02;30,2829
14427,94;30,3058
14504,02;30,4286
14517,94;30,4510
14700,10;30,7429
14709,91;30,7586
14714,02;30,7652
14727,94;30,7875
15000,10;31,2217
15009,91;31,2374
15014,02;31,2439
15027,94;31,2663
15300,10;31,6905
15314,02;31,7142
15327,94;31,7379
15404,02;31,8645
15417,94;31,8875
15600,10;32,1862
15614,02;32,2089
15627,94;32,2318
15900,10;32,6146
15909,91;32,6288
15914,02;32,6347
15927,94;32,6548
15999,91;32,7585
16017,94;32,7845
16200,10;33,0473
16209,91;33,0625
16214,02;33,0689
16227,94;33,0904
16304,02;33,2063
16317,94;33,2275
16500,10;33,5046
16509,91;33,5195
16514,02;33,5258
16527,94;33,5471
16800,10;33,9558
16809,91;33,9715
16814,02;33,9781
16827,94;34,0005
16904,02;34,1211
16917,94;34,1432
17100,10;34,4327
17109,91;34,4487
17114,02;34,4554
17127,94;34,4781
17204,02;34,6011
17400,10;34,9171
17409,91;34,9329
17414,02;34,9395
17427,94;34,9621
17700,10;35,3925
17709,91;35,4084
17714,02;35,4150
17727,94;35,4375
17804,02;35,5600
17817,94;35,5824
18000,10;35,8753
18014,02;35,8977
18027,94;35,9202
18300,10;36,3575
18314,02;36,3798
18327,94;36,4025
18600,10;36,8066
18609,91;36,8222
18614,02;36,8287
18627,94;36,8508
18699,91;36,9633
18704,02;36,9697
18717,94;36,9914
18900,10;37,2745
18909,91;37,2898
18914,02;37,2962
18927,94;37,3178
19200,10;37,7414
19209,91;37,7578
19214,02;37,7647
19227,94;37,7880
19299,91;37,9067
19304,02;37,9135
19317,94;37,9365
19500,10;38,2376
19509,91;38,2546
19514,02;38,2617
19527,94;38,2857
19604,02;38,4154
19617,94;38,4391
19800,10;38,7465
19814,02;38,7699
19827,94;38,7935
20100,10;39,2228
20109,91;39,2383
20114,02;39,2448
20127,94;39,2668
20400,10;39,6893
20409,91;39,7045
20414,02;39,7109
20427,94;39,7325
20700,10;40,1428
20709,91;40,1586
20714,02;40,1652
20727,94;40,1878
20804,02;40,3093
20817,94;40,3315
21000,10;40,6215
21009,91;40,6374
21014,02;40,6441
21027,94;40,6667
21117,94;40,8121
21300,10;41,1057
21309,91;41,1215
21314,02;41,1281
21327,94;41,1506
21600,10;41,5701
21609,91;41,5856
21614,02;41,5921
21627,94;41,6140
21704,02;41,7332
21717,94;41,7549
21900,10;42,0380
21909,91;42,0532
21914,02;42,0596
21927,94;42,0811
22200,10;42,4957
22209,91;42,5117
22214,02;42,5184
22227,94;42,5413
22304,02;42,6646
22317,94;42,6871
22500,10;42,9824
22509,91;42,9986
22514,02;43,0054
22527,94;43,0285
22604,02;43,1544
22617,94;43,1774
22800,10;43,4782
22809,91;43,4944
22814,02;43,5012
