time;power_cum
300,10;6,0478
309,91;6,2505
314,02;6,3387
327,94;6,6411
600,10;9,7077
609,91;9,8182
614,02;9,8649
627,94;10,0261
900,10;12,1391
909,91;12,2154
914,02;12,2474
927,94;12,3568
1200,10;13,9422
1209,91;13,9994
1214,02;14,0233
1227,94;14,1049
1500,10;15,3752
1509,91;15,4211
1514,02;15,4403
1527,94;15,5054
1800,10;16,5740
1809,91;16,6125
1814,02;16,6287
1827,94;16,6833
2100,10;17,6007
2109,91;17,6338
2114,02;17,6477
2127,94;17,6946
2400,10;18,5022
2409,91;18,5313
2414,02;18,5435
2427,94;18,5847
2700,10;19,2893
2709,91;19,3148
2714,02;19,3255
2727,94;19,3616
3000,10;20,0029
3009,91;20,0260
3014,02;20,0357
3027,94;20,0684
3300,10;20,6757
3309,91;20,6977
3314,02;20,7070
3327,94;20,7382
3600,10;21,2773
3609,91;21,2966
3614,02;21,3047
3627,94;21,3322
3900,10;21,8381
3909,91;21,8565
3914,02;21,8643
3927,94;21,8904
4200,10;22,3982
4209,91;22,4165
4214,02;22,4242
4227,94;22,4501
4500,10;22,9295
4509,91;22,9472
4514,02;22,9546
4527,94;22,9796
4604,02;23,1155
4800,10;23,4630
4809,91;23,4804
4814,02;23,4877
4827,94;23,5123
5100,10;23,9705
5109,91;23,9874
5114,02;23,9945
5127,94;24,0184
5204,02;24,1463
5400,10;24,4750
5409,91;24,4915
5414,02;24,4984
5427,94;24,5219
5700,10;24,9801
5709,91;24,9970
5714,02;25,0040
5727,94;25,0280
5817,94;25,1822
6000,10;25,4949
6009,91;25,5132
6014,02;25,5209
6027,94;25,5469
6117,94;25,7113
6300,10;26,0419
6309,91;26,0598
6314,02;26,0672
6327,94;26,0925
6600,10;26,5503
6609,91;26,5675
6614,02;26,5747
6627,94;26,5991
6717,94;26,7544
6900,10;27,0672
6909,91;27,0840
6914,02;27,0911
6927,94;27,1151
7200,10;27,5510
7209,91;27,5695
7214,02;27,5773
7227,94;27,6037
7304,02;27,7420
7317,94;27,7673
7500,10;28,0974
7509,91;28,1152
7514,02;28,1227
7527,94;28,1480
7800,10;28,6234
7809,91;28,6420
7814,02;28,6498
7827,94;28,6762
7904,02;28,8174
7917,94;28,8432
8100,10;29,1798
8109,91;29,1980
8114,02;29,2056
8127,94;29,2313
8400,10;29,6977
8409,91;29,7152
8414,02;29,7225
8427,94;29,7473
8504,02;29,8773
8517,94;29,9011
8700,10;30,2109
8709,91;30,2286
8714,02;30,2361
8727,94;30,2613
8804,02;30,3910
8817,94;30,4147
9000,10;30,7259
9009,91;30,7465
9014,02;30,7552
9027,94;30,7844
9104,02;30,9362
9117,94;30,9640
9300,10;31,3267
9309,91;31,3464
9314,02;31,3546
9327,94;31,3824
9600,10;31,8541
