time;power_cum
300,10;6,0473
309,91;6,2495
314,02;6,3383
327,94;6,6724
600,10;7,6880
609,91;7,7247
614,02;7,7401
627,94;7,7928
900,10;8,3597
909,91;8,3802
914,02;8,3889
927,94;8,4180
1200,10;8,9847
1209,91;9,0051
1214,02;9,0136
1227,94;9,0426
1500,10;9,5624
1509,91;9,5816
1514,02;9,5896
1527,94;9,6170
1617,94;9,7923
1800,10;10,1459
1809,91;10,1650
1814,02;10,1730
1827,94;10,2001
2100,10;10,7283
2109,91;10,7474
2114,02;10,7554
2127,94;10,7825
2400,10;11,3076
2409,91;11,3265
2414,02;11,3345
2427,94;11,3613
2700,10;11,8586
2709,91;11,8773
2714,02;11,8851
2727,94;11,9117
2804,02;12,0547
3000,10;12,4208
3009,91;12,4391
3014,02;12,4467
3027,94;12,4728
3300,10;12,9545
3309,91;12,9733
3314,02;12,9812
3327,94;13,0080
3404,02;13,1509
3600,10;13,5165
3609,91;13,5348
3614,02;13,5425
3627,94;13,5684
3900,10;14,0510
3909,91;14,0685
3914,02;14,0759
3927,94;14,1009
4200,10;14,5861
4209,91;14,6050
4214,02;14,6129
4227,94;14,6397
4304,02;14,7830
4317,94;14,8092
4500,10;15,1516
4509,91;15,1701
4514,02;15,1779
4527,94;15,2042
4800,10;15,7072
4809,91;15,7252
4814,02;15,7328
4827,94;15,7584
5100,10;16,2293
5109,91;16,2462
5114,02;16,2534
5127,94;16,2774
5400,10;16,7412
5409,91;16,7579
5414,02;16,7650
5427,94;16,7888
5700,10;17,2462
5709,91;17,2627
5714,02;17,2696
5727,94;17,2931
6000,10;17,7527
6009,91;17,7697
6014,02;17,7768
6027,94;17,8010
6104,02;17,9321
6300,10;18,2682
6309,91;18,2851
6314,02;18,2921
6327,94;18,3159
6600,10;18,7806
6609,91;18,7973
6614,02;18,8044
6627,94;18,8281
6900,10;19,2897
6909,91;19,3064
6914,02;19,3133
6927,94;19,3370
7200,10;19,7855
7209,91;19,8051
7214,02;19,8134
7227,94;19,8414
7304,02;19,9872
7317,94;20,0138
7500,10;20,3609
7509,91;20,3796
7514,02;20,3874
7527,94;20,4141
7800,10;20,9165
7809,91;20,9347
7814,02;20,9424
7827,94;20,9682
8100,10;21,4712
8109,91;21,4893
8114,02;21,4969
8127,94;21,5227
8400,10;21,9956
8409,91;22,0127
8414,02;22,0198
8427,94;22,0440
8700,10;22,5149
8709,91;22,5318
8714,02;22,5390
8727,94;22,5630
9000,10;23,0200
9009,91;23,0379
9014,02;23,0454
9027,94;23,0710
9104,02;23,2075
9117,94;23,2325
9300,10;23,5593
9309,91;23,5777
9314,02;23,5854
9327,94;23,6114
9404,02;23,7516
9600,10;24,1091
9609,91;24,1270
9614,02;24,1344
9627,94;24,1598
9900,10;24,6252
9909,91;24,6420
9914,02;24,6490
9927,94;24,6729
10200,10;25,1251
10209,91;25,1415
10214,02;25,1484
10227,94;25,1717
10500,10;25,6258
10509,91;25,6422
10514,02;25,6491
10527,94;25,6723
10800,10;26,1157
10809,91;26,1316
10814,02;26,1383
10827,94;26,1608
11100,10;26,5763
11109,91;26,5920
11114,02;26,5986
11127,94;26,6210
11204,02;26,7422
11217,94;26,7644
11400,10;27,0555
11409,91;27,0740
11414,02;27,0817
11427,94;27,1080
11504,02;27,2452
11517,94;27,2703
11700,10;27,5965
11709,91;27,6141
11714,02;27,6214
11727,94;27,6464
12000,10;28,0856
12009,91;28,1029
12014,02;28,1101
12027,94;28,1347
12104,02;28,2656
12117,94;28,2896
12300,10;28,6021
12309,91;28,6190
12314,02;28,6260
12327,94;28,6500
12600,10;29,1018
12609,91;29,1181
12614,02;29,1249
12627,94;29,1480
12900,10;29,5641
12909,91;29,5792
12914,02;29,5855
12927,94;29,6068
13200,10;30,0159
13209,91;30,0316
13214,02;30,0382
13227,94;30,0606
13304,02;30,1806
13317,94;30,2025
13500,10;30,4891
13509,91;30,5045
13514,02;30,5110
13527,94;30,5330
13800,10;30,9499
13809,91;30,9654
