time;power_cum
300,10;6,0473
309,91;6,2493
314,02;6,3387
327,94;6,6457
600,10;9,0083
609,91;9,0934
614,02;9,1293
627,94;9,2525
900,10;10,9028
909,91;10,9625
914,02;10,9875
927,94;11,0726
1200,10;12,3509
1209,91;12,3970
1214,02;12,4164
1227,94;12,4821
1500,10;13,5088
1509,91;13,5460
1514,02;13,5615
1527,94;13,6144
1800,10;14,4817
1809,91;14,5131
1814,02;14,5262
1827,94;14,5706
2100,10;15,3405
2109,91;15,3683
2114,02;15,3799
2127,94;15,4193
2400,10;16,1037
2409,91;16,1284
2414,02;16,1387
2427,94;16,1737
2700,10;16,8163
2709,91;16,8395
2714,02;16,8493
2727,94;16,8822
3000,10;17,5239
3009,91;17,5470
3014,02;17,5566
3027,94;17,5894
3300,10;18,1967
3309,91;18,2187
3314,02;18,2279
3327,94;18,2597
3600,10;18,8098
3609,91;18,8295
3614,02;18,8378
3627,94;18,8658
3900,10;19,4176
3909,91;19,4377
3914,02;19,4461
3927,94;19,4746
4200,10;20,0290
4209,91;20,0490
4214,02;20,0574
4227,94;20,0857
4500,10;20,6395
4509,91;20,6595
4514,02;20,6679
4527,94;20,6962
4800,10;21,2473
4809,91;21,2670
4814,02;21,2753
4827,94;21,3034
5100,10;21,8504
5109,91;21,8701
5114,02;21,8784
5127,94;21,9066
5400,10;22,4249
5409,91;22,4437
5414,02;22,4515
5427,94;22,4781
5700,10;22,9966
5709,91;23,0154
5714,02;23,0232
5727,94;23,0498
6000,10;23,5705
6009,91;23,5894
6014,02;23,5973
6027,94;23,6240
6300,10;24,1442
6309,91;24,1629
6314,02;24,1708
6327,94;24,1974
6600,10;24,7156
6609,91;24,7342
6614,02;24,7421
6627,94;24,7685
6900,10;25,2842
6909,91;25,3027
6914,02;25,3105
6927,94;25,3369
7200,10;25,8538
7209,91;25,8726
7214,02;25,8805
7227,94;25,9071
7500,10;26,4272
7509,91;26,4460
7514,02;26,4538
7527,94;26,4805
7800,10;27,0036
7809,91;27,0226
7814,02;27,0306
7827,94;27,0575
8100,10;27,5741
8109,91;27,5927
8114,02;27,6005
8127,94;27,6269
8400,10;28,1412
8409,91;28,1597
8414,02;28,1675
8427,94;28,1938
8700,10;28,7050
8709,91;28,7234
8714,02;28,7311
8727,94;28,7572
9000,10;29,2691
9009,91;29,2877
9014,02;29,2954
9027,94;29,3218
9300,10;29,8367
9309,91;29,8553
9314,02;29,8631
9327,94;29,8896
9600,10;30,4014
9609,91;30,4197
9614,02;30,4274
9627,94;30,4534
9900,10;30,9602
9909,91;30,9785
9914,02;30,9862
9927,94;31,0120
10200,10;31,5190
10209,91;31,5374
10214,02;31,5451
10227,94;31,5711
10500,10;32,0790
10509,91;32,0974
10514,02;32,1051
10527,94;32,1312
10800,10;32,6210
10809,91;32,6386
10814,02;32,6460
10827,94;32,6709
11100,10;33,1456
11109,91;33,1629
11114,02;33,1701
11127,94;33,1946
11400,10;33,6738
11409,91;33,6912
11414,02;33,6984
11427,94;33,7231
11700,10;34,2020
11709,91;34,2192
11714,02;34,2264
11727,94;34,2508
12000,10;34,7291
12009,91;34,7464
12014,02;34,7536
12027,94;34,7782
12300,10;35,2504
12309,91;35,2674
12314,02;35,2746
12327,94;35,2987
12600,10;35,7614
12614,02;35,7850
12627,94;35,8086
12900,10;36,2699
12909,91;36,2865
12914,02;36,2935
12927,94;36,3172
13200,10;36,7780
13209,91;36,7946
13214,02;36,8016
13227,94;36,8252
13500,10;37,2788
13509,91;37,2952
13514,02;37,3020
13527,94;37,3252
13800,10;37,7725
13809,91;37,7887
13814,02;37,7955
13827,94;37,8185
14100,10;38,2677
14109,91;38,2840
14114,02;38,2908
14127,94;38,3139
14400,10;38,7666
14409,91;38,7830
14414,02;38,7899
14427,94;38,8132
14700,10;39,2655
14709,91;39,2818
14714,02;39,2886
14727,94;39,3117
15000,10;39,7481
15009,91;39,7639
15014,02;39,7705
15027,94;39,7929
15300,10;40,2167
15309,91;40,2321
15314,02;40,2386
15327,94;40,2605
15600,10;40,6763
15609,91;40,6911
15614,02;40,6973
15627,94;40,7183
15900,10;41,1282
15909,91;41,1430
15914,02;41,1492
15927,94;41,1703
16200,10;41,5832
16214,02;41,6044
16227,94;41,6256
16500,10;42,0404
16509,91;42,0554
16514,02;42,0617
16527,94;42,0830
16800,10;42,4982
16809,91;42,5133
16814,02;42,5196
16827,94;42,5410
17100,10;42,9605
17109,91;42,9757
17114,02;42,9821
17127,94;43,0037
17400,10;43,4235
17409,91;43,4386
17414,02;43,4450
17427,94;43,4664
17700,10;43,8837
17709,91;43,8988
17714,02;43,9051
17727,94;43,9266
18000,10;44,3439
18009,91;44,3589
18014,02;44,3652
18027,94;44,3867
18300,10;44,8042
18309,91;44,8193
18314,02;44,8256
18327,94;44,8469
18600,10;45,2647
18609,91;45,2799
18614,02;45,2863
18627,94;45,3078
18900,10;45,7258
18909,91;45,7408
18914,02;45,7471
18927,94;45,7684
19200,10;46,1868
19209,91;46,2021
19214,02;46,2084
19227,94;46,2301
19500,10;46,6530
19509,91;46,6716
19514,02;46,6794
19527,94;46,7058
19604,02;46,8423
19617,94;46,8672
19800,10;47,1908
19809,91;47,2081
19814,02;47,2154
19827,94;47,2400
20100,10;47,7201
20109,91;47,7375
20114,02;47,7447
20127,94;47,7693
20400,10;48,2482
20409,91;48,2655
20414,02;48,2727
20427,94;48,2972
20700,10;48,7782
20709,91;48,7957
20714,02;48,8030
20727,94;48,8278
21000,10;49,3112
21009,91;49,3287
21014,02;49,3360
21027,94;49,3607
21300,10;49,8285
21309,91;49,8454
21314,02;49,8525
21327,94;49,8764
21600,10;50,3311
21609,91;50,3476
21614,02;50,3545
21627,94;50,3779
21900,10;50,8233
21909,91;50,8393
21914,02;50,8460
21927,94;50,8687
22200,10;51,3132
22209,91;51,3293
22214,02;51,3361
22227,94;51,3590
22500,10;51,8078
22509,91;51,8241
22514,02;51,8309
22527,94;51,8540
22800,10;52,3057
22814,02;52,3288
22827,94;52,3519
23100,10;52,7999
23109,91;52,8160
23114,02;52,8227
23127,94;52,8455
23400,10;53,2948
23409,91;53,3112
23414,02;53,3181
23427,94;53,3413
23700,10;53,7847
23709,91;53,8006
23714,02;53,8073
23727,94;53,8298
24000,10;54,2635
24009,91;54,2792
24014,02;54,2858
24027,94;54,3082
24300,10;54,7447
24309,91;54,7605
24314,02;54,7671
24327,94;54,7896
24600,10;55,2249
24609,91;55,2406
24614,02;55,2471
24627,94;55,2694
24900,10;55,7034
24909,91;55,7191
24914,02;55,7257
24927,94;55,7479
25200,10;56,1810
25214,02;56,2032
25227,94;56,2254
25500,10;56,6574
25509,91;56,6730
25514,02;56,6796
25527,94;56,7016
25800,10;57,1312
25809,91;57,1467
25814,02;57,1532
25827,94;57,1752
26100,10;57,6065
26109,91;57,6221
26114,02;57,6287
26127,94;57,6510
26400,10;58,0775
26409,91;58,0928
26414,02;58,0993
26427,94;58,1210
26700,10;58,5392
26714,02;58,5608
26727,94;58,5822
27000,10;59,0014
27009,91;59,0166
27014,02;59,0229
27027,94;59,0444
27300,10;59,4649
27309,91;59,4802
27314,02;59,4865
27327,94;59,5082
27600,10;59,9275
27609,91;59,9426
27614,02;59,9489
27627,94;59,9703
27900,10;60,3817
27914,02;60,4030
27927,94;60,4242
28200,10;60,8415
28209,91;60,8685
28214,02;60,8798
28227,94;60,9181
28304,02;61,0997
28317,94;61,1329
28500,10;61,5639
28514,02;61,5968
28527,94;61,6296
28800,10;62,2702
28809,91;62,2933
28814,02;62,3030
28827,94;62,3359
29100,10;62,9527
29109,91;62,9749
29114,02;62,9842
29127,94;63,0165
29400,10;63,5315
29409,91;63,5502
29414,02;63,5580
29427,94;63,5844
29700,10;64,0928
29709,91;64,1112
29714,02;64,1189
29727,94;64,1450
30000,10;64,6478
30009,91;64,6660
30014,02;64,6736
30027,94;64,6995
30300,10;65,1911
30309,91;65,2089
30314,02;65,2164
30327,94;65,2416
30600,10;65,7253
30609,91;65,7427
30614,02;65,7500
30627,94;65,7747
30900,10;66,2491
30909,91;66,2663
30914,02;66,2735
30927,94;66,2978
31200,10;66,7652
31209,91;66,7821
31214,02;66,7892
31227,94;66,8131
31500,10;67,2762
31509,91;67,2928
31514,02;67,2997
31527,94;67,3233
31800,10;67,7810
31809,91;67,7977
31814,02;67,8047
31827,94;67,8284
32100,10;68,2814
32109,91;68,2977
32114,02;68,3045
32127,94;68,3277
32400,10;68,7831
32409,91;68,7997
32414,02;68,8066
32427,94;68,8302
32700,10;69,2872
32714,02;69,3106
32727,94;69,3338
33000,10;69,7894
33009,91;69,8059
33014,02;69,8128
33027,94;69,8362
33300,10;70,2926
33309,91;70,3091
33314,02;70,3160
33327,94;70,3395
33600,10;70,7968
33609,91;70,8134
33614,02;70,8203
33627,94;70,8437
33900,10;71,2924
33909,91;71,3086
33914,02;71,3154
33927,94;71,3383
34200,10;71,7761
34209,91;71,7918
34214,02;71,7984
34227,94;71,8207
34500,10;72,2584
34509,91;72,2743
34514,02;72,2809
34527,94;72,3035
34800,10;72,7421
34809,91;72,7579
34814,02;72,7645
34827,94;72,7870
35100,10;73,2186
35109,91;73,2342
35114,02;73,2408
35127,94;73,2629
35400,10;73,6954
35414,02;73,7176
35427,94;73,7398
35700,10;74,1751
35709,91;74,1909
35714,02;74,1975
35727,94;74,2200
36000,10;74,6558
36009,91;74,6714
36014,02;74,6780
36027,94;74,7001
36300,10;75,1158
36309,91;75,1308
36314,02;75,1370
36327,94;75,1583
36600,10;75,5676
36609,91;75,5825
36614,02;75,5887
36627,94;75,6099
36900,10;76,0229
36909,91;76,0378
36914,02;76,0440
36927,94;76,0652
37200,10;76,4704
37209,91;76,4858
37214,02;76,4923
37227,94;76,5142
37304,02;76,6322
37500,10;76,9351
37509,91;76,9503
37514,02;76,9566
37527,94;76,9782
37800,10;77,3981
37809,91;77,4133
37814,02;77,4197
37827,94;77,4412
38100,10;77,8609
38109,91;77,8761
38114,02;77,8825
38127,94;77,9040
38400,10;78,3219
38409,91;78,3370
38414,02;78,3433
38427,94;78,3647
38700,10;78,7825
38709,91;78,7977
38714,02;78,8040
38727,94;78,8256
39000,10;79,2387
39009,91;79,2536
39014,02;79,2598
39027,94;79,2809
39300,10;79,6876
39314,02;79,7086
39327,94;79,7295
39600,10;80,1354
39609,91;80,1499
39614,02;80,1560
39627,94;80,1767
39900,10;80,5807
39909,91;80,5954
39914,02;80,6015
39927,94;80,6223
40200,10;81,0290
40209,91;81,0540
40214,02;81,0645
40227,94;81,1002
40304,02;81,2683
40317,94;81,2990
40500,10;81,6992
40509,91;81,7207
40514,02;81,7297
40527,94;81,7603
40800,10;82,3568
40814,02;82,3873
40827,94;82,4179
41100,10;83,0156
41109,91;83,0372
41114,02;83,0462
41127,94;83,0769
41400,10;83,6723
41409,91;83,6938
41414,02;83,7028
41427,94;83,7335
41700,10;84,3090
41709,91;84,3299
41714,02;84,3386
41727,94;84,3682
