time;power_cum
300,10;6,0473
309,91;6,2495
314,02;6,3383
327,94;6,6724
600,10;7,6880
609,91;7,7247
614,02;7,7401
627,94;7,7928
900,10;8,3597
909,91;8,3820
914,02;8,3913
927,94;8,4230
1017,94;8,6132
1200,10;8,9964
1209,91;9,0171
1214,02;9,0257
1227,94;9,0551
1500,10;9,5746
1509,91;9,5958
1514,02;9,6047
1527,94;9,6348
1604,02;9,7942
1617,94;9,8233
1800,10;10,2036
1809,91;10,2242
1814,02;10,2328
1827,94;10,2619
2100,10;10,8159
2109,91;10,8359
2114,02;10,8443
2127,94;10,8727
2400,10;11,4039
2409,91;11,4230
2414,02;11,4310
2427,94;11,4581
2700,10;11,9680
2709,91;11,9893
2714,02;11,9981
2727,94;12,0282
2799,91;12,1759
2804,02;12,1843
2817,94;12,2128
3000,10;12,5836
3009,91;12,6036
3014,02;12,6119
3027,94;12,6403
3300,10;13,1468
3309,91;13,1652
3314,02;13,1729
3327,94;13,1990
3600,10;13,7056
3609,91;13,7238
3614,02;13,7314
3627,94;13,7572
3900,10;14,2502
3909,91;14,2705
3914,02;14,2791
3927,94;14,3080
3999,91;14,4523
4004,02;14,4606
4017,94;14,4885
4200,10;14,8514
4209,91;14,8710
4214,02;14,8792
4227,94;14,9070
4500,10;15,4287
4509,91;15,4476
4514,02;15,4555
4527,94;15,4823
4800,10;15,9955
4809,91;16,0139
4814,02;16,0217
4827,94;16,0478
5100,10;16,5357
5109,91;16,5532
5114,02;16,5606
5127,94;16,5856
5400,10;17,0589
5409,91;17,0778
5414,02;17,0857
5427,94;17,1126
5517,94;17,2792
5700,10;17,6157
5709,91;17,6339
5714,02;17,6415
5727,94;17,6673
6000,10;18,1449
6009,91;18,1639
6014,02;18,1718
6027,94;18,1989
6104,02;18,3409
6117,94;18,3668
6300,10;18,7052
6309,91;18,7235
6314,02;18,7311
6327,94;18,7569
6600,10;19,2465
6609,91;19,2646
6614,02;19,2721
6627,94;19,2977
6717,94;19,4546
6900,10;19,7707
6909,91;19,7877
6914,02;19,7949
6927,94;19,8191
7200,10;20,2799
7209,91;20,3008
7214,02;20,3095
7227,94;20,3392
7299,91;20,4824
7304,02;20,4906
7317,94;20,5183
7500,10;20,8792
7509,91;20,8987
7514,02;20,9069
7527,94;20,9346
7800,10;21,4435
7809,91;21,4620
7814,02;21,4697
7827,94;21,4959
8100,10;22,0062
8109,91;22,0246
8114,02;22,0324
8127,94;22,0584
8400,10;22,5313
8409,91;22,5490
8414,02;22,5564
8427,94;22,5816
8504,02;22,7137
8517,94;22,7378
8700,10;23,0528
8709,91;23,0701
8714,02;23,0774
8727,94;23,1020
8804,02;23,2318
9000,10;23,5673
9009,91;23,5858
9014,02;23,5935
9027,94;23,6198
9099,91;23,7525
9117,94;23,7858
9300,10;24,1215
9309,91;24,1400
9314,02;24,1477
9327,94;24,1740
9404,02;24,3141
9600,10;24,6718
9609,91;24,6896
9614,02;24,6971
9627,94;24,7224
9900,10;25,1871
9909,91;25,2039
9914,02;25,2109
9927,94;25,2346
10200,10;25,6854
10209,91;25,7031
10214,02;25,7106
10227,94;25,7357
10317,94;25,8947
10500,10;26,2160
10509,91;26,2333
10514,02;26,2406
10527,94;26,2652
10800,10;26,7135
10809,91;26,7296
10814,02;26,7363
10827,94;26,7591
11100,10;27,1868
11109,91;27,2058
11114,02;27,2138
11127,94;27,2408
11199,91;27,3715
11204,02;27,3790
11217,94;27,4043
11400,10;27,7360
11409,91;27,7540
11414,02;27,7615
11427,94;27,7870
11700,10;28,2606
11709,91;28,2780
11714,02;28,2853
11727,94;28,3099
11804,02;28,4345
12000,10;28,7563
12009,91;28,7725
12014,02;28,7793
12027,94;28,8022
12300,10;29,2421
12309,91;29,2583
12314,02;29,2651
12327,94;29,2881
12404,02;29,4109
12600,10;29,7259
12609,91;29,7416
12614,02;29,7482
12627,94;29,7706
12900,10;30,1923
12909,91;30,2085
12914,02;30,2153
12927,94;30,2383
12999,91;30,3553
