time;power_cum
300,10;6,0456
309,91;6,2578
314,02;6,3510
327,94;6,6674
600,10;9,3261
609,91;9,4219
614,02;9,4623
627,94;9,6003
900,10;11,5198
909,91;11,5892
914,02;11,6182
927,94;11,7166
1200,10;13,2267
1209,91;13,2811
1214,02;13,3040
1227,94;13,3816
1500,10;14,6357
1509,91;14,6810
1514,02;14,7000
1527,94;14,7646
1800,10;15,8191
1809,91;15,8572
1814,02;15,8731
1827,94;15,9271
2100,10;16,8490
2109,91;16,8822
2114,02;16,8961
2127,94;16,9433
2400,10;17,7587
2409,91;17,7880
2414,02;17,8003
2427,94;17,8420
2700,10;18,5735
2709,91;18,6000
2714,02;18,6110
2727,94;18,6485
3000,10;19,3161
3009,91;19,3401
3014,02;19,3502
3027,94;19,3843
3300,10;19,9846
3309,91;20,0064
3314,02;20,0155
3327,94;20,0464
3600,10;20,5972
3609,91;20,6169
3614,02;20,6252
3627,94;20,6533
3900,10;21,1588
3909,91;21,1772
3914,02;21,1849
3927,94;21,2110
4200,10;21,6835
4209,91;21,7005
4214,02;21,7076
4227,94;21,7317
4500,10;22,1884
4509,91;22,2050
4514,02;22,2119
4527,94;22,2353
4800,10;22,6895
4809,91;22,7058
4814,02;22,7126
4827,94;22,7358
5100,10;23,1715
5109,91;23,1872
5114,02;23,1938
5127,94;23,2161
5400,10;23,6512
5409,91;23,6670
5414,02;23,6736
5427,94;23,6960
5700,10;24,1319
5709,91;24,1476
5714,02;24,1542
5727,94;24,1766
6000,10;24,6142
6009,91;24,6382
6014,02;24,6483
6027,94;24,6825
6099,91;24,8423
6104,02;24,8514
6117,94;24,8822
6300,10;25,2847
6309,91;25,3063
6314,02;25,3154
6327,94;25,3461
6600,10;25,9378
6609,91;25,9591
6614,02;25,9682
6627,94;25,9990
6900,10;26,5343
6909,91;26,5535
6914,02;26,5616
6927,94;26,5890
7200,10;27,0618
7209,91;27,0789
7214,02;27,0861
7227,94;27,1105
7500,10;27,5816
7509,91;27,5986
7514,02;27,6057
7527,94;27,6299
7800,10;28,1023
7809,91;28,1194
7814,02;28,1266
7827,94;28,1509
8100,10;28,6250
8109,91;28,6421
8114,02;28,6492
8127,94;28,6734
8400,10;29,1367
8409,91;29,1534
8414,02;29,1604
8427,94;29,1841
8700,10;29,6450
8709,91;29,6617
8714,02;29,6686
8727,94;29,6922
9000,10;30,1532
9009,91;30,1699
9014,02;30,1769
9027,94;30,2007
9300,10;30,6661
9309,91;30,6829
9314,02;30,6899
9327,94;30,7139
9600,10;31,1761
9609,91;31,1926
9614,02;31,1996
9627,94;31,2231
9900,10;31,6722
9909,91;31,6883
9914,02;31,6951
9927,94;31,7180
10200,10;32,1603
10209,91;32,1763
10214,02;32,1831
10227,94;32,2058
10500,10;32,6494
10509,91;32,6654
10514,02;32,6721
10527,94;32,6949
10800,10;33,1342
10809,91;33,1499
10814,02;33,1565
10827,94;33,1788
11100,10;33,6110
11109,91;33,6267
11114,02;33,6333
11127,94;33,6556
11400,10;34,0931
11409,91;34,1128
11414,02;34,1211
11427,94;34,1490
11499,91;34,2852
11504,02;34,2929
11517,94;34,3192
11700,10;34,6613
11709,91;34,6797
11714,02;34,6875
11727,94;34,7136
12000,10;35,2242
12009,91;35,2427
12014,02;35,2505
12027,94;35,2767
12300,10;35,7678
12309,91;35,7855
12314,02;35,7929
12327,94;35,8181
12600,10;36,2923
12609,91;36,3094
12614,02;36,3165
12627,94;36,3408
12900,10;36,8000
12909,91;36,8166
12914,02;36,8236
12927,94;36,8471
13200,10;37,3001
13209,91;37,3165
13214,02;37,3233
13227,94;37,3465
13500,10;37,7980
13509,91;37,8144
13514,02;37,8212
13527,94;37,8444
13800,10;38,2971
13809,91;38,3135
13814,02;38,3204
13827,94;38,3437
14100,10;38,7988
14109,91;38,8152
14114,02;38,8221
14127,94;38,8456
14400,10;39,3037
14409,91;39,3204
14414,02;39,3273
14427,94;39,3510
14700,10;39,8098
14709,91;39,8263
14714,02;39,8332
14727,94;39,8566
15000,10;40,3053
15009,91;40,3215
15014,02;40,3283
15027,94;40,3513
15300,10;40,7950
15309,91;40,8111
15314,02;40,8179
15327,94;40,8408
15600,10;41,2765
15609,91;41,2920
15614,02;41,2985
15627,94;41,3205
15900,10;41,7234
15909,91;41,7380
15914,02;41,7441
15927,94;41,7648
16200,10;42,1705
16209,91;42,1871
16214,02;42,1941
16227,94;42,2177
16299,91;42,3362
16304,02;42,3430
16317,94;42,3659
16500,10;42,6651
16509,91;42,6813
16514,02;42,6881
16527,94;42,7110
16800,10;43,1446
16809,91;43,1665
16814,02;43,1757
16827,94;43,2069
16899,91;43,3524
16904,02;43,3607
16917,94;43,3888
17100,10;43,7569
17109,91;43,7768
17114,02;43,7852
17127,94;43,8134
17400,10;44,3498
17409,91;44,3691
17414,02;44,3772
17427,94;44,4047
17700,10;44,9142
17709,91;44,9326
17714,02;44,9403
17727,94;44,9665
18000,10;45,4761
18009,91;45,4945
18014,02;45,5022
18027,94;45,5284
18300,10;46,0232
18309,91;46,0410
18314,02;46,0485
18327,94;46,0738
18600,10;46,5479
18609,91;46,5651
18614,02;46,5723
18627,94;46,5967
18900,10;47,0707
18909,91;47,0877
18914,02;47,0949
18927,94;47,1191
19200,10;47,5876
19209,91;47,6046
19214,02;47,6117
19227,94;47,6359
19500,10;48,1092
19509,91;48,1263
19514,02;48,1335
19527,94;48,1579
19800,10;48,6220
19809,91;48,6387
19814,02;48,6457
19827,94;48,6693
20100,10;49,1293
20109,91;49,1459
20114,02;49,1529
20127,94;49,1765
20400,10;49,6360
20409,91;49,6526
20414,02;49,6595
20427,94;49,6831
20700,10;50,1170
