time;power_cum
300,10;6,0473
309,91;6,2495
314,02;6,3383
327,94;6,6724
600,10;7,6880
609,91;7,7247
614,02;7,7401
627,94;7,7928
900,10;8,3597
909,91;8,3802
914,02;8,3889
927,94;8,4180
1200,10;8,9847
1209,91;9,0051
1214,02;9,0137
1227,94;9,0427
1500,10;9,5622
1509,91;9,5810
1514,02;9,5889
1527,94;9,6156
1800,10;10,1302
1809,91;10,1488
1814,02;10,1566
1827,94;10,1829
2100,10;10,6973
2109,91;10,7159
2114,02;10,7237
2127,94;10,7500
2400,10;11,2547
2409,91;11,2729
2414,02;11,2805
2427,94;11,3062
2700,10;11,8084
2709,91;11,8265
2714,02;11,8341
2727,94;11,8600
3000,10;12,3609
3009,91;12,3789
3014,02;12,3865
3027,94;12,4120
3300,10;12,8793
3309,91;12,8963
3314,02;12,9034
3327,94;12,9274
3600,10;13,3936
3609,91;13,4103
3614,02;13,4173
3627,94;13,4411
3900,10;13,9004
3909,91;13,9594
3914,02;13,9841
3927,94;14,0679
3999,91;14,4119
4004,02;14,4316
4017,94;14,4980
4200,10;15,3657
4209,91;15,4125
4214,02;15,4323
4227,94;15,4990
4500,10;16,5245
4509,91;16,5617
4514,02;16,5772
4527,94;16,6306
4800,10;17,4305
4809,91;17,4594
4814,02;17,4715
4827,94;17,5125
5100,10;18,1187
5109,91;18,1406
5114,02;18,1498
5127,94;18,1809
5400,10;18,6705
5409,91;18,6883
5414,02;18,6957
5427,94;18,7208
5700,10;19,1650
5709,91;19,1810
5714,02;19,1877
5727,94;19,2105
6000,10;19,6558
6009,91;19,6897
6014,02;19,7040
6027,94;19,7522
6099,91;19,9641
6104,02;19,9762
6117,94;20,0171
6300,10;20,5516
6309,91;20,5804
6314,02;20,5925
6327,94;20,6333
6600,10;21,2946
6609,91;21,3185
6614,02;21,3285
6627,94;21,3626
6900,10;21,8854
6909,91;21,9043
6914,02;21,9122
6927,94;21,9389
7200,10;22,4070
7209,91;22,4240
7214,02;22,4311
7227,94;22,4554
7500,10;22,9289
7509,91;22,9460
7514,02;22,9532
7527,94;22,9775
7800,10;23,4533
7809,91;23,4705
7814,02;23,4777
7827,94;23,5022
8100,10;23,9785
8109,91;23,9956
8114,02;24,0028
8127,94;24,0271
8400,10;24,5009
8409,91;24,5179
8414,02;24,5251
8427,94;24,5493
8700,10;25,0136
8709,91;25,0303
8714,02;25,0373
8727,94;25,0611
9000,10;25,4926
9009,91;25,5346
9014,02;25,5522
9027,94;25,6119
9099,91;25,8651
9104,02;25,8796
9117,94;25,9285
9300,10;26,5683
9309,91;26,6029
9314,02;26,6174
9327,94;26,6666
9600,10;27,4621
9609,91;27,4908
9614,02;27,5028
9627,94;27,5439
9900,10;28,0972
9909,91;28,1171
9914,02;28,1255
9927,94;28,1538
10200,10;28,6464
10209,91;28,6642
10214,02;28,6717
10227,94;28,6971
10500,10;29,1498
10509,91;29,1661
10514,02;29,1730
10527,94;29,1962
10800,10;29,6446
10809,91;29,6606
10814,02;29,6674
10827,94;29,6902
11100,10;30,0975
11109,91;30,1197
11114,02;30,1291
11127,94;30,1607
11199,91;30,3088
11204,02;30,3172
11217,94;30,3459
11400,10;30,7210
11409,91;30,7413
11414,02;30,7498
11427,94;30,7788
11700,10;31,2722
11709,91;31,2899
11714,02;31,2974
11727,94;31,3226
12000,10;31,7944
12009,91;31,8115
12014,02;31,8187
12027,94;31,8429
12300,10;32,2953
12309,91;32,3116
12314,02;32,3184
12327,94;32,3416
12600,10;32,7839
12609,91;32,7999
12614,02;32,8065
12627,94;32,8291
12900,10;33,2568
12909,91;33,2722
12914,02;33,2787
12927,94;33,3006
13200,10;33,7213
13209,91;33,7365
13214,02;33,7429
13227,94;33,7644
13500,10;34,1780
13509,91;34,1929
13514,02;34,1992
13527,94;34,2204
13800,10;34,6284
13809,91;34,6432
13814,02;34,6494
13827,94;34,6704
14100,10;35,0808
14109,91;35,1062
14114,02;35,1169
14127,94;35,1529
14199,91;35,3175
