time;power_cum
300,10;6,0469
309,91;6,2849
314,02;6,3847
327,94;6,7427
600,10;7,2158
609,91;7,2331
614,02;7,2403
627,94;7,2649
699,91;7,3922
704,02;7,3995
717,94;7,4241
900,10;7,7452
909,91;7,7632
914,02;7,7708
927,94;7,7966
999,91;7,9286
1004,02;7,9362
1017,94;7,9617
1200,10;8,2933
1209,91;8,3111
1214,02;8,3185
1227,94;8,3440
1500,10;8,8352
1509,91;8,8533
1514,02;8,8609
1527,94;8,8867
1599,91;9,0191
1604,02;9,0267
1617,94;9,0523
1800,10;9,3853
1809,91;9,4032
1814,02;9,4108
1827,94;9,4364
2100,10;9,9283
2109,91;9,9464
2114,02;9,9539
2127,94;9,9796
2199,91;10,1115
2217,94;10,1445
2400,10;10,4757
2409,91;10,4935
2414,02;10,5010
2427,94;10,5263
2700,10;10,9933
2709,91;11,0105
2714,02;11,0177
2727,94;11,0422
2799,91;11,1683
2817,94;11,1998
3000,10;11,5156
3009,91;11,5326
3014,02;11,5397
3027,94;11,5638
3300,10;12,0104
3309,91;12,0273
3314,02;12,0343
3327,94;12,0582
3399,91;12,1804
3404,02;12,1874
3417,94;12,2110
3600,10;12,5176
3609,91;12,5341
3614,02;12,5410
3627,94;12,5645
3900,10;12,9971
3909,91;13,0145
3914,02;13,0218
3927,94;13,0466
3999,91;13,1712
4004,02;13,1783
4017,94;13,2025
4200,10;13,5157
4209,91;13,5326
4214,02;13,5396
4227,94;13,5637
4500,10;14,0140
4509,91;14,0309
4514,02;14,0380
4527,94;14,0621
4599,91;14,1850
4604,02;14,1920
4617,94;14,2157
4800,10;14,5240
4809,91;14,5406
4814,02;14,5475
4827,94;14,5713
5100,10;15,0015
5109,91;15,0170
5114,02;15,0235
5127,94;15,0455
5400,10;15,4613
5409,91;15,4767
5414,02;15,4831
5427,94;15,5050
5499,91;15,6172
5517,94;15,6453
5700,10;15,9287
5709,91;15,9443
5714,02;15,9509
5727,94;15,9731
5799,91;16,0872
5804,02;16,0937
5817,94;16,1158
6000,10;16,4049
6009,91;16,4212
6014,02;16,4281
6027,94;16,4513
6099,91;16,5698
6104,02;16,5766
6117,94;16,5995
6300,10;16,8976
6309,91;16,9136
6314,02;16,9203
6327,94;16,9431
6600,10;17,3795
6609,91;17,3952
6614,02;17,4018
6627,94;17,4242
6900,10;17,8446
6909,91;17,8597
6914,02;17,8660
6927,94;17,8875
7200,10;18,3029
7209,91;18,3190
7214,02;18,3257
7227,94;18,3486
7299,91;18,4654
7304,02;18,4720
7317,94;18,4946
7500,10;18,7884
7509,91;18,8046
7514,02;18,8114
7527,94;18,8345
7599,91;18,9530
7604,02;18,9598
7617,94;18,9828
7800,10;19,2831
7809,91;19,3000
7814,02;19,3071
7827,94;19,3312
7899,91;19,4541
7904,02;19,4611
7917,94;19,4849
8100,10;19,7949
8109,91;19,8115
8114,02;19,8185
8127,94;19,8423
8400,10;20,2692
8409,91;20,2846
8414,02;20,2910
8427,94;20,3129
8700,10;20,7380
8709,91;20,7532
8714,02;20,7597
8727,94;20,7814
9000,10;21,1933
9009,91;21,2092
9014,02;21,2158
9027,94;21,2384
9099,91;21,3536
9104,02;21,3601
9117,94;21,3825
9300,10;21,6739
9309,91;21,6903
9314,02;21,6972
9327,94;21,7205
9399,91;21,8393
9404,02;21,8461
9417,94;21,8690
9600,10;22,1661
9609,91;22,1820
9614,02;22,1887
9627,94;22,2114
9900,10;22,6244
9909,91;22,6393
9914,02;22,6455
9927,94;22,6666
10200,10;23,0722
10209,91;23,0869
10214,02;23,0931
10227,94;23,1140
10500,10;23,5213
10509,91;23,5360
10514,02;23,5421
10527,94;23,5630
10800,10;23,9659
10809,91;23,9803
10814,02;23,9863
10827,94;24,0068
11100,10;24,3872
11109,91;24,4020
11114,02;24,4082
11127,94;24,4294
11199,91;24,5370
11204,02;24,5431
11217,94;24,5640
11400,10;24,8370
11409,91;24,8528
11414,02;24,8595
11427,94;24,8819
11499,91;24,9955
11504,02;25,0020
11517,94;25,0239
11700,10;25,3097
11709,91;25,3251
11714,02;25,3315
11727,94;25,3536
12000,10;25,7470
12009,91;25,7619
12014,02;25,7681
12027,94;25,7892
12099,91;25,8972
12104,02;25,9034
12117,94;25,9243
12300,10;26,1969
12309,91;26,2119
12314,02;26,2182
12327,94;26,2395
12399,91;26,3488
12417,94;26,3762
12600,10;26,6508
12609,91;26,6656
12614,02;26,6718
12627,94;26,6929
12900,10;27,0956
12909,91;27,1101
12914,02;27,1162
12927,94;27,1370
13200,10;27,5271
13209,91;27,5411
13214,02;27,5470
13227,94;27,5670
13500,10;27,9561
13509,91;27,9701
13514,02;27,9760
13527,94;27,9959
13800,10;28,3860
13809,91;28,4005
13814,02;28,4065
13827,94;28,4271
13899,91;28,5327
13904,02;28,5388
13917,94;28,5592
14100,10;28,8260
14109,91;28,8407
14114,02;28,8469
14127,94;28,8678
14199,91;28,9757
14204,02;28,9819
14217,94;29,0027
14400,10;29,2761
14409,91;29,2915
14414,02;29,2980
14427,94;29,3200
14499,91;29,4323
14504,02;29,4387
14517,94;29,4604
14700,10;29,7419
14709,91;29,7570
14714,02;29,7634
14727,94;29,7850
15000,10;30,1971
15009,91;30,2120
15014,02;30,2182
15027,94;30,2395
15300,10;30,6410
15309,91;30,6572
15314,02;30,6639
15327,94;30,6869
15399,91;30,8024
15404,02;30,8090
15417,94;30,8313
15600,10;31,1196
15609,91;31,1351
15614,02;31,1415
15627,94;31,1635
15900,10;31,5503
15909,91;31,5643
15914,02;31,5702
15927,94;31,5901
16200,10;31,9795
16209,91;31,9939
16214,02;32,0000
16227,94;32,0206
16299,91;32,1265
16304,02;32,1325
16317,94;32,1529
16500,10;32,4201
16509,91;32,4349
16514,02;32,4411
16527,94;32,4621
16599,91;32,5697
16617,94;32,5967
16800,10;32,8690
16809,91;32,8840
16814,02;32,8903
16827,94;32,9117
16899,91;33,0220
16904,02;33,0283
16917,94;33,0497
17100,10;33,3290
17109,91;33,3445
17114,02;33,3509
17127,94;33,3729
17199,91;33,4856
17204,02;33,4920
17217,94;33,5138
17400,10;33,7971
17409,91;33,8124
17414,02;33,8188
17427,94;33,8405
17700,10;34,2627
17709,91;34,2779
17714,02;34,2842
17727,94;34,3059
18000,10;34,7293
18009,91;34,7446
18014,02;34,7510
18027,94;34,7728
18300,10;35,1948
18309,91;35,2100
18314,02;35,2164
18327,94;35,2380
18600,10;35,6460
18609,91;35,6614
18614,02;35,6679
18627,94;35,6898
18699,91;35,8018
18704,02;35,8082
18717,94;35,8299
18900,10;36,1118
18909,91;36,1270
18914,02;36,1333
18927,94;36,1548
19200,10;36,5621
19209,91;36,5779
19214,02;36,5845
19227,94;36,6070
19299,91;36,7213
19304,02;36,7278
19317,94;36,7500
19500,10;37,0393
19509,91;37,0553
19514,02;37,0620
19527,94;37,0848
19599,91;37,2016
19604,02;37,2083
19617,94;37,2308
19800,10;37,5231
19809,91;37,5388
19814,02;37,5454
19827,94;37,5680
20100,10;37,9823
20109,91;37,9972
20114,02;38,0035
20127,94;38,0248
20400,10;38,4386
20409,91;38,4535
20414,02;38,4597
20427,94;38,4809
20700,10;38,8889
20709,91;38,9047
20714,02;38,9113
20727,94;38,9337
20799,91;39,0481
20804,02;39,0546
20817,94;39,0767
21000,10;39,3653
21009,91;39,3808
21014,02;39,3873
21027,94;39,4094
21300,10;39,8392
