time;power_cum
300,10;6,0456
309,91;6,2578
314,02;6,3510
327,94;6,6674
600,10;9,3261
609,91;9,4219
614,02;9,4623
627,94;9,6003
900,10;11,5198
909,91;11,5892
914,02;11,6182
927,94;11,7166
1200,10;13,2267
1209,91;13,2811
1214,02;13,3040
1227,94;13,3816
1500,10;14,6357
1509,91;14,6810
1514,02;14,7000
1527,94;14,7646
1800,10;15,8191
1809,91;15,8572
1814,02;15,8731
1827,94;15,9271
2100,10;16,8490
2109,91;16,8822
2114,02;16,8961
2127,94;16,9433
2400,10;17,7587
2409,91;17,7880
2414,02;17,8003
2427,94;17,8420
2700,10;18,5736
2709,91;18,6000
2714,02;18,6111
2727,94;18,6486
3000,10;19,3161
3009,91;19,3401
3014,02;19,3502
3027,94;19,3842
3300,10;19,9909
3309,91;20,0129
3314,02;20,0221
3327,94;20,0533
3600,10;20,6245
3609,91;20,6450
3614,02;20,6536
3627,94;20,6829
3900,10;21,2016
3909,91;21,2205
3914,02;21,2284
3927,94;21,2552
4200,10;21,7766
4209,91;21,7954
4214,02;21,8032
4227,94;21,8299
4500,10;22,3498
4509,91;22,3686
4514,02;22,3765
4527,94;22,4031
4800,10;22,9196
4809,91;22,9381
4814,02;22,9458
4827,94;22,9722
5100,10;23,4845
5109,91;23,5030
5114,02;23,5107
5127,94;23,5369
5400,10;24,0494
5409,91;24,0679
5414,02;24,0757
5427,94;24,1020
5700,10;24,6077
5709,91;24,6259
5714,02;24,6336
5727,94;24,6595
6000,10;25,1666
6009,91;25,1850
6014,02;25,1927
6027,94;25,2188
6300,10;25,7265
6309,91;25,7448
6314,02;25,7524
6327,94;25,7784
6600,10;26,2841
6609,91;26,3024
6614,02;26,3100
6627,94;26,3359
6900,10;26,8252
6909,91;26,8429
6914,02;26,8503
6927,94;26,8753
7200,10;27,3588
7209,91;27,3763
7214,02;27,3837
7227,94;27,4087
7500,10;27,8963
7509,91;27,9139
7514,02;27,9213
7527,94;27,9463
7800,10;28,4359
7809,91;28,4537
7814,02;28,4611
7827,94;28,4864
8100,10;28,9775
8109,91;28,9952
8114,02;29,0026
8127,94;29,0276
8400,10;29,5082
8409,91;29,5255
8414,02;29,5328
8427,94;29,5574
8700,10;30,0353
8709,91;30,0525
8714,02;30,0597
8727,94;30,0842
9000,10;30,5625
9009,91;30,5798
9014,02;30,5871
9027,94;30,6118
9300,10;31,0938
9309,91;31,1113
9314,02;31,1186
9327,94;31,1434
9600,10;31,6220
9609,91;31,6391
9614,02;31,6463
9627,94;31,6706
9900,10;32,1370
9909,91;32,1538
9914,02;32,1608
9927,94;32,1846
10200,10;32,6513
10209,91;32,6682
10214,02;32,6753
10227,94;32,6993
10500,10;33,1672
10509,91;33,1841
10514,02;33,1911
10527,94;33,2151
10800,10;33,6789
10809,91;33,6955
10814,02;33,7024
10827,94;33,7260
11100,10;34,1893
11109,91;34,2061
11114,02;34,2132
11127,94;34,2371
11400,10;34,7063
11409,91;34,7233
11414,02;34,7305
11427,94;34,7546
11700,10;35,2158
11709,91;35,2323
11714,02;35,2393
11727,94;35,2628
12000,10;35,7232
12009,91;35,7398
12014,02;35,7468
12027,94;35,7705
12300,10;36,2247
12309,91;36,2411
12314,02;36,2480
12327,94;36,2712
12600,10;36,7156
12609,91;36,7316
12614,02;36,7383
12627,94;36,7609
12900,10;37,1962
12909,91;37,2120
12914,02;37,2186
12927,94;37,2409
13200,10;37,6686
13209,91;37,6840
13214,02;37,6905
13227,94;37,7124
13500,10;38,1403
13509,91;38,1558
13514,02;38,1623
13527,94;38,1842
13800,10;38,5991
13809,91;38,6141
13814,02;38,6204
13827,94;38,6418
14100,10;39,0587
14109,91;39,0738
14114,02;39,0801
14127,94;39,1016
14400,10;39,5151
14409,91;39,5301
14414,02;39,5364
14427,94;39,5577
14700,10;39,9716
14709,91;39,9865
14714,02;39,9927
14727,94;40,0138
15000,10;40,4240
15009,91;40,4388
15014,02;40,4450
15027,94;40,4660
15300,10;40,8792
15309,91;40,8941
15314,02;40,9004
15327,94;40,9218
15600,10;41,3331
15609,91;41,3477
15614,02;41,3539
15627,94;41,3746
15900,10;41,7739
15909,91;41,7884
15914,02;41,7944
15927,94;41,8149
16200,10;42,2171
16209,91;42,2317
16214,02;42,2378
16227,94;42,2585
16500,10;42,6628
16509,91;42,6774
16514,02;42,6835
16527,94;42,7042
16800,10;43,1081
16809,91;43,1412
16814,02;43,1551
16827,94;43,2022
16899,91;43,4071
16904,02;43,4188
16917,94;43,4584
17100,10;43,9767
17109,91;44,0047
17114,02;44,0164
17127,94;44,0561
17400,10;44,8161
17409,91;44,8435
17414,02;44,8550
17427,94;44,8943
17700,10;45,5987
17709,91;45,6242
17714,02;45,6351
17727,94;45,6720
18000,10;46,2350
18009,91;46,2554
18014,02;46,2640
18027,94;46,2930
18300,10;46,8412
18309,91;46,8609
18314,02;46,8692
18327,94;46,8973
18600,10;47,4178
18609,91;47,4367
18614,02;47,4446
18627,94;47,4713
18900,10;47,9907
18909,91;48,0094
18914,02;48,0172
18927,94;48,0438
19200,10;48,5500
19209,91;48,5684
19214,02;48,5761
19227,94;48,6023
19500,10;49,1068
19509,91;49,1251
19514,02;49,1328
19527,94;49,1588
19800,10;49,6612
19809,91;49,6792
19814,02;49,6868
19827,94;49,7123
20100,10;50,2120
20109,91;50,2301
20114,02;50,2377
20127,94;50,2633
20400,10;50,7612
20409,91;50,7791
20414,02;50,7866
20427,94;50,8120
20700,10;51,3116
20709,91;51,3298
20714,02;51,3374
20727,94;51,3632
21000,10;51,8654
21009,91;51,8836
21014,02;51,8912
21027,94;51,9169
21300,10;52,4040
21309,91;52,4215
