time;power_cum
300,10;6,0473
309,91;6,2493
314,02;6,3387
327,94;6,6457
600,10;9,0083
609,91;9,0934
614,02;9,1293
627,94;9,2525
900,10;10,9028
909,91;10,9625
914,02;10,9875
927,94;11,0726
1200,10;12,3509
1209,91;12,3970
1214,02;12,4164
1227,94;12,4821
1500,10;13,5088
1509,91;13,5460
1514,02;13,5615
1527,94;13,6144
1800,10;14,4817
1809,91;14,5131
1814,02;14,5262
1827,94;14,5706
2100,10;15,3686
2109,91;15,3974
2114,02;15,4094
2127,94;15,4503
2400,10;16,1912
2409,91;16,2179
2414,02;16,2291
2427,94;16,2670
2700,10;16,9593
2709,91;16,9843
2714,02;16,9948
2727,94;17,0303
3000,10;17,7215
3009,91;17,7463
3014,02;17,7568
3027,94;17,7920
3300,10;18,4699
3309,91;18,4944
3314,02;18,5047
3327,94;18,5395
3600,10;19,2159
3609,91;19,2401
3614,02;19,2503
3627,94;19,2848
3900,10;19,9633
3909,91;19,9880
3914,02;19,9983
3927,94;20,0333
4200,10;20,7144
4209,91;20,7389
4214,02;20,7492
4227,94;20,7840
4500,10;21,4647
4509,91;21,4893
4514,02;21,4996
4527,94;21,5345
4800,10;22,2128
4809,91;22,2372
4814,02;22,2474
4827,94;22,2819
5100,10;22,9555
5109,91;22,9798
5114,02;22,9900
5127,94;23,0244
5400,10;23,6978
5409,91;23,7221
5414,02;23,7323
5427,94;23,7668
5700,10;24,4409
5709,91;24,4652
5714,02;24,4754
5727,94;24,5099
6000,10;25,1858
6009,91;25,2103
6014,02;25,2205
6027,94;25,2552
6300,10;25,9308
6309,91;25,9551
6314,02;25,9653
6327,94;25,9998
6600,10;26,6723
6609,91;26,6965
6614,02;26,7067
6627,94;26,7411
6900,10;27,4111
6909,91;27,4353
6914,02;27,4454
6927,94;27,4796
7200,10;28,1525
7209,91;28,1769
7214,02;28,1871
7227,94;28,2217
7500,10;28,8970
7509,91;28,9213
7514,02;28,9315
7527,94;28,9661
7800,10;29,6427
7809,91;29,6671
7814,02;29,6774
7827,94;29,7121
8100,10;30,3898
8109,91;30,4142
8114,02;30,4244
8127,94;30,4590
8400,10;31,1343
8409,91;31,1586
8414,02;31,1688
8427,94;31,2033
8700,10;31,8763
8709,91;31,9005
8714,02;31,9107
8727,94;31,9451
9000,10;32,6056
9009,91;32,6296
9014,02;32,6396
9027,94;32,6736
9300,10;33,3378
9309,91;33,3618
9314,02;33,3719
9327,94;33,4059
9600,10;34,0660
9609,91;34,0897
9614,02;34,0996
9627,94;34,1331
9900,10;34,7874
9909,91;34,8109
9914,02;34,8208
9927,94;34,8542
10200,10;35,5088
10209,91;35,5325
10214,02;35,5425
10227,94;35,5761
10500,10;36,2322
10509,91;36,2558
10514,02;36,2658
10527,94;36,2993
10800,10;36,9509
10809,91;36,9743
10814,02;36,9841
10827,94;37,0173
11100,10;37,6686
11109,91;37,6922
11114,02;37,7021
11127,94;37,7356
11400,10;38,3924
11409,91;38,4161
11414,02;38,4261
11427,94;38,4598
11700,10;39,1157
11709,91;39,1393
11714,02;39,1492
11727,94;39,1827
12000,10;39,8372
12009,91;39,8609
12014,02;39,8708
12027,94;39,9043
12300,10;40,5594
12309,91;40,5830
12314,02;40,5929
12327,94;40,6264
12600,10;41,2793
12609,91;41,3028
12614,02;41,3126
12627,94;41,3460
12900,10;41,9410
12909,91;41,9624
12914,02;41,9714
12927,94;42,0019
13200,10;42,5823
13209,91;42,6032
13214,02;42,6120
13227,94;42,6417
13500,10;43,2216
13509,91;43,2425
13514,02;43,2513
13527,94;43,2810
13800,10;43,8626
13809,91;43,8837
13814,02;43,8925
13827,94;43,9224
14100,10;44,5064
14109,91;44,5275
14114,02;44,5364
14127,94;44,5663
14400,10;45,1535
14409,91;45,1747
14414,02;45,1836
14427,94;45,2138
14700,10;45,8008
14709,91;45,8219
14714,02;45,8308
14727,94;45,8607
15000,10;46,4446
15009,91;46,4657
15014,02;46,4745
15027,94;46,5044
15300,10;47,0914
15309,91;47,1128
15314,02;47,1217
15327,94;47,1519
15600,10;47,7354
15609,91;47,7563
15614,02;47,7650
15627,94;47,7946
15900,10;48,3737
15909,91;48,3947
15914,02;48,4034
15927,94;48,4331
16200,10;49,0153
16209,91;49,0364
16214,02;49,0452
16227,94;49,0751
16500,10;49,6591
16509,91;49,6802
16514,02;49,6891
16527,94;49,7189
16800,10;50,3041
16809,91;50,3253
16814,02;50,3342
16827,94;50,3642
17100,10;50,9513
17109,91;50,9725
17114,02;50,9814
17127,94;51,0115
17400,10;51,5990
17409,91;51,6201
17414,02;51,6290
17427,94;51,6590
17700,10;52,2459
17709,91;52,2671
17714,02;52,2760
17727,94;52,3060
18000,10;52,8932
18009,91;52,9144
18014,02;52,9233
18027,94;52,9534
18300,10;53,5387
18309,91;53,5598
18314,02;53,5686
18327,94;53,5985
18600,10;54,1845
18609,91;54,2057
18614,02;54,2145
18627,94;54,2446
18900,10;54,8305
18909,91;54,8516
18914,02;54,8605
18927,94;54,8904
19200,10;55,4776
19209,91;55,4989
19214,02;55,5079
19227,94;55,5381
19500,10;56,1305
19509,91;56,1520
19514,02;56,1609
19527,94;56,1913
19800,10;56,7803
19809,91;56,8014
19814,02;56,8102
19827,94;56,8402
20100,10;57,4260
20109,91;57,4471
20114,02;57,4560
20127,94;57,4860
20400,10;58,0707
20409,91;58,0918
20414,02;58,1006
20427,94;58,1305
20700,10;58,7177
20709,91;58,7390
20714,02;58,7480
20727,94;58,7782
21000,10;59,3674
21009,91;59,3886
21014,02;59,3975
21027,94;59,4276
21300,10;60,0151
21309,91;60,0363
21314,02;60,0452
21327,94;60,0752
21600,10;60,6628
21609,91;60,6840
21614,02;60,6929
21627,94;60,7230
21900,10;61,3088
21909,91;61,3299
21914,02;61,3387
21927,94;61,3685
22200,10;61,9544
22209,91;61,9756
22214,02;61,9845
22227,94;62,0147
22500,10;62,6048
22509,91;62,6261
22514,02;62,6350
22527,94;62,6654
22800,10;63,2570
22809,91;63,2783
22814,02;63,2872
22827,94;63,3175
23100,10;63,9056
23109,91;63,9268
23114,02;63,9356
23127,94;63,9656
23400,10;64,5557
23409,91;64,5771
23414,02;64,5861
23427,94;64,6165
23700,10;65,2064
23709,91;65,2276
23714,02;65,2364
23727,94;65,2665
24000,10;65,8550
24009,91;65,8763
24014,02;65,8853
24027,94;65,9155
24300,10;66,5068
24309,91;66,5282
24314,02;66,5371
24327,94;66,5674
24600,10;67,1572
24609,91;67,1784
24614,02;67,1873
24627,94;67,2175
24900,10;67,8055
24909,91;67,8267
24914,02;67,8356
24927,94;67,8658
25200,10;68,4541
25209,91;68,4753
25214,02;68,4842
25227,94;68,5143
25500,10;69,1008
25509,91;69,1219
25514,02;69,1308
25527,94;69,1607
25800,10;69,7456
25809,91;69,7667
25814,02;69,7755
25827,94;69,8054
26100,10;70,3921
26109,91;70,4134
26114,02;70,4223
26127,94;70,4525
26400,10;71,0397
26409,91;71,0608
26414,02;71,0697
26427,94;71,0996
26700,10;71,6718
26709,91;71,6925
26714,02;71,7011
26727,94;71,7305
27000,10;72,3038
27009,91;72,3245
27014,02;72,3332
27027,94;72,3625
27300,10;72,9373
27309,91;72,9581
27314,02;72,9668
27327,94;72,9963
27600,10;73,5693
27609,91;73,5899
27614,02;73,5985
27627,94;73,6277
27900,10;74,2010
27909,91;74,2217
27914,02;74,2304
27927,94;74,2599
28200,10;74,8407
28209,91;74,8618
28214,02;74,8707
28227,94;74,9007
28500,10;75,4827
28509,91;75,5036
28514,02;75,5123
28527,94;75,5420
28800,10;76,1208
28809,91;76,1417
28814,02;76,1505
28827,94;76,1801
29100,10;76,7556
29109,91;76,7763
29114,02;76,7850
29127,94;76,8143
29400,10;77,3876
29409,91;77,4083
29414,02;77,4170
29427,94;77,4463
29700,10;78,0188
29709,91;78,0395
29714,02;78,0481
29727,94;78,0774
30000,10;78,6513
30009,91;78,6720
30014,02;78,6807
30027,94;78,7102
30300,10;79,2860
30309,91;79,3068
30314,02;79,3155
30327,94;79,3450
30600,10;79,9194
30609,91;79,9401
30614,02;79,9487
30627,94;79,9780
30900,10;80,5504
30909,91;80,5710
30914,02;80,5797
30927,94;80,6090
31200,10;81,1820
31209,91;81,2027
31214,02;81,2114
31227,94;81,2407
31500,10;81,8097
31509,91;81,8301
31514,02;81,8387
31527,94;81,8677
31800,10;82,4379
31809,91;82,4586
31814,02;82,4673
31827,94;82,4968
32100,10;83,0698
32109,91;83,0904
32114,02;83,0991
32127,94;83,1283
32400,10;83,7039
32409,91;83,7248
32414,02;83,7336
32427,94;83,7632
32700,10;84,3397
32709,91;84,3604
32714,02;84,3691
32727,94;84,3985
33000,10;84,9733
33009,91;84,9940
33014,02;85,0028
33027,94;85,0322
33300,10;85,6088
33309,91;85,6296
33314,02;85,6383
33327,94;85,6679
33600,10;86,2452
33609,91;86,2660
33614,02;86,2747
33627,94;86,3043
33900,10;86,8806
33909,91;86,9014
33914,02;86,9101
33927,94;86,9395
34200,10;87,5112
34209,91;87,5318
34214,02;87,5404
34227,94;87,5695
34500,10;88,1417
34509,91;88,1625
34514,02;88,1712
34527,94;88,2006
34800,10;88,7734
34809,91;88,7940
34814,02;88,8027
34827,94;88,8319
35100,10;89,4044
35109,91;89,4251
35114,02;89,4338
35127,94;89,4631
35400,10;90,0355
35409,91;90,0562
35414,02;90,0648
35427,94;90,0942
35700,10;90,6709
35709,91;90,6918
35714,02;90,7006
35727,94;90,7303
36000,10;91,3057
36009,91;91,3263
36014,02;91,3350
36027,94;91,3642
36300,10;91,9349
36309,91;91,9554
36314,02;91,9641
36327,94;91,9933
36600,10;92,5514
36609,91;92,5717
36614,02;92,5801
36627,94;92,6089
36900,10;93,1692
36909,91;93,1894
36914,02;93,1979
36927,94;93,2265
37200,10;93,7872
37209,91;93,8075
37214,02;93,8160
37227,94;93,8447
37500,10;94,4053
37509,91;94,4255
37514,02;94,4340
37527,94;94,4627
37800,10;95,0228
37809,91;95,0430
37814,02;95,0515
37827,94;95,0801
38100,10;95,6408
38109,91;95,6610
38114,02;95,6695
38127,94;95,6982
38400,10;96,2575
38409,91;96,2776
38414,02;96,2861
38427,94;96,3146
38700,10;96,8742
38709,91;96,8945
38714,02;96,9030
38727,94;96,9317
39000,10;97,4918
39009,91;97,5120
39014,02;97,5204
39027,94;97,5491
39300,10;98,1099
39309,91;98,1301
39314,02;98,1386
39327,94;98,1674
39600,10;98,7264
39609,91;98,7465
39614,02;98,7549
39627,94;98,7834
39900,10;99,3413
39909,91;99,3615
39914,02;99,3700
39927,94;99,3986
40200,10;99,9611
40209,91;99,9815
40214,02;99,9900
40227,94;100,0189
40500,10;100,5821
40509,91;100,6024
40514,02;100,6109
40527,94;100,6396
40800,10;101,2017
40809,91;101,2220
40814,02;101,2305
40827,94;101,2593
41100,10;101,8229
41109,91;101,8433
41114,02;101,8519
41127,94;101,8807
41400,10;102,4420
41409,91;102,4622
41414,02;102,4706
41427,94;102,4993
