time;power
300,00;6,6674
600,00;2,9329
900,00;2,1163
1200,00;1,6650
1500,00;1,3830
1800,00;1,1625
2100,00;1,0162
2400,00;1,0945
2700,00;0,8207
3000,00;0,7400
3300,00;0,6876
3600,00;0,6356
3900,00;0,6391
4200,00;0,8179
4500,00;0,7416
4800,00;0,6585
5100,00;0,7958
5400,00;0,5705
5700,00;0,9379
6000,00;0,8578
6300,00;0,7724
6600,00;0,7423
6900,00;0,8089
7200,00;0,9575
7500,00;0,7549
7800,00;1,0992
8100,00;0,8657
8400,00;0,5249
8700,00;0,9379
9000,00;0,8704
9300,00;0,8116
9600,00;1,0772
9900,00;0,5270
10200,00;0,7354
10500,00;0,6933
10800,00;0,5567
11100,00;1,1166
11400,00;1,1826
11700,00;0,9253
12000,00;0,8147
12300,00;0,6355
12600,00;0,6493
12900,00;0,8197
13200,00;0,9310
13500,00;0,7304
13800,00;0,6416
14100,00;0,7215
14400,00;0,8943
14700,00;1,0614
15000,00;0,8432
15300,00;0,6714
15600,00;0,5033
15900,00;0,7534
16200,00;0,7736
16500,00;0,8702
16800,00;0,7636
17100,00;0,7821
17400,00;0,8398
17700,00;0,6832
18000,00;0,7855
18300,00;0,6798
18600,00;0,6863
18900,00;0,5565
19200,00;0,9020
19500,00;0,8065
19800,00;0,8739
20100,00;0,7640
20400,00;0,7434
20700,00;0,9027
21000,00;0,8774
21300,00;0,6498
21600,00;0,6749
21900,00;0,6209
22200,00;0,9502
22500,00;0,8271
22800,00;0,8522
23100,00;0,5868
23400,00;0,8740
23700,00;1,0862
24000,00;0,9073
24300,00;0,8107
24600,00;0,7848
24900,00;0,8115
25200,00;0,6295
25500,00;0,7999
25800,00;0,7455
26100,00;0,8908
26400,00;0,7818
26700,00;0,8516
27000,00;0,7510
27300,00;0,8193
27600,00;0,8325
27900,00;0,8273
28200,00;1,1103
28500,00;1,0965
28800,00;0,6012
29100,00;0,8245
29400,00;0,7573
29700,00;0,5385
30000,00;0,8309
30300,00;0,9325
30600,00;0,8608
30900,00;0,8389
31200,00;0,7695
31500,00;0,5656
31800,00;0,7785
32100,00;0,6507
32400,00;1,0670
32700,00;0,7241
33000,00;1,1624
33300,00;0,7411
33600,00;0,7794
33900,00;0,7872
34200,00;0,5132
