time;power
300,00;8,2536
600,00;0,5190
900,00;0,5108
1200,00;0,4880
1500,00;0,5486
1800,00;0,4735
2100,00;0,5659
2400,00;0,4837
2700,00;0,5352
3000,00;0,4719
3300,00;0,5242
3600,00;0,4630
3900,00;0,5279
4200,00;0,4748
4500,00;0,3833
4800,00;0,6130
5100,00;0,4684
5400,00;0,4879
5700,00;0,4702
6000,00;0,4888
6300,00;0,4619
6600,00;0,4582
6900,00;0,4776
7200,00;0,5051
7500,00;0,3408
7800,00;0,6411
8100,00;0,3489
8400,00;0,6107
8700,00;0,4689
9000,00;0,5113
9300,00;0,3489
9600,00;0,6110
9900,00;0,3335
10200,00;0,5707
10500,00;0,4140
10800,00;0,4307
11100,00;0,4534
11400,00;0,4573
11700,00;0,4335
12000,00;0,4557
12300,00;0,3374
12600,00;0,5523
12900,00;0,4558
13200,00;0,4345
13500,00;0,3872
13800,00;0,4858
14100,00;0,3103
14400,00;0,5913
14700,00;0,3275
15000,00;0,5750
15300,00;0,4790
15600,00;0,4346
15900,00;0,3233
16200,00;0,5641
16500,00;0,4181
16800,00;0,4852
17100,00;0,4734
17400,00;0,4428
17700,00;0,3585
18000,00;0,5658
18300,00;0,4783
18600,00;0,4848
18900,00;0,4333
19200,00;0,4990
19500,00;0,4923
19800,00;0,4649
20100,00;0,4640
20400,00;0,4694
20700,00;0,4937
21000,00;0,3342
21300,00;0,5849
21600,00;0,5035
21900,00;0,4409
22200,00;0,4900
22500,00;0,4748
22800,00;0,4833
23100,00;0,4518
23400,00;0,4976
23700,00;0,4504
24000,00;0,4657
24300,00;0,5308
24600,00;0,4575
24900,00;0,5153
25200,00;0,3430
25500,00;0,6019
25800,00;0,4646
26100,00;0,4974
26400,00;0,4526
26700,00;0,4859
27000,00;0,4683
27300,00;0,4812
27600,00;0,4516
27900,00;0,4944
28200,00;0,5064
28500,00;0,4915
28800,00;0,4887
29100,00;0,5111
29400,00;0,4938
29700,00;0,3271
30000,00;0,6134
30300,00;0,4871
30600,00;0,4584
30900,00;0,4584
31200,00;0,4902
31500,00;0,4312
31800,00;0,4934
32100,00;0,4553
32400,00;0,5197
32700,00;0,4708
33000,00;0,4820
33300,00;0,5135
33600,00;0,4929
33900,00;0,4632
34200,00;0,4870
34500,00;0,4871
34800,00;0,4753
35100,00;0,4466
35400,00;0,5018
35700,00;0,4929
36000,00;0,4721
36300,00;0,3492
36600,00;0,6065
36900,00;0,4642
37200,00;0,5015
37500,00;0,3388
37800,00;0,4833
38100,00;0,4829
38400,00;0,5955
38700,00;0,5014
39000,00;0,4855
39300,00;0,4947
39600,00;0,4631
39900,00;0,5004
40200,00;0,4920
40500,00;0,4726
40800,00;0,4651
41100,00;0,5328
41400,00;0,4660
41700,00;0,5206
42000,00;0,4652
42300,00;0,5102
42600,00;0,4484
42900,00;0,4969
43200,00;0,4798
43500,00;0,3373
43800,00;0,5913
44100,00;0,5092
44400,00;0,4362
44700,00;0,4923
45000,00;0,5024
45300,00;0,4925
45600,00;0,4551
45900,00;0,5125
46200,00;0,4873
46500,00;0,5201
46800,00;0,4665
47100,00;0,3764
47400,00;0,4928
47700,00;0,6438
48000,00;0,4650
48300,00;0,5294
48600,00;0,5055
48900,00;0,4721
49200,00;0,4969
49500,00;0,4891
49800,00;0,4662
50100,00;0,4657
50400,00;0,5407
50700,00;0,4538
51000,00;0,5233
51300,00;0,4652
51600,00;0,3719
51900,00;0,5738
52200,00;0,5468
52500,00;0,4711
52800,00;0,5124
53100,00;0,4913
53400,00;0,4637
53700,00;0,5199
54000,00;0,4673
54300,00;0,3709
54600,00;0,5837
54900,00;0,5317
55200,00;0,4939
55500,00;0,4644
55800,00;0,4703
56100,00;0,5310
56400,00;0,5002
56700,00;0,4705
57000,00;0,3579
57300,00;0,4670
57600,00;0,4656
57900,00;0,6151
58200,00;0,3394
58500,00;0,6326
58800,00;0,4430
59100,00;0,4913
59400,00;0,4905
59700,00;0,3257
60000,00;0,5622
60300,00;0,5152
60600,00;0,4841
60900,00;0,4554
61200,00;0,3562
61500,00;0,6083
61800,00;0,4759
62100,00;0,4466
62400,00;0,5003
62700,00;0,4389
63000,00;0,4970
63300,00;0,4394
63600,00;0,4478
63900,00;0,4765
64200,00;0,4691
64500,00;0,4473
64800,00;0,4721
65100,00;0,4653
65400,00;0,4477
65700,00;0,4993
66000,00;0,3303
66300,00;0,6184
66600,00;0,4424
66900,00;0,4375
67200,00;0,4585
67500,00;0,4446
67800,00;0,3990
68100,00;0,3601
68400,00;0,5784
68700,00;0,3152
69000,00;0,5554
69300,00;0,4329
69600,00;0,4258
69900,00;0,4481
70200,00;0,2971
70500,00;0,5633
70800,00;0,4142
71100,00;0,4645
71400,00;0,4214
71700,00;0,4622
72000,00;0,4090
72300,00;0,4484
72600,00;0,3025
72900,00;0,5297
73200,00;0,4493
73500,00;0,4520
73800,00;0,4260
74100,00;0,3370
74400,00;0,5368
74700,00;0,4524
75000,00;0,3991
75300,00;0,4456
75600,00;0,4381
75900,00;0,4157
76200,00;0,4012
76500,00;0,3849
76800,00;0,4314
77100,00;0,4058
77400,00;0,4299
77700,00;0,4055
78000,00;0,4117
78300,00;0,3643
78600,00;0,3998
78900,00;0,4010
79200,00;0,3896
79500,00;0,3149
79800,00;0,4971
80100,00;0,3250
80400,00;0,4957
80700,00;0,4587
81000,00;0,3964
81300,00;0,3904
81600,00;0,4194
81900,00;0,4263
82200,00;0,4051
82500,00;0,2950
82800,00;0,5113
83100,00;0,3761
83400,00;0,4142
83700,00;0,3746
84000,00;0,2962
84300,00;0,4544
84600,00;0,4218
84900,00;0,2688
85200,00;0,5062
85500,00;0,3667
85800,00;0,4024
86100,00;0,4001
