time;power_cum
300,10;6,0473
309,91;6,2493
314,02;6,3387
327,94;6,6457
600,10;9,0083
609,91;9,0934
614,02;9,1293
627,94;9,2525
900,10;10,9028
909,91;10,9625
914,02;10,9875
927,94;11,0726
1200,10;12,3509
1209,91;12,3970
1214,02;12,4164
1227,94;12,4821
1500,10;13,5088
1509,91;13,5460
1514,02;13,5615
1527,94;13,6144
1800,10;14,4817
1809,91;14,5131
1814,02;14,5262
1827,94;14,5706
2100,10;15,3403
2109,91;15,3680
2114,02;15,3797
2127,94;15,4191
2400,10;16,1104
2409,91;16,1353
2414,02;16,1457
2427,94;16,1812
2700,10;16,8169
2709,91;16,8399
2714,02;16,8495
2727,94;16,8822
3000,10;17,5169
3009,91;17,5397
3014,02;17,5493
3027,94;17,5818
3300,10;18,1613
3309,91;18,1823
3314,02;18,1911
3327,94;18,2208
3600,10;18,7925
3609,91;18,8131
3614,02;18,8217
3627,94;18,8508
3900,10;19,4231
3909,91;19,4439
3914,02;19,4526
3927,94;19,4821
4200,10;20,0575
4209,91;20,0782
4214,02;20,0869
4227,94;20,1163
4500,10;20,6910
4509,91;20,7118
4514,02;20,7205
4527,94;20,7499
4800,10;21,3220
4809,91;21,3425
4814,02;21,3511
4827,94;21,3803
5100,10;21,9482
5109,91;21,9687
5114,02;21,9772
5127,94;22,0062
5400,10;22,5670
5409,91;22,5872
5414,02;22,5957
5427,94;22,6245
5700,10;23,1850
5709,91;23,2052
5714,02;23,2137
5727,94;23,2424
6000,10;23,8052
6009,91;23,8256
6014,02;23,8342
6027,94;23,8631
6300,10;24,4265
6309,91;24,4467
6314,02;24,4552
6327,94;24,4840
6600,10;25,0444
6609,91;25,0646
6614,02;25,0731
6627,94;25,1017
6900,10;25,6599
6909,91;25,6800
6914,02;25,6884
6927,94;25,7169
7200,10;26,2766
7209,91;26,2969
7214,02;26,3055
7227,94;26,3343
7500,10;26,8975
7509,91;26,9178
7514,02;26,9263
7527,94;26,9552
7800,10;27,5195
7809,91;27,5399
7814,02;27,5485
7827,94;27,5776
8100,10;28,1433
8109,91;28,1636
8114,02;28,1722
8127,94;28,2011
8400,10;28,7639
8409,91;28,7842
8414,02;28,7927
8427,94;28,8215
8700,10;29,3823
8709,91;29,4025
8714,02;29,4110
8727,94;29,4398
9000,10;29,9875
9009,91;30,0074
9014,02;30,0157
9027,94;30,0439
9300,10;30,5942
9309,91;30,6141
9314,02;30,6224
9327,94;30,6506
9600,10;31,1974
9609,91;31,2170
9614,02;31,2252
9627,94;31,2530
9900,10;31,7941
9909,91;31,8136
9914,02;31,8218
9927,94;31,8494
10200,10;32,3916
10209,91;32,4112
10214,02;32,4194
10227,94;32,4473
10500,10;32,9913
10509,91;33,0109
10514,02;33,0191
10527,94;33,0469
10800,10;33,5865
10809,91;33,6059
10814,02;33,6140
10827,94;33,6416
11100,10;34,1243
11109,91;34,1418
11114,02;34,1492
11127,94;34,1741
11400,10;34,6614
11409,91;34,6791
11414,02;34,6865
11427,94;34,7115
11700,10;35,1979
11709,91;35,2153
11714,02;35,2227
11727,94;35,2475
12000,10;35,7332
12009,91;35,7508
12014,02;35,7582
12027,94;35,7831
12300,10;36,2697
12309,91;36,2872
12314,02;36,2946
12327,94;36,3195
12600,10;36,8032
12609,91;36,8206
12614,02;36,8279
12627,94;36,8526
12900,10;37,3346
12909,91;37,3520
12914,02;37,3593
12927,94;37,3840
13200,10;37,8660
13209,91;37,8834
13214,02;37,8907
13227,94;37,9153
13500,10;38,3959
13509,91;38,4132
13514,02;38,4205
13527,94;38,4451
13800,10;38,9273
13809,91;38,9448
13814,02;38,9521
13827,94;38,9769
14100,10;39,4614
14109,91;39,4789
14114,02;39,4862
14127,94;39,5111
14400,10;39,9993
14409,91;40,0170
14414,02;40,0244
14427,94;40,0496
14700,10;40,5375
14709,91;40,5551
14714,02;40,5624
14727,94;40,5874
15000,10;41,0731
15009,91;41,0907
15014,02;41,0980
15027,94;41,1229
15300,10;41,6102
15309,91;41,6279
15314,02;41,6353
15327,94;41,6604
15600,10;42,1451
15609,91;42,1624
15614,02;42,1696
15627,94;42,1941
15900,10;42,6672
15909,91;42,6843
15914,02;42,6915
15927,94;42,7158
16200,10;43,1917
16209,91;43,2089
16214,02;43,2162
16227,94;43,2407
16500,10;43,7190
16509,91;43,7362
16514,02;43,7435
16527,94;43,7680
16800,10;44,2466
16809,91;44,2639
16814,02;44,2712
16827,94;44,2958
17100,10;44,7781
17109,91;44,7956
17114,02;44,8029
17127,94;44,8277
17400,10;45,3097
17409,91;45,3271
17414,02;45,3344
17427,94;45,3590
17700,10;45,8404
17709,91;45,8577
17714,02;45,8650
17727,94;45,8897
18000,10;46,3713
18009,91;46,3887
18014,02;46,3960
18027,94;46,4207
18300,10;46,9013
18309,91;46,9187
18314,02;46,9259
18327,94;46,9505
18600,10;47,4241
18609,91;47,4413
18614,02;47,4485
18627,94;47,4728
18900,10;47,9388
18909,91;47,9555
18914,02;47,9626
18927,94;47,9864
19200,10;48,4532
19209,91;48,4702
19214,02;48,4773
19227,94;48,5014
19500,10;48,9729
19509,91;48,9900
19514,02;48,9972
19527,94;49,0215
19800,10;49,4910
19809,91;49,5078
19814,02;49,5148
19827,94;49,5387
20100,10;50,0054
20109,91;50,0223
20114,02;50,0293
20127,94;50,0533
20400,10;50,5188
20409,91;50,5356
20414,02;50,5426
20427,94;50,5664
20700,10;51,0257
20709,91;51,0424
20714,02;51,0494
20727,94;51,0731
21000,10;51,5356
21009,91;51,5523
21014,02;51,5593
21027,94;51,5829
21300,10;52,0373
21309,91;52,0537
21314,02;52,0606
21327,94;52,0838
21600,10;52,5381
21609,91;52,5546
21614,02;52,5615
21627,94;52,5848
21900,10;53,0370
21909,91;53,0533
21914,02;53,0601
21927,94;53,0831
22200,10;53,5349
22209,91;53,5513
22214,02;53,5581
22227,94;53,5814
22500,10;54,0372
22509,91;54,0537
22514,02;54,0606
22527,94;54,0841
22800,10;54,5420
22809,91;54,5585
22814,02;54,5654
22827,94;54,5889
23100,10;55,0433
23109,91;55,0596
23114,02;55,0664
23127,94;55,0896
23400,10;55,5452
23409,91;55,5618
23414,02;55,5687
23427,94;55,5923
23700,10;56,0489
23709,91;56,0653
23714,02;56,0722
23727,94;56,0954
24000,10;56,5501
24009,91;56,5666
24014,02;56,5736
24027,94;56,5970
24300,10;57,0538
24309,91;57,0703
24314,02;57,0772
24327,94;57,1007
24600,10;57,5573
24609,91;57,5737
24614,02;57,5806
24627,94;57,6040
24900,10;58,0591
24909,91;58,0755
24914,02;58,0824
24927,94;58,1058
25200,10;58,5606
25209,91;58,5770
25214,02;58,5839
25227,94;58,6071
25500,10;59,0597
25509,91;59,0760
25514,02;59,0829
25527,94;59,1061
25800,10;59,5568
25809,91;59,5730
25814,02;59,5798
25827,94;59,6029
26100,10;60,0552
26109,91;60,0717
26114,02;60,0786
26127,94;60,1019
26400,10;60,5560
26409,91;60,5723
26414,02;60,5791
26427,94;60,6023
26700,10;61,0478
26709,91;61,0640
26714,02;61,0707
26727,94;61,0936
27000,10;61,5409
27009,91;61,5570
27014,02;61,5638
27027,94;61,5868
27300,10;62,0351
27309,91;62,0513
27314,02;62,0581
27327,94;62,0812
27600,10;62,5281
27609,91;62,5441
27614,02;62,5509
27627,94;62,5737
27900,10;63,0128
27909,91;63,0287
27914,02;63,0354
27927,94;63,0581
28200,10;63,5033
28209,91;63,5273
28214,02;63,5373
28227,94;63,5714
28299,91;63,7305
28304,02;63,7396
28317,94;63,7703
28500,10;64,1698
28509,91;64,1913
28514,02;64,2003
28527,94;64,2307
28800,10;64,8226
28809,91;64,8439
28814,02;64,8529
28827,94;64,8831
29100,10;65,4726
29109,91;65,4938
29114,02;65,5027
29127,94;65,5327
29400,10;66,0775
29409,91;66,0972
29414,02;66,1055
29427,94;66,1334
29700,10;66,6780
29709,91;66,6977
29714,02;66,7059
29727,94;66,7338
30000,10;67,2798
30009,91;67,2996
30014,02;67,3079
30027,94;67,3359
30300,10;67,8841
30309,91;67,9039
30314,02;67,9123
30327,94;67,9404
30600,10;68,4858
30609,91;68,5054
30614,02;68,5136
30627,94;68,5414
30900,10;69,0858
30909,91;69,1054
30914,02;69,1137
30927,94;69,1416
31200,10;69,6865
31209,91;69,7062
31214,02;69,7145
31227,94;69,7423
31500,10;70,2832
31509,91;70,3026
31514,02;70,3108
31527,94;70,3383
31800,10;70,8805
31809,91;70,9002
31814,02;70,9085
31827,94;70,9365
32100,10;71,4813
32109,91;71,5009
32114,02;71,5091
32127,94;71,5370
32400,10;72,0841
32409,91;72,1040
32414,02;72,1124
32427,94;72,1406
32700,10;72,6886
32709,91;72,7083
32714,02;72,7166
32727,94;72,7445
33000,10;73,2915
33009,91;73,3113
33014,02;73,3196
33027,94;73,3477
33300,10;73,8957
33309,91;73,9155
33314,02;73,9238
33327,94;73,9518
33600,10;74,5003
33609,91;74,5201
33614,02;74,5284
33627,94;74,5565
33900,10;75,1040
33909,91;75,1237
33914,02;75,1320
33927,94;75,1599
34200,10;75,7028
34209,91;75,7223
34214,02;75,7305
34227,94;75,7582
34500,10;76,2804
34509,91;76,2994
34514,02;76,3073
34527,94;76,3342
34800,10;76,8504
34809,91;76,8690
34814,02;76,8768
34827,94;76,9032
35100,10;77,4189
35109,91;77,4376
35114,02;77,4454
35127,94;77,4719
35400,10;77,9887
35409,91;78,0074
35414,02;78,0152
35427,94;78,0418
35700,10;78,5618
35709,91;78,5806
35714,02;78,5886
35727,94;78,6154
36000,10;79,1342
36009,91;79,1528
36014,02;79,1606
36027,94;79,1870
36300,10;79,7006
36309,91;79,7191
36314,02;79,7269
36327,94;79,7531
36600,10;80,2692
36609,91;80,2880
36614,02;80,2958
36627,94;80,3224
36900,10;80,8404
36909,91;80,8591
36914,02;80,8670
36927,94;80,8935
37200,10;81,4120
37209,91;81,4307
37214,02;81,4386
37227,94;81,4652
37500,10;81,9626
37509,91;81,9805
37514,02;81,9881
37527,94;82,0135
37800,10;82,5032
37809,91;82,5209
37814,02;82,5283
37827,94;82,5534
38100,10;83,0430
38109,91;83,0607
38114,02;83,0681
38127,94;83,0932
38400,10;83,5817
38409,91;83,5993
38414,02;83,6067
38427,94;83,6317
38700,10;84,1201
38709,91;84,1378
38714,02;84,1452
38727,94;84,1703
39000,10;84,6452
39009,91;84,6623
39014,02;84,6695
39027,94;84,6938
39300,10;85,1706
39309,91;85,1879
39314,02;85,1952
39327,94;85,2197
39600,10;85,6943
39609,91;85,7114
39614,02;85,7185
39627,94;85,7427
39900,10;86,2161
39909,91;86,2332
39914,02;86,2404
39927,94;86,2648
40200,10;86,7413
40209,91;86,7586
40214,02;86,7659
40227,94;86,7904
40500,10;87,2683
40509,91;87,2854
40514,02;87,2927
40527,94;87,3171
40800,10;87,7945
40809,91;87,8118
40814,02;87,8190
40827,94;87,8435
41100,10;88,3219
41109,91;88,3392
41114,02;88,3464
41127,94;88,3710
41400,10;88,8472
