time;power
30,00;0,0607
60,00;0,0611
90,00;0,0724
120,00;0,0234
150,00;0,0179
180,00;0,0271
210,00;0,0102
240,00;0,0119
270,00;0,0161
300,00;0,0145
330,00;0,0153
360,00;0,0246
390,00;0,0106
420,00;0,0178
450,00;0,0179
480,00;0,0191
510,00;0,0195
540,00;0,0328
570,00;0,0140
600,00;0,0220
630,00;0,0199
660,00;0,0201
690,00;0,0233
720,00;0,0237
750,00;0,0227
780,00;0,0230
810,00;0,0222
840,00;0,0224
870,00;0,0226
900,00;0,0224
930,00;0,0201
960,00;0,0220
990,00;0,0274
1020,00;0,0221
1050,00;0,0212
1080,00;0,0123
1110,00;0,0161
1140,00;0,0164
1170,00;0,0164
1200,00;0,0163
1230,00;0,0166
1260,00;0,0192
1290,00;0,0259
1320,00;0,0194
1350,00;0,0217
1380,00;0,0129
1410,00;0,0282
1440,00;0,0106
1470,00;0,0171
1500,00;0,0162
1530,00;0,0275
1560,00;0,0126
1590,00;0,0287
1620,00;0,0224
1650,00;0,0131
1680,00;0,0202
1710,00;0,0205
1740,00;0,0205
1770,00;0,0207
1800,00;0,0207
1830,00;0,0208
1860,00;0,0187
1890,00;0,0188
1920,00;0,0188
1950,00;0,0188
1980,00;0,0189
2010,00;0,0190
2040,00;0,0190
2070,00;0,0192
2100,00;0,0291
2130,00;0,0116
2160,00;0,0201
2190,00;0,0288
2220,00;0,0239
2250,00;0,0117
2280,00;0,0213
2310,00;0,0188
2340,00;0,0306
2370,00;0,0132
2400,00;0,0183
2430,00;0,0188
2460,00;0,0214
2490,00;0,0213
2520,00;0,0215
2550,00;0,0197
2580,00;0,0198
2610,00;0,0222
2640,00;0,0222
2670,00;0,0222
2700,00;0,0224
2730,00;0,0150
2760,00;0,0230
2790,00;0,0222
2820,00;0,0201
2850,00;0,0223
2880,00;0,0222
2910,00;0,0323
2940,00;0,0242
2970,00;0,0140
3000,00;0,0230
3030,00;0,0300
3060,00;0,0265
3090,00;0,0140
3120,00;0,0221
3150,00;0,0219
3180,00;0,0217
3210,00;0,0213
3240,00;0,0213
3270,00;0,0302
3300,00;0,0227
3330,00;0,0133
3360,00;0,0208
3390,00;0,0280
3420,00;0,0228
3450,00;0,0134
3480,00;0,0186
3510,00;0,0283
3540,00;0,0233
3570,00;0,0135
3600,00;0,0190
3630,00;0,0212
3660,00;0,0311
3690,00;0,0135
3720,00;0,0213
3750,00;0,0192
3780,00;0,0191
3810,00;0,0192
3840,00;0,0213
3870,00;0,0215
3900,00;0,0192
3930,00;0,0293
3960,00;0,0236
3990,00;0,0237
4020,00;0,0237
4050,00;0,0137
4080,00;0,0216
4110,00;0,0194
4140,00;0,0216
4170,00;0,0215
4200,00;0,0192
4230,00;0,0193
4260,00;0,0193
4290,00;0,0192
4320,00;0,0195
4350,00;0,0194
4380,00;0,0194
4410,00;0,0145
4440,00;0,0223
4470,00;0,0196
4500,00;0,0147
4530,00;0,0225
4560,00;0,0147
4590,00;0,0307
4620,00;0,0197
4650,00;0,0240
4680,00;0,0117
4710,00;0,0280
4740,00;0,0241
4770,00;0,0219
4800,00;0,0197
4830,00;0,0218
4860,00;0,0241
4890,00;0,0138
4920,00;0,0317
4950,00;0,0137
4980,00;0,0193
5010,00;0,0216
