time;power
30,00;0,0607
60,00;0,0610
90,00;0,0723
120,00;0,0407
150,00;0,0326
180,00;0,0480
210,00;0,0408
240,00;0,0393
270,00;0,0392
300,00;0,0392
330,00;0,0392
360,00;0,0392
390,00;0,0392
420,00;0,0392
450,00;0,0386
480,00;0,0383
510,00;0,0382
540,00;0,0383
570,00;0,0383
600,00;0,0383
630,00;0,0379
660,00;0,0379
690,00;0,0379
720,00;0,0374
750,00;0,0373
780,00;0,0372
810,00;0,0371
840,00;0,0370
870,00;0,0369
900,00;0,0370
930,00;0,0367
960,00;0,0364
990,00;0,0364
1020,00;0,0363
1050,00;0,0363
1080,00;0,0363
1110,00;0,0363
1140,00;0,0363
1170,00;0,0363
1200,00;0,0363
1230,00;0,0363
1260,00;0,0362
1290,00;0,0362
1320,00;0,0362
1350,00;0,0362
1380,00;0,0362
1410,00;0,0359
1440,00;0,0359
1470,00;0,0359
1500,00;0,0359
1530,00;0,0359
1560,00;0,0358
1590,00;0,0358
1620,00;0,0358
1650,00;0,0359
1680,00;0,0359
1710,00;0,0359
1740,00;0,0359
1770,00;0,0359
1800,00;0,0359
1830,00;0,0359
1860,00;0,0359
1890,00;0,0359
1920,00;0,0359
1950,00;0,0359
1980,00;0,0359
2010,00;0,0359
2040,00;0,0357
2070,00;0,0357
2100,00;0,0357
2130,00;0,0357
2160,00;0,0357
2190,00;0,0357
2220,00;0,0357
2250,00;0,0357
2280,00;0,0357
2310,00;0,0356
2340,00;0,0356
2370,00;0,0356
2400,00;0,0356
2430,00;0,0356
2460,00;0,0356
2490,00;0,0356
2520,00;0,0356
2550,00;0,0356
2580,00;0,0355
2610,00;0,0356
2640,00;0,0356
2670,00;0,0356
2700,00;0,0356
2730,00;0,0356
2760,00;0,0356
2790,00;0,0356
2820,00;0,0357
2850,00;0,0356
2880,00;0,0356
2910,00;0,0356
2940,00;0,0356
2970,00;0,0356
3000,00;0,0356
3030,00;0,0356
3060,00;0,0356
3090,00;0,0356
3120,00;0,0355
3150,00;0,0355
3180,00;0,0356
3210,00;0,0356
3240,00;0,0356
3270,00;0,0356
3300,00;0,0356
3330,00;0,0355
3360,00;0,0355
3390,00;0,0355
3420,00;0,0355
3450,00;0,0355
3480,00;0,0355
3510,00;0,0355
3540,00;0,0355
3570,00;0,0355
3600,00;0,0355
3630,00;0,0355
3660,00;0,0355
3690,00;0,0355
3720,00;0,0355
3750,00;0,0355
3780,00;0,0355
3810,00;0,0355
3840,00;0,0355
3870,00;0,0355
3900,00;0,0355
3930,00;0,0355
3960,00;0,0354
3990,00;0,0352
4020,00;0,0351
4050,00;0,0351
4080,00;0,0351
4110,00;0,0351
4140,00;0,0351
4170,00;0,0352
4200,00;0,0351
4230,00;0,0351
4260,00;0,0351
4290,00;0,0351
4320,00;0,0351
4350,00;0,0351
4380,00;0,0351
4410,00;0,0351
4440,00;0,0351
4470,00;0,0351
4500,00;0,0351
4530,00;0,0351
4560,00;0,0352
4590,00;0,0351
4620,00;0,0351
4650,00;0,0351
4680,00;0,0351
4710,00;0,0351
4740,00;0,0351
4770,00;0,0351
4800,00;0,0351
4830,00;0,0351
4860,00;0,0352
4890,00;0,0351
4920,00;0,0351
4950,00;0,0352
4980,00;0,0351
5010,00;0,0351
5040,00;0,0351
5070,00;0,0351
5100,00;0,0351
5130,00;0,0351
5160,00;0,0351
5190,00;0,0351
5220,00;0,0352
5250,00;0,0351
5280,00;0,0351
5310,00;0,0351
5340,00;0,0351
5370,00;0,0351
5400,00;0,0351
5430,00;0,0351
5460,00;0,0351
5490,00;0,0351
5520,00;0,0351
5550,00;0,0351
5580,00;0,0351
5610,00;0,0351
5640,00;0,0351
5670,00;0,0351
5700,00;0,0350
5730,00;0,0350
5760,00;0,0350
5790,00;0,0351
5820,00;0,0351
5850,00;0,0351
5880,00;0,0351
5910,00;0,0350
5940,00;0,0350
5970,00;0,0350
6000,00;0,0350
6030,00;0,0351
6060,00;0,0351
6090,00;0,0350
6120,00;0,0350
6150,00;0,0350
6180,00;0,0350
6210,00;0,0350
6240,00;0,0350
6270,00;0,0350
6300,00;0,0350
6330,00;0,0350
6360,00;0,0350
6390,00;0,0350
6420,00;0,0350
6450,00;0,0350
6480,00;0,0349
6510,00;0,0350
6540,00;0,0350
6570,00;0,0350
6600,00;0,0349
6630,00;0,0350
6660,00;0,0349
6690,00;0,0349
6720,00;0,0349
6750,00;0,0349
6780,00;0,0349
6810,00;0,0348
6840,00;0,0348
6870,00;0,0349
6900,00;0,0348
6930,00;0,0348
6960,00;0,0348
6990,00;0,0348
7020,00;0,0348
7050,00;0,0348
7080,00;0,0348
7110,00;0,0348
7140,00;0,0348
7170,00;0,0348
7200,00;0,0348
7230,00;0,0348
7260,00;0,0348
7290,00;0,0348
7320,00;0,0348
7350,00;0,0349
7380,00;0,0348
7410,00;0,0348
7440,00;0,0348
7470,00;0,0348
7500,00;0,0348
7530,00;0,0348
7560,00;0,0348
7590,00;0,0348
7620,00;0,0348
7650,00;0,0347
7680,00;0,0348
7710,00;0,0348
7740,00;0,0348
7770,00;0,0348
7800,00;0,0347
7830,00;0,0347
7860,00;0,0347
7890,00;0,0348
7920,00;0,0348
7950,00;0,0348
7980,00;0,0348
8010,00;0,0348
8040,00;0,0348
8070,00;0,0348
8100,00;0,0348
8130,00;0,0347
8160,00;0,0348
8190,00;0,0347
8220,00;0,0347
8250,00;0,0347
8280,00;0,0347
8310,00;0,0347
8340,00;0,0347
8370,00;0,0347
8400,00;0,0347
8430,00;0,0346
8460,00;0,0347
8490,00;0,0347
8520,00;0,0347
8550,00;0,0347
8580,00;0,0347
8610,00;0,0347
8640,00;0,0347
8670,00;0,0348
8700,00;0,0347
8730,00;0,0348
8760,00;0,0348
8790,00;0,0348
8820,00;0,0348
8850,00;0,0348
8880,00;0,0348
8910,00;0,0348
8940,00;0,0348
8970,00;0,0348
9000,00;0,0348
9030,00;0,0348
9060,00;0,0348
9090,00;0,0348
9120,00;0,0348
9150,00;0,0348
9180,00;0,0348
9210,00;0,0348
9240,00;0,0348
9270,00;0,0348
9300,00;0,0348
9330,00;0,0348
9360,00;0,0348
9390,00;0,0348
9420,00;0,0348
9450,00;0,0348
9480,00;0,0348
9510,00;0,0348
9540,00;0,0348
9570,00;0,0348
9600,00;0,0348
9630,00;0,0347
9660,00;0,0348
9690,00;0,0348
9720,00;0,0347
9750,00;0,0347
9780,00;0,0348
9810,00;0,0348
9840,00;0,0348
9870,00;0,0348
9900,00;0,0348
9930,00;0,0347
9960,00;0,0347
9990,00;0,0347
10020,00;0,0347
10050,00;0,0348
10080,00;0,0348
10110,00;0,0348
10140,00;0,0348
10170,00;0,0348
10200,00;0,0348
10230,00;0,0347
10260,00;0,0348
10290,00;0,0348
10320,00;0,0348
10350,00;0,0348
10380,00;0,0348
10410,00;0,0348
10440,00;0,0348
10470,00;0,0348
10500,00;0,0348
10530,00;0,0348
10560,00;0,0348
10590,00;0,0349
10620,00;0,0348
10650,00;0,0348
10680,00;0,0348
10710,00;0,0348
10740,00;0,0348
10770,00;0,0348
10800,00;0,0348
10830,00;0,0348
10860,00;0,0348
10890,00;0,0348
10920,00;0,0349
10950,00;0,0348
10980,00;0,0349
11010,00;0,0348
11040,00;0,0348
11070,00;0,0348
11100,00;0,0348
11130,00;0,0348
11160,00;0,0348
11190,00;0,0348
11220,00;0,0348
11250,00;0,0348
11280,00;0,0348
11310,00;0,0348
11340,00;0,0348
11370,00;0,0348
11400,00;0,0347
11430,00;0,0348
11460,00;0,0348
11490,00;0,0348
11520,00;0,0348
