time;power_cum
300,10;0,0000
309,91;0,1937
314,02;0,2616
327,94;0,4812
600,10;2,8438
609,91;2,9290
614,02;2,9644
627,94;3,0798
900,10;4,7301
909,91;4,7897
914,02;4,8147
927,94;4,8983
1200,10;6,1766
1209,91;6,2227
1214,02;6,2421
1227,94;6,3068
1500,10;7,3335
1509,91;7,3706
1514,02;7,3862
1527,94;7,4385
1800,10;8,3059
1809,91;8,3387
1814,02;8,3525
1827,94;8,3991
2100,10;9,1970
2109,91;9,2264
2114,02;9,2386
2127,94;9,2795
2400,10;9,9781
2409,91;10,0045
2414,02;10,0155
2427,94;10,0522
2700,10;10,7086
2709,91;10,7358
2714,02;10,7472
2727,94;10,7848
3000,10;11,4751
3009,91;11,5012
3014,02;11,5117
3027,94;11,5462
3300,10;12,1740
3309,91;12,1981
3314,02;12,2081
3327,94;12,2411
3600,10;12,8259
3609,91;12,8484
3614,02;12,8577
3627,94;12,8886
3900,10;13,4542
3909,91;13,4775
3914,02;13,4872
3927,94;13,5190
4200,10;14,0882
4209,91;14,1118
4214,02;14,1216
4227,94;14,1535
4500,10;14,7213
4509,91;14,7451
4514,02;14,7549
4527,94;14,7876
4800,10;15,3460
4809,91;15,3676
4814,02;15,3766
4827,94;15,4057
5100,10;15,8961
5109,91;15,9168
5114,02;15,9255
5127,94;15,9541
5400,10;16,4517
5409,91;16,4766
5414,02;16,4868
5427,94;16,5196
5700,10;17,1233
5709,91;17,1479
5714,02;17,1576
5727,94;17,1896
6000,10;17,7236
6009,91;17,7555
6014,02;17,7688
6027,94;17,8129
6300,10;18,6096
6309,91;18,6395
6314,02;18,6516
6327,94;18,6897
6600,10;19,2570
6609,91;19,2810
6614,02;19,2910
6627,94;19,3240
6900,10;19,8751
6909,91;19,8995
6914,02;19,9097
6927,94;19,9433
7200,10;20,5033
7209,91;20,5336
7214,02;20,5459
7227,94;20,5870
7500,10;21,3126
7509,91;21,3428
7514,02;21,3552
7527,94;21,3949
7800,10;22,0442
7809,91;22,0721
7814,02;22,0837
7827,94;22,1217
8100,10;22,7717
8109,91;22,7967
8114,02;22,8066
8127,94;22,8394
8400,10;23,3600
8409,91;23,3844
8414,02;23,3946
8427,94;23,4288
8700,10;24,0112
8709,91;24,0340
8714,02;24,0434
8727,94;24,0743
9000,10;24,5727
9009,91;24,6002
9014,02;24,6117
9027,94;24,6504
9300,10;25,3354
9309,91;25,3630
9314,02;25,3742
9327,94;25,4114
9600,10;25,9795
9609,91;26,0014
9614,02;26,0106
9627,94;26,0413
9900,10;26,5265
9909,91;26,5495
9914,02;26,5592
9927,94;26,5909
10200,10;27,1610
10209,91;27,1847
10214,02;27,1944
10227,94;27,2258
10500,10;27,7405
10509,91;27,7655
10514,02;27,7757
10527,94;27,8100
10800,10;28,3916
10809,91;28,4142
10814,02;28,4233
10827,94;28,4529
11100,10;28,9422
11109,91;28,9676
11114,02;28,9783
11127,94;29,0137
11400,10;29,6425
11409,91;29,6681
11414,02;29,6785
11427,94;29,7123
11700,10;30,2410
11709,91;30,2646
11714,02;30,2745
11727,94;30,3072
12000,10;30,8634
12009,91;30,8891
12014,02;30,8999
12027,94;30,9354
12300,10;31,5277
12309,91;31,5539
