time;power_cum
300,10;0,0000
309,91;0,0048
314,02;0,0065
327,94;0,0112
600,10;0,0568
609,91;0,0584
614,02;0,0591
627,94;0,0614
900,10;0,0930
914,02;0,0946
927,94;0,0962
1200,10;0,1210
1209,91;0,1219
1214,02;0,1223
1227,94;0,1236
1500,10;0,1414
1800,10;0,1605
2100,10;0,1799
2400,10;0,1998
2700,10;0,2192
3000,10;0,2381
3014,02;0,2389
3027,94;0,2398
3300,10;0,2498
3309,91;0,2537
3314,02;0,2553
3327,94;0,2607
3600,10;0,3673
3609,91;0,3712
3614,02;0,3726
3627,94;0,3770
3900,10;0,4223
3914,02;0,4247
3927,94;0,4270
4200,10;0,4584
4209,91;0,4596
4227,94;0,4616
4500,10;0,4860
4514,02;0,4872
4527,94;0,4885
4800,10;0,5058
5100,10;0,5248
5400,10;0,5444
5700,10;0,5637
6000,10;0,5831
6300,10;0,6027
6600,10;0,6225
6900,10;0,6426
7200,10;0,6621
7500,10;0,6818
7800,10;0,7022
8100,10;0,7222
8400,10;0,7417
8700,10;0,7611
9000,10;0,7807
9300,10;0,7999
9600,10;0,8189
9900,10;0,8375
9909,91;0,8381
9914,02;0,8384
9927,94;0,8393
10200,10;0,8492
10209,91;0,8519
10214,02;0,8530
10227,94;0,8568
10500,10;0,9310
10509,91;0,9337
10514,02;0,9347
10527,94;0,9378
10800,10;0,9766
10814,02;0,9786
10827,94;0,9805
11100,10;1,0051
11109,91;1,0060
11114,02;1,0063
11127,94;1,0076
11400,10;1,0254
11700,10;1,0451
12000,10;1,0648
12300,10;1,0847
12600,10;1,1041
12900,10;1,1230
13200,10;1,1422
13500,10;1,1618
13800,10;1,1814
14100,10;1,2015
14400,10;1,2214
14700,10;1,2407
15000,10;1,2604
15300,10;1,2798
15600,10;1,2983
15900,10;1,3171
16200,10;1,3363
16500,10;1,3553
16800,10;1,3741
17100,10;1,3934
17400,10;1,4128
17700,10;1,4315
17714,02;1,4323
17727,94;1,4332
18000,10;1,4430
18009,91;1,4449
18027,94;1,4483
18300,10;1,5010
18309,91;1,5029
18314,02;1,5036
18327,94;1,5059
18600,10;1,5372
18614,02;1,5388
18627,94;1,5404
18900,10;1,5576
19200,10;1,5768
19500,10;1,5957
19800,10;1,6147
20100,10;1,6341
20400,10;1,6536
20700,10;1,6729
21000,10;1,6922
21300,10;1,7119
21600,10;1,7320
21900,10;1,7514
22200,10;1,7710
22500,10;1,7912
22800,10;1,8110
23100,10;1,8303
23400,10;1,8494
23700,10;1,8685
24000,10;1,8878
24300,10;1,9072
24600,10;1,9265
24900,10;1,9460
25200,10;1,9655
25500,10;1,9847
25800,10;2,0037
26100,10;2,0230
26400,10;2,0419
26700,10;2,0610
27000,10;2,0805
27300,10;2,1002
27600,10;2,1197
27900,10;2,1393
28200,10;2,1594
28500,10;2,1788
28800,10;2,1983
29100,10;2,2183
29400,10;2,2383
29700,10;2,2582
30000,10;2,2778
30300,10;2,2971
30600,10;2,3164
30900,10;2,3359
31200,10;2,3552
31500,10;2,3746
31800,10;2,3947
32100,10;2,4144
32400,10;2,4333
32700,10;2,4519
33000,10;2,4709
33300,10;2,4903
33600,10;2,5093
33900,10;2,5277
33914,02;2,5286
