time;power
300,10;0,0000
309,91;0,0048
314,02;0,0017
327,94;0,0047
600,10;0,0456
609,91;0,0016
614,02;0,0007
627,94;0,0023
900,10;0,0315
914,02;0,0016
927,94;0,0016
1200,10;0,0248
1209,91;0,0009
1214,02;0,0004
1227,94;0,0013
1500,10;0,0179
1800,10;0,0191
1809,91;0,0006
1814,02;0,0003
1827,94;0,0009
2100,10;0,0101
2109,91;0,0016
2114,02;0,0007
2400,10;0,0484
2409,91;0,0019
2414,02;0,0006
2700,10;0,0332
2709,91;0,0011
2714,02;0,0005
3000,10;0,0180
3009,91;0,0006
3014,02;0,0003
3300,10;0,0105
3309,91;0,0016
3314,02;0,0007
3600,10;0,0481
3609,91;0,0016
3614,02;0,0005
3627,94;0,0012
3900,10;0,0177
4200,10;0,0197
4500,10;0,0195
4800,10;0,0192
4814,02;0,0009
4827,94;0,0009
5100,10;0,0101
5109,91;0,0009
5114,02;0,0004
5400,10;0,0257
5409,91;0,0019
5414,02;0,0008
5427,94;0,0027
5700,10;0,0457
5709,91;0,0016
5714,02;0,0007
5727,94;0,0023
6000,10;0,0245
6014,02;0,0013
6027,94;0,0013
6300,10;0,0176
6600,10;0,0196
6609,91;0,0014
6627,94;0,0026
6900,10;0,0393
6909,91;0,0014
6914,02;0,0005
6927,94;0,0016
7200,10;0,0175
7500,10;0,0194
7509,91;0,0014
7514,02;0,0006
7527,94;0,0020
7800,10;0,0394
7809,91;0,0014
7814,02;0,0005
7827,94;0,0013
8100,10;0,0180
8400,10;0,0193
8700,10;0,0192
9000,10;0,0194
9300,10;0,0192
9309,91;0,0006
9314,02;0,0003
9327,94;0,0009
9600,10;0,0101
9609,91;0,0014
9614,02;0,0006
9627,94;0,0020
9900,10;0,0382
9909,91;0,0014
9914,02;0,0005
9927,94;0,0012
10200,10;0,0171
10214,02;0,0012
10227,94;0,0013
10500,10;0,0247
10514,02;0,0013
10527,94;0,0013
10800,10;0,0177
10827,94;0,0025
11100,10;0,0247
11127,94;0,0025
11400,10;0,0176
11700,10;0,0195
12000,10;0,0195
12300,10;0,0197
12314,02;0,0013
12600,10;0,0257
12609,91;0,0009
12614,02;0,0004
12627,94;0,0009
12900,10;0,0100
12927,94;0,0018
13200,10;0,0174
13500,10;0,0193
13514,02;0,0013
13800,10;0,0259
13814,02;0,0013
14100,10;0,0185
14114,02;0,0020
14127,94;0,0020
14400,10;0,0390
14409,91;0,0014
14414,02;0,0006
14427,94;0,0020
14700,10;0,0175
15000,10;0,0197
15300,10;0,0193
15309,91;0,0006
15314,02;0,0003
15327,94;0,0009
15600,10;0,0099
15900,10;0,0110
15927,94;0,0018
16200,10;0,0174
16500,10;0,0190
16527,94;0,0017
16800,10;0,0100
16827,94;0,0025
17100,10;0,0245
17127,94;0,0032
17400,10;0,0245
17427,94;0,0025
17700,10;0,0169
17727,94;0,0017
18000,10;0,0098
18300,10;0,0111
18314,02;0,0016
18327,94;0,0016
18600,10;0,0314
18627,94;0,0032
18900,10;0,0172
19200,10;0,0190
19500,10;0,0189
19800,10;0,0189
20100,10;0,0192
20114,02;0,0016
20400,10;0,0333
20414,02;0,0016
20427,94;0,0013
20700,10;0,0175
21000,10;0,0191
