time;power_cum
300,10;0,0000
309,91;0,0048
314,02;0,0065
327,94;0,0112
600,10;0,0359
614,02;0,0372
627,94;0,0385
900,10;0,0564
1200,10;0,0764
1500,10;0,0961
1800,10;0,1151
2100,10;0,1345
2400,10;0,1544
2700,10;0,1740
3000,10;0,1928
3009,91;0,1934
3014,02;0,1937
3027,94;0,1946
3300,10;0,2046
3309,91;0,2064
3314,02;0,2072
3600,10;0,2604
3609,91;0,2622
3614,02;0,2629
3627,94;0,2641
3900,10;0,2807
3914,02;0,2819
4200,10;0,3069
4214,02;0,3081
4500,10;0,3255
4514,02;0,3271
4527,94;0,3286
4800,10;0,3585
4814,02;0,3600
4827,94;0,3615
5100,10;0,3783
5400,10;0,3973
5700,10;0,4161
6000,10;0,4350
6300,10;0,4541
6600,10;0,4733
6900,10;0,4928
6927,94;0,4953
7200,10;0,5190
7227,94;0,5214
7500,10;0,5389
7800,10;0,5586
7809,91;0,5595
8100,10;0,5852
8109,91;0,5861
8400,10;0,6044
8700,10;0,6232
9000,10;0,6423
9300,10;0,6611
9600,10;0,6795
9900,10;0,6978
10200,10;0,7162
10500,10;0,7352
10800,10;0,7543
11100,10;0,7734
11400,10;0,7925
11700,10;0,8117
12000,10;0,8309
12300,10;0,8503
12314,02;0,8515
12600,10;0,8763
12614,02;0,8775
12900,10;0,8951
13200,10;0,9138
13500,10;0,9329
13800,10;0,9520
14100,10;0,9714
14127,94;0,9746
14400,10;1,0051
14414,02;1,0066
14427,94;1,0082
14700,10;1,0246
14714,02;1,0265
14727,94;1,0285
15000,10;1,0660
15009,91;1,0674
15014,02;1,0679
15027,94;1,0695
15300,10;1,0865
15600,10;1,1047
15900,10;1,1230
16200,10;1,1417
16500,10;1,1603
16800,10;1,1786
17100,10;1,1974
17400,10;1,2163
17700,10;1,2345
17714,02;1,2353
17727,94;1,2361
18000,10;1,2459
18014,02;1,2471
18027,94;1,2483
18300,10;1,2716
18309,91;1,2734
18314,02;1,2742
18327,94;1,2767
18600,10;1,3206
18609,91;1,3222
18614,02;1,3228
18627,94;1,3243
18900,10;1,3415
19200,10;1,3605
19500,10;1,3795
19800,10;1,3984
20100,10;1,4177
20400,10;1,4371
20700,10;1,4564
21000,10;1,4756
21300,10;1,4951
21314,02;1,4967
21327,94;1,4983
21600,10;1,5295
21609,91;1,5306
21614,02;1,5310
21627,94;1,5323
21900,10;1,5494
22200,10;1,5685
22500,10;1,5880
22514,02;1,5892
22800,10;1,6143
22814,02;1,6156
23100,10;1,6335
23400,10;1,6521
23700,10;1,6707
24000,10;1,6895
24300,10;1,7084
24600,10;1,7272
24900,10;1,7461
25200,10;1,7651
25500,10;1,7837
25800,10;1,8022
26100,10;1,8210
26400,10;1,8395
26700,10;1,8581
27000,10;1,8771
27300,10;1,8962
27600,10;1,9151
27900,10;1,9342
28200,10;1,9537
28214,02;1,9553
28500,10;1,9876
28514,02;1,9891
28527,94;1,9903
28800,10;2,0076
28814,02;2,0088
29100,10;2,0343
29114,02;2,0355
29400,10;2,0540
29700,10;2,0732
30000,10;2,0923
30300,10;2,1111
30600,10;2,1298
30900,10;2,1488
31200,10;2,1677
31500,10;2,1865
31800,10;2,2060
31814,02;2,2073
