time;power_cum
300,10;0,0000
309,91;0,0038
314,02;0,0053
327,94;0,0097
600,10;0,0690
609,91;0,0712
614,02;0,0721
627,94;0,0751
900,10;0,1132
914,02;0,1151
927,94;0,1171
1200,10;0,1420
1209,91;0,1429
1214,02;0,1433
1227,94;0,1445
1500,10;0,1624
1800,10;0,1814
1809,91;0,1820
1814,02;0,1823
1827,94;0,1832
2100,10;0,1933
2109,91;0,1947
2114,02;0,1952
2400,10;0,2352
2409,91;0,2365
2414,02;0,2369
2700,10;0,2549
2709,91;0,2562
2714,02;0,2568
3000,10;0,2959
3009,91;0,2973
3014,02;0,2977
3300,10;0,3155
3309,91;0,3164
3314,02;0,3168
3600,10;0,3423
3609,91;0,3432
3900,10;0,3615
4200,10;0,3806
4500,10;0,3994
4800,10;0,4181
4809,91;0,4187
4814,02;0,4189
5100,10;0,4296
5109,91;0,4309
5114,02;0,4315
5127,94;0,4334
5400,10;0,4712
5409,91;0,4730
5414,02;0,4737
5427,94;0,4760
5700,10;0,5136
5709,91;0,5150
5727,94;0,5170
6000,10;0,5406
6009,91;0,5415
6014,02;0,5418
6027,94;0,5431
6300,10;0,5603
6600,10;0,5794
6627,94;0,5826
6900,10;0,6138
6927,94;0,6170
7200,10;0,6342
7500,10;0,6533
7800,10;0,6730
8100,10;0,6924
8400,10;0,7113
8700,10;0,7301
9000,10;0,7491
9300,10;0,7679
9309,91;0,7685
9314,02;0,7687
9327,94;0,7696
9600,10;0,7797
9609,91;0,7810
9614,02;0,7816
9627,94;0,7835
9900,10;0,8206
9909,91;0,8220
9914,02;0,8224
9927,94;0,8236
10200,10;0,8403
10214,02;0,8415
10227,94;0,8428
10500,10;0,8670
10514,02;0,8683
10800,10;0,8864
10814,02;0,8880
11100,10;0,9203
11114,02;0,9219
11400,10;0,9400
11700,10;0,9591
12000,10;0,9782
12014,02;0,9794
12300,10;1,0052
12314,02;1,0072
12327,94;1,0088
12600,10;1,0394
12614,02;1,0409
12627,94;1,0425
12900,10;1,0596
13200,10;1,0787
13500,10;1,0981
13800,10;1,1175
14100,10;1,1372
14127,94;1,1397
14400,10;1,1641
14427,94;1,1666
14700,10;1,1840
15000,10;1,2035
15300,10;1,2227
15314,02;1,2236
15327,94;1,2244
15600,10;1,2343
15900,10;1,2453
15927,94;1,2471
16200,10;1,2644
16500,10;1,2834
16527,94;1,2851
16800,10;1,2952
16827,94;1,2976
17100,10;1,3216
17127,94;1,3247
17400,10;1,3483
17427,94;1,3507
17700,10;1,3672
17727,94;1,3688
18000,10;1,3786
18300,10;1,3898
18314,02;1,3913
18327,94;1,3929
18600,10;1,4237
18627,94;1,4269
18900,10;1,4441
19200,10;1,4631
19500,10;1,4820
19800,10;1,5010
20100,10;1,5202
20114,02;1,5218
20127,94;1,5234
20400,10;1,5546
20414,02;1,5561
20427,94;1,5574
20700,10;1,5748
21000,10;1,5940
21300,10;1,6136
21600,10;1,6334
21614,02;1,6347
21900,10;1,6600
21914,02;1,6612
21927,94;1,6624
22200,10;1,6797
22500,10;1,6991
22800,10;1,7182
22827,94;1,7199
23100,10;1,7369
23400,10;1,7554
23700,10;1,7740
24000,10;1,7927
24300,10;1,8114
24600,10;1,8302
24900,10;1,8490
25200,10;1,8680
25500,10;1,8866
25514,02;1,8875
25527,94;1,8883
25800,10;1,8984
25809,91;1,8998
25814,02;1,9003
25827,94;1,9022
26100,10;1,9398
26109,91;1,9412
26114,02;1,9416
26127,94;1,9428
26400,10;1,9595
26414,02;1,9603
26427,94;1,9612
26700,10;1,9713
26714,02;1,9728
26727,94;1,9744
27000,10;2,0050
27014,02;2,0065
27027,94;2,0078
27300,10;2,0249
27327,94;2,0295
27600,10;2,0737
27627,94;2,0782
27900,10;2,1025
27927,94;2,1051
28200,10;2,1227
28227,94;2,1259
28500,10;2,1566
28527,94;2,1597
28800,10;2,1769
29100,10;2,1963
29400,10;2,2156
29700,10;2,2348
30000,10;2,2538
30300,10;2,2727
30600,10;2,2914
30900,10;2,3104
31200,10;2,3292
31500,10;2,3480
31800,10;2,3675
31814,02;2,3687
32100,10;2,3938
32114,02;2,3950
32400,10;2,4126
32414,02;2,4134
32427,94;2,4143
32700,10;2,4242
33000,10;2,4352
33014,02;2,4361
33300,10;2,4545
33600,10;2,4734
33614,02;2,4743
33900,10;2,4846
34200,10;2,4954
34214,02;2,4963
34500,10;2,5143
34800,10;2,5331
34814,02;2,5339
35100,10;2,5444
35114,02;2,5452
35400,10;2,5627
35414,02;2,5636
35700,10;2,5741
36000,10;2,5852
36014,02;2,5861
36300,10;2,6044
36600,10;2,6238
36614,02;2,6250
36900,10;2,6501
36914,02;2,6513
37200,10;2,6619
37214,02;2,6632
37227,94;2,6644
