time;power_cum
300,10;0,0000
309,91;0,0048
314,02;0,0065
327,94;0,0112
600,10;0,0568
609,91;0,0584
614,02;0,0591
627,94;0,0614
900,10;0,0930
914,02;0,0946
927,94;0,0962
1200,10;0,1210
1209,91;0,1219
1214,02;0,1223
1227,94;0,1236
1500,10;0,1414
1800,10;0,1605
2100,10;0,1799
2400,10;0,1998
2700,10;0,2192
3000,10;0,2381
3014,02;0,2389
3027,94;0,2398
3300,10;0,2498
3309,91;0,2515
3314,02;0,2521
3600,10;0,3003
3609,91;0,3019
3614,02;0,3024
3627,94;0,3036
3900,10;0,3213
4200,10;0,3410
4500,10;0,3605
4800,10;0,3796
5100,10;0,3986
5400,10;0,4182
5700,10;0,4376
6000,10;0,4569
6300,10;0,4766
6600,10;0,4964
6900,10;0,5164
7200,10;0,5359
7500,10;0,5556
7800,10;0,5760
8100,10;0,5960
8400,10;0,6155
8700,10;0,6348
9000,10;0,6545
9300,10;0,6738
9600,10;0,6927
9900,10;0,7114
9909,91;0,7120
9914,02;0,7122
9927,94;0,7131
10200,10;0,7231
10214,02;0,7254
10227,94;0,7278
10500,10;0,7736
10509,91;0,7752
10514,02;0,7759
10527,94;0,7775
10800,10;0,7954
11100,10;0,8149
11400,10;0,8344
11700,10;0,8540
12000,10;0,8736
12300,10;0,8935
12600,10;0,9129
12900,10;0,9317
13200,10;0,9509
13500,10;0,9704
13800,10;0,9899
14100,10;1,0099
14114,02;1,0112
14400,10;1,0374
14414,02;1,0387
14700,10;1,0570
15000,10;1,0766
15014,02;1,0778
15300,10;1,1035
15314,02;1,1047
15600,10;1,1224
15900,10;1,1412
16200,10;1,1604
16500,10;1,1794
16800,10;1,1982
17100,10;1,2175
17400,10;1,2369
17700,10;1,2555
17709,91;1,2561
17714,02;1,2564
17727,94;1,2572
18000,10;1,2670
18014,02;1,2682
18027,94;1,2695
18300,10;1,2938
18309,91;1,2955
18314,02;1,2962
18327,94;1,2985
18600,10;1,3369
18609,91;1,3383
18614,02;1,3388
18627,94;1,3404
18900,10;1,3576
19200,10;1,3767
19500,10;1,3957
19800,10;1,4147
20100,10;1,4341
20400,10;1,4536
20700,10;1,4729
21000,10;1,4921
21300,10;1,5117
21600,10;1,5318
21900,10;1,5513
22200,10;1,5708
22500,10;1,5909
22800,10;1,6106
23100,10;1,6298
23400,10;1,6489
23700,10;1,6680
24000,10;1,6873
24300,10;1,7066
24600,10;1,7259
24900,10;1,7452
25200,10;1,7646
25500,10;1,7837
25800,10;1,8028
26100,10;1,8221
26400,10;1,8410
26700,10;1,8601
27000,10;1,8795
27300,10;1,8992
27600,10;1,9186
27900,10;1,9381
28200,10;1,9581
28500,10;1,9775
28800,10;1,9969
29100,10;2,0169
29400,10;2,0368
29700,10;2,0566
30000,10;2,0762
30300,10;2,0956
30600,10;2,1148
30900,10;2,1343
31200,10;2,1536
31500,10;2,1730
31800,10;2,1931
32100,10;2,2128
32400,10;2,2316
32700,10;2,2502
33000,10;2,2692
33300,10;2,2886
33600,10;2,3075
33900,10;2,3260
33909,91;2,3266
33914,02;2,3268
33927,94;2,3277
34200,10;2,3375
34214,02;2,3384
34500,10;2,3564
34514,02;2,3577
34800,10;2,3829
