vm_id;time;violation_percentage
15;300,10;0,000000
15;309,91;0,000000
15;314,02;0,000000
15;327,94;0,000000
15;600,10;0,000000
15;609,91;0,000000
15;614,02;0,000000
15;900,10;0,000000
15;1200,10;0,000000
15;1500,10;0,000000
15;1514,02;0,000000
15;1800,10;0,000000
15;2100,10;0,000000
15;2109,91;0,000000
15;2127,94;0,000000
15;2400,10;0,000000
15;2409,91;0,000000
15;2414,02;0,000000
15;2700,10;0,000000
15;2727,94;0,000000
15;3000,10;0,000000
15;3300,10;0,050000
15;3314,02;0,000000
15;3600,10;0,000000
15;3614,02;0,000000
