vm_id;time;violation_percentage
14;300,10;0,100000
14;309,91;0,100000
14;314,02;0,100000
14;327,94;0,000000
14;600,10;0,000000
14;609,91;0,000000
14;614,02;0,000000
14;627,94;0,000000
14;900,10;0,000000
14;914,02;0,000000
14;927,94;0,000000
14;1200,10;0,100000
14;1209,91;0,100000
14;1214,02;0,100000
14;1227,94;0,000000
14;1500,10;0,000000
14;1800,10;0,000000
14;2100,10;0,000000
14;2400,10;0,000000
14;2700,10;0,000000
14;3000,10;0,100000
14;3014,02;0,100000
14;3027,94;0,000000
14;3300,10;0,140260
14;3309,91;0,125974
14;3314,02;0,000000
14;3600,10;0,100000
14;3609,91;0,100000
14;3614,02;0,100000
14;3627,94;0,000000
14;3900,10;0,000000
14;4200,10;0,000000
14;4500,10;0,000000
14;4800,10;0,000000
14;5100,10;0,000000
14;5400,10;0,000000
14;5700,10;0,000000
14;6000,10;0,000000
14;6300,10;0,000000
14;6600,10;0,000000
14;6900,10;0,000000
14;7200,10;0,000000
14;7500,10;0,000000
14;7800,10;0,000000
14;8100,10;0,000000
14;8400,10;0,000000
14;8700,10;0,000000
14;9000,10;0,000000
14;9300,10;0,000000
14;9600,10;0,000000
14;9900,10;0,000000
14;9909,91;0,000000
14;9914,02;0,000000
14;9927,94;0,000000
14;10200,10;0,035535
14;10214,02;0,000000
14;10227,94;0,000000
14;10500,10;0,100000
14;10509,91;0,100000
14;10514,02;0,100000
14;10527,94;0,000000
14;10800,10;0,000000
14;11100,10;0,000000
14;11400,10;0,000000
14;11700,10;0,000000
14;12000,10;0,000000
14;12300,10;0,000000
14;12600,10;0,000000
14;12900,10;0,000000
14;13200,10;0,000000
14;13500,10;0,000000
14;13800,10;0,000000
14;14100,10;0,000000
14;14114,02;0,000000
14;14400,10;0,000000
14;14414,02;0,000000
14;14700,10;0,000000
14;15000,10;0,000000
14;15014,02;0,000000
14;15300,10;0,000000
14;15314,02;0,000000
14;15600,10;0,000000
14;15900,10;0,000000
14;16200,10;0,000000
14;16500,10;0,000000
14;16800,10;0,000000
14;17100,10;0,000000
14;17400,10;0,000000
14;17700,10;0,100000
14;17709,91;0,100000
14;17714,02;0,100000
14;17727,94;0,000000
14;18000,10;0,000000
14;18014,02;0,000000
14;18027,94;0,000000
14;18300,10;0,000000
14;18309,91;0,000000
14;18314,02;0,000000
14;18327,94;0,000000
14;18600,10;0,100000
14;18609,91;0,100000
14;18614,02;0,100000
14;18627,94;0,000000
14;18900,10;0,000000
