nazwa testu, sr. utyl.,il. migr.,zuz. mocy,il. akt. h.,sr. cz. migr,slatah, pdm
0-thr-cth-pck,0.71,22539,1751.1060,47.68,20.40,0.05388,0.00132
0-thr-cuv-pck,0.68,11499,1751.1332,48.84,21.08,0.05407,0.00138
0-thr-lvf-pck,0.70,18622,1751.0655,47.38,17.46,0.04519,0.00112
0-thr-maxu-pck,0.69,12934,1751.0925,47.98,20.37,0.04750,0.00138
0-thr-mc-pck,0.71,22727,1751.0822,47.39,19.12,0.05452,0.00130
0-thr-minu-pck,0.72,41491,1751.0600,47.22,19.66,0.05621,0.00124
0-thr-mmt-pck,0.71,27173,1751.1044,47.81,14.60,0.04436,0.00104
0-thr-rs-pck,0.71,23247,1751.1075,48.11,20.02,0.05758,0.00135
1-AF-thr-cth-pck,0.71,22650,139.3931,48.06,31.58,0.06777,0.00182
1-AF-thr-cuv-pck,0.68,13053,140.7186,48.35,27.56,0.06086,0.00186
1-AF-thr-lvf-pck,0.70,19141,140.4795,48.60,28.06,0.05571,0.00173
1-AF-thr-maxu-pck,0.69,12795,139.9885,47.99,27.08,0.05685,0.00188
1-AF-thr-mc-pck,0.71,23140,138.6883,47.60,31.54,0.06668,0.00184
1-AF-thr-minu-pck,0.72,41831,137.9137,47.54,36.99,0.06363,0.00176
1-AF-thr-mmt-pck,0.71,27805,138.3403,47.55,29.35,0.05283,0.00153
1-AF-thr-rs-pck,0.71,23814,139.3251,47.96,32.64,0.06381,0.00191
1-thr-cth-pck,0.71,22539,138.6513,47.68,33.09,0.06199,0.00182
1-thr-cuv-pck,0.68,12947,141.3558,48.72,27.13,0.06622,0.00188
1-thr-lvf-pck,0.70,18622,138.4565,47.38,29.22,0.05389,0.00167
1-thr-maxu-pck,0.69,12934,139.9111,47.98,27.72,0.05579,0.00189
1-thr-mc-pck,0.71,22727,138.2724,47.39,33.75,0.06321,0.00184
1-thr-minu-pck,0.72,41491,137.4759,47.22,41.25,0.06586,0.00184
1-thr-mmt-pck,0.71,27173,138.9453,47.81,32.50,0.05411,0.00166
1-thr-rs-pck,0.71,22957,139.1687,47.88,34.62,0.06463,0.00197
