nazwa testu, srednia utylizacja hosta (0-1),ilosc migracji,zuzycie mocy (MWh),liczba aktywnych hostow,sredni czas migracji,slatah, pdm
0-thr-cth-lbCpuRatio,0.43,47837,1751.1587,82.30,19.91,0.05283,0.00205
0-thr-cth-mu,0.71,25485,1751.0909,47.85,20.24,0.05647,0.00136
0-thr-cth-pck,0.71,22539,1751.1060,47.68,20.40,0.05388,0.00132
0-thr-cth-rr,0.44,31088,1751.0416,83.56,19.84,0.06182,0.00136
0-thr-cth-stp,0.41,86155,1751.1633,93.03,19.64,0.06487,0.00326
0-thr-cth-wpc,0.38,26092,1749.8750,81.30,20.08,0.06371,0.00122
0-thr-cth-wpca,0.38,26092,1749.8750,81.30,20.08,0.06371,0.00122
0-thr-cuv-lbCpuRatio,0.58,29276,1751.2165,61.73,20.11,0.05254,0.00193
0-thr-cuv-mu,0.68,13055,1751.0533,47.89,21.01,0.05433,0.00143
0-thr-cuv-pck,0.68,11499,1751.1332,48.84,21.08,0.05407,0.00138
0-thr-cuv-rr,0.56,20120,1750.9204,63.34,20.49,0.05759,0.00165
0-thr-cuv-stp,0.58,36290,1751.1263,65.36,19.91,0.05772,0.00207
0-thr-cuv-wpc,0.55,18075,1750.2592,58.35,20.66,0.05888,0.00162
0-thr-cuv-wpca,0.55,18075,1750.2592,58.35,20.66,0.05888,0.00162
0-thr-lvf-lbCpuRatio,0.48,39666,1751.1862,74.25,18.61,0.04531,0.00171
0-thr-lvf-mu,0.70,20911,1751.0880,48.30,17.82,0.04806,0.00121
0-thr-lvf-pck,0.70,18622,1751.0655,47.38,17.46,0.04519,0.00112
0-thr-lvf-rr,0.48,27809,1750.9646,74.53,17.95,0.05419,0.00132
0-thr-lvf-stp,0.50,58227,1751.1139,75.64,19.12,0.05344,0.00236
0-thr-lvf-wpc,0.43,23388,1749.9957,73.07,17.78,0.05398,0.00116
0-thr-lvf-wpca,0.43,23388,1749.9957,73.07,17.78,0.05398,0.00116
0-thr-maxu-lbCpuRatio,0.56,29753,1751.2108,63.70,19.99,0.05003,0.00187
0-thr-maxu-mu,0.68,14833,1751.0055,47.14,20.28,0.05276,0.00145
0-thr-maxu-pck,0.69,12934,1751.0925,47.98,20.37,0.04750,0.00138
0-thr-maxu-rr,0.53,22318,1750.9139,66.44,19.79,0.05785,0.00162
0-thr-maxu-stp,0.55,43375,1751.1077,68.48,19.61,0.05678,0.00220
0-thr-maxu-wpc,0.51,19996,1750.1454,62.48,20.25,0.05991,0.00165
0-thr-maxu-wpca,0.51,19996,1750.1454,62.48,20.25,0.05991,0.00165
0-thr-mc-lbCpuRatio,0.45,43009,1751.1692,79.55,19.64,0.04951,0.00191
0-thr-mc-mu,0.71,25406,1751.0805,47.81,19.35,0.05517,0.00134
0-thr-mc-pck,0.71,22727,1751.0822,47.39,19.12,0.05452,0.00130
0-thr-mc-rr,0.44,30901,1751.0590,82.76,19.61,0.06197,0.00136
0-thr-mc-stp,0.43,80883,1751.1583,89.80,19.63,0.06640,0.00314
0-thr-mc-wpc,0.39,25902,1749.8898,80.56,19.88,0.06281,0.00122
0-thr-mc-wpca,0.39,25902,1749.8898,80.56,19.88,0.06281,0.00122
0-thr-minu-lbCpuRatio,0.32,84057,1751.1897,115.81,19.73,0.05726,0.00290
0-thr-minu-mu,0.72,45154,1751.0340,47.03,19.56,0.05713,0.00125
0-thr-minu-pck,0.72,41491,1751.0600,47.22,19.66,0.05621,0.00124
0-thr-minu-rr,0.37,37955,1751.1663,101.60,19.46,0.06397,0.00098
0-thr-minu-stp,0.36,94703,1751.2446,109.52,19.46,0.07095,0.00296
0-thr-minu-wpc,0.32,33118,1749.6502,97.97,19.57,0.06469,0.00090
0-thr-minu-wpca,0.32,33118,1749.6502,97.97,19.57,0.06469,0.00090
0-thr-mmt-lbCpuRatio,0.37,60704,1751.1652,96.91,17.32,0.03935,0.00207
0-thr-mmt-mu,0.71,30060,1751.0610,47.50,14.56,0.04486,0.00106
0-thr-mmt-pck,0.71,27173,1751.1044,47.81,14.60,0.04436,0.00104
0-thr-mmt-rr,0.41,33450,1751.0836,90.21,15.05,0.04868,0.00098
0-thr-mmt-stp,0.39,86946,1751.2079,97.43,18.39,0.05335,0.00301
0-thr-mmt-wpc,0.35,29024,1749.7788,87.98,14.34,0.04637,0.00085
0-thr-mmt-wpca,0.35,29024,1749.7788,87.98,14.34,0.04637,0.00085
0-thr-rs-lbCpuRatio,0.45,43570,1751.1780,80.03,19.82,0.05051,0.00192
0-thr-rs-mu,0.71,25916,1751.1018,48.00,19.83,0.05566,0.00134
0-thr-rs-pck,0.71,23247,1751.1075,48.11,20.02,0.05758,0.00135
0-thr-rs-rr,0.44,30268,1751.0260,81.92,19.74,0.06227,0.00135
0-thr-rs-stp,0.43,81258,1751.1596,89.41,19.63,0.06370,0.00317
0-thr-rs-wpc,0.38,26218,1749.8746,81.54,19.75,0.06279,0.00120
0-thr-rs-wpca,0.39,26167,1749.8967,81.17,19.84,0.06285,0.00122
1-AF-thr-cth-lbCpuRatio,0.64,31897,153.7803,56.07,21.78,0.06415,0.00156
1-AF-thr-cth-mu,0.71,25485,141.1417,47.85,31.84,0.06495,0.00190
1-AF-thr-cth-pck,0.71,22650,139.3931,48.06,31.58,0.06777,0.00182
1-AF-thr-cth-rr,0.61,32110,159.9687,58.11,20.88,0.06685,0.00153
1-AF-thr-cth-stp,0.61,47580,171.7643,64.23,22.59,0.08733,0.00207
1-AF-thr-cth-wpc,0.59,23659,153.8972,54.70,20.44,0.06244,0.00120
1-AF-thr-cth-wpca,0.59,23659,153.8972,54.70,20.44,0.06244,0.00120
1-AF-thr-cuv-lbCpuRatio,0.63,28142,156.0042,57.16,22.31,0.06841,0.00219
1-AF-thr-cuv-mu,0.68,15716,142.1317,48.03,27.20,0.06608,0.00200
1-AF-thr-cuv-pck,0.68,13053,140.7186,48.35,27.56,0.06086,0.00186
1-AF-thr-cuv-rr,0.63,22360,156.9872,56.72,22.26,0.06918,0.00190
1-AF-thr-cuv-stp,0.63,32884,162.4976,60.03,22.55,0.07730,0.00245
1-AF-thr-cuv-wpc,0.63,16125,145.6639,50.94,21.32,0.06038,0.00152
1-AF-thr-cuv-wpca,0.63,16125,145.6639,50.94,21.32,0.06038,0.00152
1-AF-thr-lvf-lbCpuRatio,0.65,28496,151.3931,55.02,19.83,0.05518,0.00155
1-AF-thr-lvf-mu,0.70,20911,142.0881,48.30,28.09,0.05737,0.00178
1-AF-thr-lvf-pck,0.70,19141,140.4795,48.60,28.06,0.05571,0.00173
1-AF-thr-lvf-rr,0.62,26774,158.9312,57.57,19.88,0.06281,0.00143
1-AF-thr-lvf-stp,0.63,35663,163.1648,60.32,21.34,0.07315,0.00201
1-AF-thr-lvf-wpc,0.59,21804,153.9159,54.70,18.05,0.05440,0.00114
1-AF-thr-lvf-wpca,0.59,21804,153.9159,54.70,18.05,0.05440,0.00114
1-AF-thr-maxu-lbCpuRatio,0.64,26684,154.5501,56.51,22.03,0.06442,0.00206
1-AF-thr-maxu-mu,0.68,14833,140.4433,47.14,27.22,0.06042,0.00193
1-AF-thr-maxu-pck,0.69,12795,139.9885,47.99,27.08,0.05685,0.00188
1-AF-thr-maxu-rr,0.62,22546,157.4006,56.86,21.96,0.06783,0.00181
1-AF-thr-maxu-stp,0.63,32350,162.9641,60.29,22.39,0.07675,0.00243
1-AF-thr-maxu-wpc,0.62,17001,147.1446,51.62,20.97,0.05996,0.00151
1-AF-thr-maxu-wpca,0.62,17001,147.1446,51.62,20.97,0.05996,0.00151
1-AF-thr-mc-lbCpuRatio,0.65,30024,151.7484,55.18,20.99,0.06322,0.00153
1-AF-thr-mc-mu,0.71,25406,140.9081,47.81,31.82,0.06435,0.00190
1-AF-thr-mc-pck,0.71,23140,138.6883,47.60,31.54,0.06668,0.00184
1-AF-thr-mc-rr,0.61,30904,160.1363,58.21,20.80,0.06716,0.00152
1-AF-thr-mc-stp,0.61,44991,170.2394,63.50,22.62,0.08581,0.00214
1-AF-thr-mc-wpc,0.58,23548,157.2010,56.20,20.10,0.06163,0.00122
1-AF-thr-mc-wpca,0.58,23548,157.2010,56.20,20.10,0.06163,0.00122
1-AF-thr-minu-lbCpuRatio,0.62,51887,165.2061,61.05,22.05,0.08554,0.00155
1-AF-thr-minu-mu,0.72,45154,139.1113,47.03,36.35,0.06670,0.00182
1-AF-thr-minu-pck,0.72,41831,137.9137,47.54,36.99,0.06363,0.00176
1-AF-thr-minu-rr,0.60,44578,165.9403,60.98,20.35,0.07027,0.00124
1-AF-thr-minu-stp,0.61,60043,177.3917,67.09,21.53,0.08625,0.00163
1-AF-thr-minu-wpc,0.44,31038,189.2608,70.62,19.61,0.06628,0.00082
1-AF-thr-minu-wpca,0.44,31038,189.2608,70.62,19.61,0.06628,0.00082
1-AF-thr-mmt-lbCpuRatio,0.63,36827,155.8761,56.94,18.27,0.05762,0.00140
1-AF-thr-mmt-mu,0.71,30060,140.4176,47.50,28.85,0.05392,0.00162
1-AF-thr-mmt-pck,0.71,27805,138.3403,47.55,29.35,0.05283,0.00153
1-AF-thr-mmt-rr,0.60,36772,163.4058,59.81,16.29,0.05687,0.00121
1-AF-thr-mmt-stp,0.59,54932,178.8559,67.39,20.11,0.08138,0.00201
1-AF-thr-mmt-wpc,0.52,27260,168.2598,61.20,14.07,0.04646,0.00083
1-AF-thr-mmt-wpca,0.52,27260,168.2598,61.20,14.07,0.04646,0.00083
1-AF-thr-rs-lbCpuRatio,0.65,30186,151.7614,55.16,21.38,0.06065,0.00158
1-AF-thr-rs-mu,0.71,26057,141.1243,47.86,31.90,0.06578,0.00191
1-AF-thr-rs-pck,0.71,23814,139.3251,47.96,32.64,0.06381,0.00191
1-AF-thr-rs-rr,0.61,31377,162.3699,59.49,20.71,0.06808,0.00153
1-AF-thr-rs-stp,0.62,43363,167.9107,62.46,22.43,0.08405,0.00202
1-AF-thr-rs-wpc,0.56,23196,159.2264,57.13,20.14,0.06180,0.00123
1-AF-thr-rs-wpca,0.56,23639,161.1495,57.98,20.20,0.06258,0.00121
1-thr-cth-lbCpuRatio,0.43,47837,220.7377,82.30,39.79,0.19419,0.00482
1-thr-cth-pck,0.71,22539,138.6513,47.68,33.09,0.06199,0.00182
1-thr-cth-rr,0.44,31088,220.4587,83.56,38.22,0.14438,0.00274
1-thr-cth-stp,0.61,47580,171.7643,64.23,22.59,0.08733,0.00207
1-thr-cth-wpc,0.38,26092,218.3877,81.30,36.39,0.12696,0.00251
1-thr-cth-wpca,0.38,26092,218.3877,81.30,36.39,0.12696,0.00251
1-thr-cuv-lbCpuRatio,0.56,30488,175.8565,64.06,35.61,0.15028,0.00553
