nazwa testu; œrednia utylizacja hosta (0-1);iloœæ migracji;zu¿ycie mocy (MWh);liczba aktywnych hostów;czas migracji;slatah; pdm;;nazwa testu; œrednia utylizacja hosta (0-1);iloœæ migracji;zu¿ycie mocy (MWh);liczba aktywnych hostów;czas migracji;slatah; pdm
0_thr_cth_lbCpuRatio;0,44;89095;35,1868;78,41;19,86;0,38258;0,01985;;1_thr_cth_lbCpuRatio;0,19;11400;11,7271;195,24;31,69;0,5387;0,05385
0_thr_cth_pck;0,71;41852;35,1823;46,56;20,37;0,4915;0,01223;;1_thr_cth_pck;0,46;39272;22,6134;481,78;22,06;0,795;0,06977
0_thr_cth_rr;0,44;63072;35,184;80,72;19,88;0,52281;0,01427;;1_thr_cth_rr;0,21;33981;11,7771;206,58;23,91;0,73375;0,0397
0_thr_cth_stp;0,42;165852;35,1926;88,38;19,61;0,48076;0,03283;;1_thr_cth_stp;0,21;26973;11,3831;193,35;23,8;0,62748;0,06553
0_thr_cth_wpca;0,38;51409;35,1581;78,71;19,96;0,54364;0,01197;;1_thr_cth_wpca;0,08;90343;20,3407;408,46;19,78;0,6358;0,06288
0_thr_cth_wpc;0,38;51409;35,1581;78,71;19,96;0,54364;0,01197;;1_thr_cth_wpc;0,08;90343;20,3407;408,46;19,78;0,6358;0,06288
;;;;;;;;;1_thr_cuv_lbCpuRatio;0,21;10901;11,2583;181,79;31,07;0,54395;0,05183
;;;;;;;;;1_thr_cuv_pck;0,47;35480;22,5307;479,63;22,45;0,79454;0,06831
;;;;;;;;;1_thr_cuv_rr;0,22;34314;11,6131;202,97;23,29;0,7486;0,03914
;;;;;;;;;1_thr_cuv_stp;0,2;26547;11,6832;196,95;23,65;0,63062;0,06816
;;;;;;;;;1_thr_cuv_wpca;0,08;90343;20,3407;408,46;19,78;0,6358;0,06288
;;;;;;;;;1_thr_cuv_wpc;0,08;90343;20,3407;408,46;19,78;0,6358;0,06288
0_thr_lvf_lbCpuRatio;0,49;73430;35,1863;70,44;18,62;0,34841;0,01665;;1_thr_lvf_lbCpuRatio;0,19;10236;11,6641;193,54;32,42;0,52608;0,05358
0_thr_lvf_pck;0,71;33979;35,1803;46,14;17,5;0,41339;0,0107;;1_thr_lvf_pck;0,47;43689;22,4511;478,18;22,26;0,79774;0,06765
0_thr_lvf_rr;0,49;54319;35,1824;70,96;17,92;0,46067;0,01324;;1_thr_lvf_rr;0,19;37521;12,2861;220,59;24,3;0,73224;0,04054
0_thr_lvf_stp;0,51;111190;35,1888;71,07;19,11;0,41189;0,02358;;1_thr_lvf_stp;0,2;27873;11,8926;204,12;23,35;0,6291;0,06689
